,text,user,retweets,favorites,datetime
0,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/Jqvgxjy1CA,Flyty___,0,0,Sat Nov 07 21:00:09 +0000 2020
1,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/ZhlwvwDVoa,squeeakers,0,0,Sat Nov 07 21:00:09 +0000 2020
2,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/lmy4Oc66AD,favour_favzs,0,0,Sat Nov 07 21:00:09 +0000 2020
3,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/iSqxQEriI3,sabebelove,0,0,Sat Nov 07 21:00:09 +0000 2020
4,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/9VZ4p0DAvJ,alexussntigo,0,0,Sat Nov 07 21:00:09 +0000 2020
5,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/t5lKkBAnyp,2pac_makaveli10,0,0,Sat Nov 07 21:00:09 +0000 2020
6,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/Bw2UIysZOR,MizzzCoco,0,0,Sat Nov 07 21:00:08 +0000 2020
7,"RT @sinfulpluto: it’s giving cancer, pisces, and taurus",Lexi_soDrewski,1283,0,Sat Nov 07 21:00:08 +0000 2020
8,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/ucw19pvT20,Wizfrenzy_03,0,0,Sat Nov 07 21:00:08 +0000 2020
9,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/XtL1GFD6WI,Xavier7Trey,0,0,Sat Nov 07 21:00:08 +0000 2020
10,"RT @bsw5020: I’m just gonna post👇with F&amp;CK YES @JoeBiden, @AdyBarkan and @BeAHeroTeam.

Listen carefully: $50 billion for research to cure…",AlsChange,91,0,Sat Nov 07 21:00:08 +0000 2020
11,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/cGOGUIav8G,DaisySunshiine,0,0,Sat Nov 07 21:00:08 +0000 2020
12,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/sJVR2j8Xho,sheaintsheekdoe,0,0,Sat Nov 07 21:00:08 +0000 2020
13,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/4bP9EyFEX4,AlexJamesAbbs,0,0,Sat Nov 07 21:00:08 +0000 2020
14,Le #Cancer au casino : il s'enfuit de ce lieu de tentations dès qu'il gagne quelque chose.,Petit_Horoscope,0,0,Sat Nov 07 21:00:08 +0000 2020
15,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/02kIj6cN62,specialvixtum,0,0,Sat Nov 07 21:00:08 +0000 2020
16,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/fAVhTHgu4G,DeeOriginal_Kyz,0,0,Sat Nov 07 21:00:07 +0000 2020
17,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/G6JhT071bY,miss_cloudy88,0,0,Sat Nov 07 21:00:07 +0000 2020
18,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/koXTgPbg12,KeltonsMommy1,0,0,Sat Nov 07 21:00:07 +0000 2020
19,@KeK92831456 Do you remember the disgusting kiss he gave Tipper that grossed out everybody? And then cheated on her… https://t.co/zpUqinYAmu,ScvWatcher,0,0,Sat Nov 07 21:00:07 +0000 2020
20,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/hAv1R7Rt06,isobeelxo,0,0,Sat Nov 07 21:00:07 +0000 2020
21,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/AKbYN349Ji,niesh_9412,0,0,Sat Nov 07 21:00:07 +0000 2020
22,You might receive some shocking news from a friend or acquaint... More for Cancer https://t.co/e2U4qHhA0y,JoannaMiranty,0,0,Sat Nov 07 21:00:07 +0000 2020
