,text,user,retweets,favorites,datetime
0,RT @Kainin: Aquarius (Let the Sunshine in) https://t.co/u2JYQmb7uR,TerraBranford28,1,0,Sat Nov 07 21:10:57 +0000 2020
1,"RT @thewaterbxtch: 🌫️ Air Signs 🌫️ 
🌸 Gemini / Libra / Aquarius 🌸

You want balance &amp; stability, love &amp; money, confidence &amp; recognition, yo…",FathOmDivinity,3,0,Sat Nov 07 21:10:51 +0000 2020
2,RT @starheal: I think they forgot I’m an Aquarius...,_yonaaB,28,0,Sat Nov 07 21:10:51 +0000 2020
3,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",BreonaAndrea,12,0,Sat Nov 07 21:10:43 +0000 2020
4,"RT @milkstrology: *when someone is genuinely nice*
leo, scorpio, taurus, aquarius: https://t.co/IW5p0suG5H",Fave_UXDesigner,844,0,Sat Nov 07 21:10:43 +0000 2020
5,"RT @thewaterbxtch: 🌫️ Air Signs 🌫️ 
🌸 Gemini / Libra / Aquarius 🌸

You want balance &amp; stability, love &amp; money, confidence &amp; recognition, yo…",prysontiller,3,0,Sat Nov 07 21:10:41 +0000 2020
6,RT @starheal: I think they forgot I’m an Aquarius...,BrandiPaula_,28,0,Sat Nov 07 21:10:40 +0000 2020
7,RT @starheal: I think they forgot I’m an Aquarius...,BreonaAndrea,28,0,Sat Nov 07 21:10:34 +0000 2020
8,changkyun...... the aquarius man cannot be trusted,bxvIog,0,0,Sat Nov 07 21:10:30 +0000 2020
9,"RT @thewaterbxtch: 🌫️ Air Signs 🌫️ 
🌸 Gemini / Libra / Aquarius 🌸

You want balance &amp; stability, love &amp; money, confidence &amp; recognition, yo…",apolonsfw,3,0,Sat Nov 07 21:10:27 +0000 2020
10,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",angelsscream,12,0,Sat Nov 07 21:10:20 +0000 2020
11,RT @starheal: I think they forgot I’m an Aquarius...,mamisaturn,28,0,Sat Nov 07 21:10:09 +0000 2020
12,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",OtraAcuariana,12,0,Sat Nov 07 21:10:03 +0000 2020
13,Libra &amp; Aquarius. They listen and get with you but will tell you to sit to ass down when you going too far. https://t.co/XTLoMx7Yr4,liickmyliily,0,0,Sat Nov 07 21:09:58 +0000 2020
14,"Also, if the person has access to continue to send them the person that's in a so called relationship they ain't shit either 😂",Aquarius_GOAT,0,0,Sat Nov 07 21:09:54 +0000 2020
15,"RT @meldoestarot: Gemini ♊ Libra ♎ Aquarius ♒ 

all I see for your next few months are growth, blessings and happiness. honestly, such good…",ThandekaKhumal1,239,0,Sat Nov 07 21:09:53 +0000 2020
16,As we approach the heavenly bodies forming in Aquarius; the rise of populism and social upheaval in the air.,alpha1piscium,0,0,Sat Nov 07 21:09:52 +0000 2020
17,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",GirlsOfAqua,12,0,Sat Nov 07 21:09:52 +0000 2020
18,My Aquarius venus comes out when i can be friends with my exes so easily cuz friendship ALWAYS comes first with me and they never can hang,ha111es,0,0,Sat Nov 07 21:09:48 +0000 2020
19,@PATTINS0NS @sunnylouvre @bandsinjeans @taylorslove___ well HS is an Aquarius so oomf maybe ur right 😍,onlyswiftsangel,0,1,Sat Nov 07 21:09:44 +0000 2020
20,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",grimfaerie,12,0,Sat Nov 07 21:09:39 +0000 2020
21,RT @aquarina: People don’t know that Aquarius girls are healers? Dumb ass hoes,0desirable,86,0,Sat Nov 07 21:09:39 +0000 2020
22,【定期】読み方は枢(かなめ)です！呼びタメ大歓迎♪お気軽に絡んでやってください(´∀｀*)ﾉｼ,knm_aquarius,0,0,Sat Nov 07 21:09:38 +0000 2020
23,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",666Yenn,12,0,Sat Nov 07 21:09:26 +0000 2020
24,@TarotByBronx Uranus in 6th house and Aquarius in 6th house🙋🏼‍♀️I need freedom with my creativity - if I have deadl… https://t.co/zoUjNXN3HU,alyssa72525734,0,0,Sat Nov 07 21:09:25 +0000 2020
25,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",sexualtopiary,12,0,Sat Nov 07 21:09:25 +0000 2020
26,RT @starheal: I think they forgot I’m an Aquarius...,radcty,28,0,Sat Nov 07 21:09:25 +0000 2020
27,my cancer rising is just happy that people are happy. My leo moon wants to punch every brunching liberal in the mou… https://t.co/agc93wjsy9,0live_garden_,0,0,Sat Nov 07 21:09:22 +0000 2020
28,"RT @abbeynextdoor: rating the signs bc y not 
1) scorpio 
2) gemini
3) aquarius 
4) taurus
5) aries
6) virgo
7) cancer 
8) leo 
9) libra
10…",gunananana,30,0,Sat Nov 07 21:09:21 +0000 2020
29,RT @aquarina: People don’t know that Aquarius girls are healers? Dumb ass hoes,aashleydior,86,0,Sat Nov 07 21:09:20 +0000 2020
30,"@slimgirlkim im a scorpio &amp; my fav sign is cancers, aquarius, and tauruss",_paigeenoelle,0,0,Sat Nov 07 21:09:20 +0000 2020
31,RT @afroditeourania: venus in aquarius women are IT.,mcnaughtyyy,145,0,Sat Nov 07 21:09:16 +0000 2020
32,"Aquarius, Aries, Cancer, Taurus 🔮✉️

You have all that you need to achieve success but you aren't focussed ont the… https://t.co/IEGoA5Hi6c",SilverSwan111,0,1,Sat Nov 07 21:09:15 +0000 2020
