,text,user,retweets,favorites,datetime
0,@AdamJoshDotCom I'll have to keep an eye out for it...I see them online but I gotta buy 24 lol and I want a test drive first,Piece_of_Pisces,0,0,Sat Nov 07 21:11:48 +0000 2020
1,RT @ZorayaBlack_: Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,spotemNgotem_,242,0,Sat Nov 07 21:11:48 +0000 2020
2,"RT @sinfulpluto: it’s giving cancer, pisces, and taurus",shelbyalexis587,1312,0,Sat Nov 07 21:11:38 +0000 2020
3,@MadhuSunshine1 @Leo_Tweets @leo I know right? The answer is narcissists. People who were victims of narcissistic a… https://t.co/u4qdLmWmUL,sacredsophia,0,0,Sat Nov 07 21:11:34 +0000 2020
4,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",RookRoyale,13,0,Sat Nov 07 21:11:29 +0000 2020
5,RT @KILLZOLDYC: pls sejam engraçadinhos comigo,pisces_ycho,1267,0,Sat Nov 07 21:11:20 +0000 2020
6,"RT @sinfulpluto: it’s giving cancer, pisces, and taurus",vanessahughesss,1312,0,Sat Nov 07 21:11:07 +0000 2020
7,I feel like if u brag on how fye yo 🐈 is on social media it gotta be poo 👎🏾,Proud_Pisces,0,0,Sat Nov 07 21:11:03 +0000 2020
8,@lWACH4N istj pisces 👁,kagsyamatobio,0,0,Sat Nov 07 21:10:51 +0000 2020
9,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",BreonaAndrea,13,0,Sat Nov 07 21:10:43 +0000 2020
10,i love me.. i just really can’t stand pisces,WMNONTHEMOON,0,0,Sat Nov 07 21:10:39 +0000 2020
11,"RT @avxxtarot: 💙 Cancer, Pisces, Scorpio. What you need to hear right now - 

You’ve gone through a period where you felt very shut off fro…",_melibabyxo,233,0,Sat Nov 07 21:10:37 +0000 2020
12,@jandersen She’s the angry kind of Pisces. That doesn’t go away.,AntounNabhan,0,1,Sat Nov 07 21:10:35 +0000 2020
13,"RT @sinfulpluto: it’s giving cancer, pisces, and taurus",haenuh,1312,0,Sat Nov 07 21:10:33 +0000 2020
14,Scorpio &amp; I loveee Pisces https://t.co/3FLwYtkv1v,scorpiolove_19,0,0,Sat Nov 07 21:10:24 +0000 2020
15,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",angelsscream,13,0,Sat Nov 07 21:10:20 +0000 2020
16,RT @MrBlonde359: Star Wars stuff!!! #StarWars https://t.co/bvM6lMD4na,Piece_of_Pisces,1,0,Sat Nov 07 21:10:18 +0000 2020
17,RT @ashanism: Ya’ll love to call Geminis fake but no one ever comes for Pisces’ placements who overextend themselves just so people they do…,Sushiicoon,328,0,Sat Nov 07 21:10:11 +0000 2020
18,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",OtraAcuariana,13,0,Sat Nov 07 21:10:03 +0000 2020
19,RT @ZorayaBlack_: Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,lala_d_luffy92,242,0,Sat Nov 07 21:09:59 +0000 2020
20,@whattsyuhmotive Pisces ?,moonlight7rings,0,1,Sat Nov 07 21:09:57 +0000 2020
21,@barbrady1 @Outpost31L @Andykaren7893 @RecordStow @RighteousToad @blackteach2all @LadyJ5569 @Fontez16 @LisaAlleneC… https://t.co/vYX62Ovo57,PrinceScrapbook,0,1,Sat Nov 07 21:09:57 +0000 2020
22,@slimgirlkim sagittarius n scorpio/pisces tbh,uhlahneee,0,0,Sat Nov 07 21:09:54 +0000 2020
23,i have never met a funny sagittarius 💀💀 and taurus &amp; pisces just get a lil chuckle here and there https://t.co/PDN2YPaZR0,b4bybritt_,0,0,Sat Nov 07 21:09:53 +0000 2020
24,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",GirlsOfAqua,13,0,Sat Nov 07 21:09:52 +0000 2020
25,RT @ZorayaBlack_: Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,lost_alexian,242,0,Sat Nov 07 21:09:40 +0000 2020
26,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",grimfaerie,13,0,Sat Nov 07 21:09:39 +0000 2020
27,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",666Yenn,13,0,Sat Nov 07 21:09:26 +0000 2020
28,"RT @milkstrology: invitation: dress casual!! wear something comfy!!

scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",sexualtopiary,13,0,Sat Nov 07 21:09:25 +0000 2020
29,"@UghhTommy they gave me: hetero
i am:
they gave me: pisces
i am:
they gave me: single
i am: 
they gave me: 16
i am:… https://t.co/7AFF0fo1kH",sofiiamagalhaes,0,0,Sat Nov 07 21:09:21 +0000 2020
30,"RT @abbeynextdoor: rating the signs bc y not 
1) scorpio 
2) gemini
3) aquarius 
4) taurus
5) aries
6) virgo
7) cancer 
8) leo 
9) libra
10…",gunananana,30,0,Sat Nov 07 21:09:21 +0000 2020
31,"RT @sinfulpluto: it’s giving cancer, pisces, and taurus",1fatii8,1312,0,Sat Nov 07 21:09:16 +0000 2020
32,"RT @OneLuckyGirl_28: Aries is independent — Libra is partnership.
Taurus is attachment — Scorpio is detachment. 
Gemini is speaking — Sagit…",ShaliGl0ws,140,0,Sat Nov 07 21:09:05 +0000 2020
33,Bro I bet $100 she’s a Pisces woman. She was always wining about something https://t.co/QCiCS2ARkq,marchaeday,0,2,Sat Nov 07 21:09:01 +0000 2020
34,"RT @zodiacashomes: Virgo,Aquarius,Pisces,Sagittarius,Leo and Libra dream home https://t.co/0LQbtvlC4l",jesse_schaibley,1488,0,Sat Nov 07 21:09:00 +0000 2020
35,"RT @sinfulpluto: it’s giving cancer, pisces, and taurus",drina_hong,1312,0,Sat Nov 07 21:08:59 +0000 2020
36,RT @astrobalter: i must share this with u all &amp; to make it astro related lets say this is pisces and sag &lt;3 https://t.co/aFQjYGa99M,jaynova444,136,0,Sat Nov 07 21:08:54 +0000 2020
37,"RT @OneLuckyGirl_28: If you...

If you want me, earn me...
Scorpio, Capricorn, Taurus, Gemini

If you love me, show me...
Aries, Leo, Cance…",yesimachipmunk,114,0,Sat Nov 07 21:08:49 +0000 2020
38,@TarotByBronx Oh crap! Uranus and Saturn in 7th house in Sagittarius. Uranus squaring Jupiter in my 11th house in P… https://t.co/4WijEo5VKn,Chrisdiellahlai,0,0,Sat Nov 07 21:08:47 +0000 2020
39,RT @pisceanvibe: pisces really wake up and choose fantasy over reality every day ❤️,alk_aabii,1534,0,Sat Nov 07 21:08:41 +0000 2020
40,Pisces https://t.co/fwTMJRfNu8,btsrremedy,0,0,Sat Nov 07 21:08:40 +0000 2020
41,"pisces, hufflepuff, aphrodite, infp-t https://t.co/fR95psj3yi",skzgravity,0,0,Sat Nov 07 21:08:36 +0000 2020
42,"RT @lunarvvitch: Gemini, Virgo, Sagittarius, Pisces placements 💌✨

There’s an overall energy of discouragement around you right now. The pe…",thieola,88,0,Sat Nov 07 21:08:35 +0000 2020
43,"i got: Bi
i am: Bi

i got: Libra
i am: Pisces

i got: Taken
i am: Single🤪

i got: 14
i am: 13

i got: Extrovert
i a… https://t.co/JRTl3fJcbP",CallmehcandyR,0,0,Sat Nov 07 21:08:28 +0000 2020
44,"ROSHO 
10% PISCES 
10% ISSUES
10% GOOD AT MATH :-D
10% ALSO NATURALLY FUNNY 
10% STAGE FRIGHT
10% HAS A THICK ACCEN… https://t.co/Da3QI4qpCl",emoguro,0,0,Sat Nov 07 21:08:27 +0000 2020
