,text,user,retweets,favorites,datetime
0,"RT @zodiacashomes: Virgo,Aquarius,Pisces,Sagittarius,Leo and Libra dream home https://t.co/0LQbtvlC4l",jesse_schaibley,1488,0,Sat Nov 07 21:09:00 +0000 2020
1,"RT @OneLuckyGirl_28: If you...

If you want me, earn me...
Scorpio, Capricorn, Taurus, Gemini

If you love me, show me...
Aries, Leo, Cance…",yesimachipmunk,114,0,Sat Nov 07 21:08:49 +0000 2020
2,@TarotByBronx Oh crap! Uranus and Saturn in 7th house in Sagittarius. Uranus squaring Jupiter in my 11th house in P… https://t.co/4WijEo5VKn,Chrisdiellahlai,0,0,Sat Nov 07 21:08:47 +0000 2020
3,"@astr0jade Im sure your not the only one 
So have I....and out of all of them leos Sagittarius amd virgos are my favorite",LSVSCCA,0,0,Sat Nov 07 21:08:44 +0000 2020
4,"RT @lunarvvitch: Gemini, Virgo, Sagittarius, Pisces placements 💌✨

There’s an overall energy of discouragement around you right now. The pe…",thieola,88,0,Sat Nov 07 21:08:35 +0000 2020
5,"i got: straight
i am: probably the straightest person you’ll ever meet

i got: sagittarius 
i am: Sagittarius 

i g… https://t.co/1sNEq6kgsO",izzihopeseok,0,0,Sat Nov 07 21:08:24 +0000 2020
6,"RT @nattnaat_: THE ONLY LIBRA SUN, ARIES MOON &amp; SAGITTARIUS RISING I STAN 😫 LIKE HER CHART IS SO POWERFUL",danyonce,2,0,Sat Nov 07 21:08:17 +0000 2020
7,"RT @zodiacashomes: Virgo,Aquarius,Pisces,Sagittarius,Leo and Libra dream home https://t.co/0LQbtvlC4l",thenotoriousiz,1488,0,Sat Nov 07 21:08:16 +0000 2020
8,RT @skinnyminis: sagittarius: u have enormous commitment issues. u see the bad in everything. ur inconsistent and flip floppy. stop stringi…,_S_P_I_K_E,39,0,Sat Nov 07 21:08:13 +0000 2020
9,"RT @Ialisakim: sagittarius:

- y’all are really confusing
- surprisingly talkative?
- if u don’t like someone they’ll know it lol
- kinda b…",Bored_Coffee,392,0,Sat Nov 07 21:08:12 +0000 2020
10,RT @ZorayaBlack_: Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,ehhnolope,239,0,Sat Nov 07 21:08:10 +0000 2020
11,RT @ZorayaBlack_: Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,yesimachipmunk,239,0,Sat Nov 07 21:08:05 +0000 2020
12,"RT @dyrinone: Top 5 funniest signs. 😂😭
1. Capricorn
2. SAGITTARIUS 
3. ARIES 
4. Pisces 
5. TAURUS",zoeymartinezz,1518,0,Sat Nov 07 21:08:03 +0000 2020
13,"@dondaisys i got: Bi
i am:

i got: Sagittarius
i am: 

i got: Single 😔
i am: 

i got: 15
i am: 

i got: ambivert
i am:",quackerjoke,0,0,Sat Nov 07 21:07:48 +0000 2020
14,i don’t know what a sagittarius is,canyallhearme,1,2,Sat Nov 07 21:07:24 +0000 2020
15,Makes sense...you’re a Sagittarius https://t.co/j4iY8z0giM,julissaa___c,0,0,Sat Nov 07 21:07:20 +0000 2020
