,text,user,retweets,favorites,datetime
0,@aziaval__ Capricorn??? 👀 what we do to y’all,kingslixk_,0,0,Thu Nov 12 13:39:52 +0000 2020
1,"According to Mona, Zhongli is a Capricorn.",lostlumine,0,0,Thu Nov 12 13:39:49 +0000 2020
2,"RT @thewintertae: ph news blaming poverty because they weren't prepared. excuse me, not all of us here have the privilege and resources to…",Phixo_Capricorn,118,0,Thu Nov 12 13:39:39 +0000 2020
3,"RT @pisceshawty: ☁️sagittarius. gemini. capricorn. aries.
sun moon rising venus

forward movement soon. you’ve been working hard, staying i…",makiahthehippie,25,0,Thu Nov 12 13:39:17 +0000 2020
4,"RT @solariustarot: 🍃 CAPRICORN, TAURUS, VIRGO (Sun, Moon, or Rising).

Things are progressing at a slow pace and you’re gonna be noticing t…",solariustarot,2,0,Thu Nov 12 13:39:10 +0000 2020
5,"RT @solariustarot: 🍃 CAPRICORN, TAURUS, VIRGO (Sun, Moon, or Rising).

Things are progressing at a slow pace and you’re gonna be noticing t…",JustOnce1111,2,0,Thu Nov 12 13:38:55 +0000 2020
6,"RT @watergangwud: capricorn placements, please remember that there is absolutely nothing wrong, weak, or shameful about taking time to feel…",PimpGameCraa,57,0,Thu Nov 12 13:38:53 +0000 2020
7,"i got: 14
i am: 14

i got: capricorn
i am: sagittarius

i got: single
i am: single

i got: extrovert
i am: ambivert… https://t.co/DQQ0VMNGkV",hi_carinaa,0,1,Thu Nov 12 13:38:50 +0000 2020
8,"height: 169cm
shoe size: 42-43
zodiac sign: capricorn
tattoos: none
piercings: none
favorite color(s): pink, mint g… https://t.co/I2k7OKZ8En",jesuisheisei,0,0,Thu Nov 12 13:38:49 +0000 2020
9,Capricorn... they nailed it. https://t.co/rpsfc8yDVN,MAHLLC,0,0,Thu Nov 12 13:38:41 +0000 2020
10,"i got: unlabeled
i am: questioning my sexuality, so not really unlabeled but sort of unlabeled

i got: cancer
i am:… https://t.co/W6qcwCrF4u",CANYONMOONXLOU,0,1,Thu Nov 12 13:38:39 +0000 2020
11,RT @lighterflickk: Being a Capricorn is setting your alarm 15 mins to an hour early just so you can wake up and have some peace and quiet t…,KL8sting,1181,0,Thu Nov 12 13:38:32 +0000 2020
12,Capricorn’s get shit done. No king talking or excuses. I love it.,dijahgee,0,0,Thu Nov 12 13:38:29 +0000 2020
13,RT @SAPoliceService: #sapsLIM Police dismantle crime syndicates and recover stolen vehicles and illicit cigarettes during separate operatio…,magalela69,10,0,Thu Nov 12 13:38:28 +0000 2020
14,"RT @earthdombaby: Dating a Virgo, Scorpio, Capricorn or Aquarius like: https://t.co/pXAscfnyha",GonegirlZa,3397,0,Thu Nov 12 13:38:21 +0000 2020
15,RT @lighterflickk: Being a Capricorn is setting your alarm 15 mins to an hour early just so you can wake up and have some peace and quiet t…,_TheBlackBulma,1181,0,Thu Nov 12 13:38:19 +0000 2020
16,"@slicycals ""i don't really get you"" lmao i'm a capricorn.",seokjinu_,0,0,Thu Nov 12 13:38:07 +0000 2020
17,RT @CapricornTerms: #Capricorn have been told their words cut like razors.,drippinxslime,281,0,Thu Nov 12 13:38:00 +0000 2020
18,"@hoegotslytherin capricorn, my friends birthday is januaray first too",talkfmgc,0,0,Thu Nov 12 13:37:43 +0000 2020
19,"RT @DCnumerology: Zodiac signs that will do almost anything to get what they want. 

-Taurus 
-Capricorn 
-Scorpio 
-Aries 
-Virgo",vanxxxssa,196,0,Thu Nov 12 13:37:35 +0000 2020
20,cant believe im in luv with a fucking capricorn https://t.co/h3xId7aKAG,uhuhmia,0,0,Thu Nov 12 13:37:14 +0000 2020
21,RT @sailorstar222: Good morning to Virgo and Capricorn placements only. Y’all are underrated.,heyace_,444,0,Thu Nov 12 13:37:12 +0000 2020
22,"Mom: Leo
Dad: Capricorn ♑️ 
Me: Pisces ♓️ 
Brother: Capricorn ♑️ 
Sister: Cancer ♋️ 
Brother: Pisces ♓️ 
Brother: L… https://t.co/lumqotpirB",faaaiiith,0,0,Thu Nov 12 13:37:11 +0000 2020
23,"9-In a nutshell – Saturn’s movement through Capricorn is-

Most challenging for- #Capricorn, #Aries, #Cancer and… https://t.co/Dt01SCovbt",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
24,"8-Don't give up and eventually you shall reach the summit.

I have seen that people negotiating through Saturn’s tr… https://t.co/JGItbaOEcD",shaleen_sharma,0,0,Thu Nov 12 13:37:05 +0000 2020
25,RT @newmind99: Jupiter passes Pluto at 23 Capricorn now today 12-13 Nov 2020.,e_teton,2,0,Thu Nov 12 13:37:03 +0000 2020
26,"7-Saturn in Capricorn transits can make one feel like a failure and unable to own his or her life. 

The #mantra fo… https://t.co/mPnqiTw6Hn",shaleen_sharma,0,0,Thu Nov 12 13:37:02 +0000 2020
27,RT @lighterflickk: you wanna get with a Capricorn but you have no goals and aspirations?,ballinextdoor,700,0,Thu Nov 12 13:36:59 +0000 2020
28,"6-Let us now understand Saturn and its movement in #Capricorn

Without a doubt, Saturn is at his most powerful in C… https://t.co/YIG9rH7JAW",shaleen_sharma,0,0,Thu Nov 12 13:36:58 +0000 2020
29,WHY DO I KEEP READING CAPRICORN AS CAPRISUN HELP,itsnotmayar,0,1,Thu Nov 12 13:36:57 +0000 2020
30,"i got: bi
i am: straight

i got: capricorn
i am: capricorn :)

i got: single
i am: single (cries)

i got: introvert… https://t.co/B2Otg9O2Nj",herabbaby,0,0,Thu Nov 12 13:36:56 +0000 2020
31,"2-It is difficult to capture all the nuances, hence sharing only the most important details.

I shall begin with… https://t.co/qZ620rxYkz",shaleen_sharma,0,0,Thu Nov 12 13:36:46 +0000 2020
32,"i got: 19
i am: 16

i got: Capricorn 
i am: pisces

i got: single
i am: single

i got: extrovert
i am: introvert

r… https://t.co/nBwTaN0KDU",onlylvrk_,0,0,Thu Nov 12 13:36:40 +0000 2020
33,RT @colormechris: Capricorn’s don’t get enough credit. Top tier sign.,zyneshiaw_,75,0,Thu Nov 12 13:36:24 +0000 2020
34,RT @childofuranus: literally the Capricorn/Cancer dynamic,QueenLolaaJay,1339,0,Thu Nov 12 13:36:21 +0000 2020
35,"@KhanAtharAli @TariqKatel I don't believe, but we are struggling for real democracy.",capricorn_lhr,1,1,Thu Nov 12 13:36:19 +0000 2020
36,"RT @scorpio_md: I want you to want me: Leo, Gemini

I need you to need me: cancer, Taurus

I’d love you to love me:  Libra, Aries

I’m begg…",azulnostalgia,55,0,Thu Nov 12 13:36:16 +0000 2020
37,"RT @Hippie_Bae: Mars Rx occurs approximately every 2 yrs &amp; this particular Rx will be forming a square aspect to #Saturn in #Capricorn, the…",Hippie_Bae,1,0,Thu Nov 12 13:36:09 +0000 2020
38,"Literally my goal in life is to date men.. from aaall of the zodiac signs.. so far ive dated gemini, pisces, aries,… https://t.co/BOx9A69lrv",yourexboothang,0,0,Thu Nov 12 13:36:09 +0000 2020
39,"conjunction with that capricorn stellium so of course ☺️

i guess to that the sun in a water sign is quincunx the t… https://t.co/SQAzCIwNH2",joseppines,0,0,Thu Nov 12 13:35:35 +0000 2020
40,RT @lighterflickk: you wanna get with a Capricorn but you have no goals and aspirations?,herdimplesz,700,0,Thu Nov 12 13:35:29 +0000 2020
41,@hoegotslytherin capricorn I think,commonbtchkhloe,0,0,Thu Nov 12 13:35:17 +0000 2020
42,i rly dream ab doing moist &amp; soft things w my lover but first of all im a capricorn,saltandpinigger,0,0,Thu Nov 12 13:35:16 +0000 2020
43,"RT @kurobff: capricorn sun 

— youre dead inside or is it just me
— yall actually care about people but you do it in a weird way
— MOVE ON…",softestmi,204,0,Thu Nov 12 13:35:09 +0000 2020
44,RT @Bwandoo: reminder that Capricorn energy is that of which is willing to go to many lengths &amp; feats for the sake of mastering the self an…,moiyadestiny,326,0,Thu Nov 12 13:35:05 +0000 2020
45,RT @lighterflickk: Being a Capricorn is setting your alarm 15 mins to an hour early just so you can wake up and have some peace and quiet t…,herdimplesz,1181,0,Thu Nov 12 13:34:56 +0000 2020
46,"RT @miyadamodel: Realest signs you’ll ever meet
Geminis 
Virgo. 
Pisces 
Leos 
Capricorn",yakray2,721,0,Thu Nov 12 13:34:46 +0000 2020
