,text,user,retweets,favorites,datetime
0,"RT @ENBYH0SEOK: libra 
-u know the right thing to say at the right time
-doubting your worth a lot :(
-tired all the time zzz
-loves late n…",spidreboy,139,0,Thu Nov 12 13:38:57 +0000 2020
1,RT @HopeJahren: Proud Libra https://t.co/jVc40kKvbP,quick13,1,0,Thu Nov 12 13:38:41 +0000 2020
2,"@LOVElNFINTE i got: straight 
i am: 

i got: libra
i am: 

i got: single
i am: 

i got: introvert
i am: 

reply wit… https://t.co/MGx6nkiZwO",touchitside,0,0,Thu Nov 12 13:38:17 +0000 2020
3,@shiukn who hurt you? was it a libra? 🥺🥺 jkjk lmfao,r1mjob,0,0,Thu Nov 12 13:37:59 +0000 2020
4,RT @AboutLibras: #Libra have a big heart and are the least selfish sign of the Zodiac.,topsexyy,278,0,Thu Nov 12 13:37:57 +0000 2020
5,i am born on like the last day to be considered a virgo if i was born the day after i was i would be a libra so 🤔🤔🤔,j9nki,0,0,Thu Nov 12 13:37:49 +0000 2020
6,"4th Qtr Moon in Libra moon still fussing about “what is fair”, Jupiter conjunct Pluto presents opportunity for you… https://t.co/SV5dO0xoU4",SilverRavenWolf,0,1,Thu Nov 12 13:37:49 +0000 2020
7,i feel like i relate a lot with the libra thingies too all the time,j9nki,0,0,Thu Nov 12 13:37:49 +0000 2020
8,"TI: yes, a cup of hot tea with lemon kills the coronavirus expeditiously while it still resides in the throat cavit… https://t.co/lGl2WTAbfU",Malt_bia,0,0,Thu Nov 12 13:37:47 +0000 2020
9,@MattNavarra I hope seeing @Libra_  and NOT break up @facebook @instagram and @WhatsApp ..,Davide10082,0,0,Thu Nov 12 13:37:41 +0000 2020
10,"RT @AboutLibras: A #Libra can convince you that everything is alright, even when it's not.",ash__kardash__,101,0,Thu Nov 12 13:37:32 +0000 2020
11,"RT @jayoshexo: 🌜MOON NOW IN LIBRA🌛

pamper yourself w an at home facial, mani, or massage! create a beautiful peaceful environment, its all…",sevynjewels,333,0,Thu Nov 12 13:37:30 +0000 2020
12,RT @teenyjimi: the fact that jimin’s grades were so high back then that he could have entered law school... his dad wanted him to become a…,la_libra_07,133,0,Thu Nov 12 13:37:25 +0000 2020
13,"RT @PrestonPysh: Hey @RayDalio chew on this really important question: 

Why did governments/regulators clobber Facebook’s Libra attempt so…",regalocya,71,0,Thu Nov 12 13:37:13 +0000 2020
14,"RT @melanatedmomma: gemini, libra, aquarius ✉️🦋

challenge yourself and step out of your way. i see you went through a separation of some s…",linaxshit,451,0,Thu Nov 12 13:37:12 +0000 2020
15,"9-In a nutshell – Saturn’s movement through Capricorn is-

Most challenging for- #Capricorn, #Aries, #Cancer and… https://t.co/Dt01SCovbt",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
16,"do yours in qrt !!
☆height: 5’5
☆shoe size: walang sizes mga sapatos ko dito 😬
☆zodiac sign: libra
☆tattoos: none
☆… https://t.co/BzDrNnfxBW",hugseungs,0,1,Thu Nov 12 13:37:07 +0000 2020
17,"RT @WSJMag: .@bts_bighit, our 2020 Music Innovator, has reached the top of the U.S. charts, united millions of fans around the world into a…",mansi_libra,55983,0,Thu Nov 12 13:37:00 +0000 2020
