,text,user,retweets,favorites,datetime
0,@fran_wilde Um...correct (unapologetic Taurus 😆),JohnaEnders,0,0,Thu Nov 12 13:37:56 +0000 2020
1,RT @venusplutos: taurus placements:,goddessnt_,55,0,Thu Nov 12 13:37:54 +0000 2020
2,RT @taurusismagic: Being a #Taurus it’s typical that people will ask me to be honest. When I am in an unrestricted way it damages the ego’s…,KgTrill,119,0,Thu Nov 12 13:37:41 +0000 2020
3,RT @demigoddessnik: I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,vocalelixirbkp,1505,0,Thu Nov 12 13:37:40 +0000 2020
4,"@vampettexx i got: bisexual 
i am: 

i got: taurus
i am: 

i got: single
i am: 

i got: introvert
i am: 

reply wit… https://t.co/TtqKY4aNdp",ALEXP4TTERSON,0,0,Thu Nov 12 13:37:39 +0000 2020
5,"RT @DCnumerology: Zodiac signs that will do almost anything to get what they want. 

-Taurus 
-Capricorn 
-Scorpio 
-Aries 
-Virgo",vanxxxssa,196,0,Thu Nov 12 13:37:35 +0000 2020
6,RT @demigoddessnik: I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,BreesWorldXOXO,1505,0,Thu Nov 12 13:37:26 +0000 2020
7,"RT @pisceshawty: ☁️pisces. aquarius. virgo. taurus.
sun moon rising venus

a revelation of some sort. it is small but it is enough to compl…",simply_shamai,62,0,Thu Nov 12 13:37:13 +0000 2020
8,"9-In a nutshell – Saturn’s movement through Capricorn is-

Most challenging for- #Capricorn, #Aries, #Cancer and… https://t.co/Dt01SCovbt",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
9,this is the cutest thing 😭 my taurus king https://t.co/O3hSiekmKu,bbybluejeon,0,0,Thu Nov 12 13:37:00 +0000 2020
10,"RT @zodiacashomes: Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom https://t.co/YF7PiIuqkV",lmryu_,509,0,Thu Nov 12 13:36:58 +0000 2020
11,RT @taurusismagic: A #Taurus needs to drink to show emotions.,Crucifuxxx,469,0,Thu Nov 12 13:36:56 +0000 2020
12,"RT @KaiaSinclair: Cap, Taurus, Virgo...on 11/11 I know you have work/school and other things but you also need to prioritize yourself more.…",DudeMilky,114,0,Thu Nov 12 13:36:53 +0000 2020
13,@Alpha_Taurus_ fantastic four,dikoosongin,0,0,Thu Nov 12 13:36:52 +0000 2020
14,"do yours in qrt !!
☆height: 5’9
☆shoe size: 8
☆zodiac sign: taurus
☆tattoos: none
☆piercings: none
☆favorite color:… https://t.co/ezy1qRIbQ7",B4NGTINYB0YS,0,0,Thu Nov 12 13:36:46 +0000 2020
15,"RT @AdelineTarot: 💫Taurus, Libra, Scorpio placements. Love, love, love. You have so much of it but, nowhere to place it. Hold it for now, s…",kys_kriss,327,0,Thu Nov 12 13:36:39 +0000 2020
16,"RT @mo0nrunes: Taurus, Leo, Scorpio... You may be seeing some happier times soon. Don’t be ignorant to it. Something you really want is wel…",shyanne_katia,753,0,Thu Nov 12 13:36:17 +0000 2020
17,RT @demigoddessnik: I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,Sophia__Casella,1505,0,Thu Nov 12 13:36:17 +0000 2020
18,"RT @scorpio_md: I want you to want me: Leo, Gemini

I need you to need me: cancer, Taurus

I’d love you to love me:  Libra, Aries

I’m begg…",azulnostalgia,55,0,Thu Nov 12 13:36:16 +0000 2020
19,@PlayBoy4rxxxy @TalesofBenjamin Chet up,Taurus_Slay,0,0,Thu Nov 12 13:36:11 +0000 2020
20,@resilient_riah my taurus ass🤣,jaibaybee_,0,0,Thu Nov 12 13:36:04 +0000 2020
21,Nigga got TWO baby mommas and he’s a male Taurus. GIRL. 😩 https://t.co/3UchMmjRpp,angstfeen,0,0,Thu Nov 12 13:36:04 +0000 2020
22,"RT @reyla_reads: 🍸Cancer, Taurus, Sagittarius, Gemini, and Scorpio 🍸 (sun, moon, rising, and venus) 

Offers are coming towards you here an…",ZaAlgedonicOne_,510,0,Thu Nov 12 13:36:00 +0000 2020
23,RT @jayoshexo: I’m so ready for mars to be direct and move out of aries into taurus. all this violence and killings is sickening,lmryu_,166,0,Thu Nov 12 13:35:55 +0000 2020
24,"RT @zodiacashomes: Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom https://t.co/YF7PiIuqkV",killclare,509,0,Thu Nov 12 13:35:51 +0000 2020
25,@Taurus_Slay @TalesofBenjamin God Werner ni 😂,PlayBoy4rxxxy,0,0,Thu Nov 12 13:35:47 +0000 2020
26,"Neptune in 2 Taurus, Seventh House",Astrobot15,0,0,Thu Nov 12 13:35:41 +0000 2020
27,"@SamuraiGenetics im still boutta get that ps5 tho, i got my blacc af1s taurus g2c and ski mask😈😈im boutta go to work too",mookajams,0,1,Thu Nov 12 13:35:31 +0000 2020
