,text,user,retweets,favorites,datetime
0,RT @aquarina: Aquarius mindset: it’s hard to imagine not smoking weed,rebekahring_,61,0,Sat Nov 14 01:01:19 +0000 2020
1,"RT @redbylo: Why do people like to act like air signs (Gemini, Libra, Aquarius) aren’t emotional or emotionally intelligent????",aayuuxo,72,0,Sat Nov 14 01:01:16 +0000 2020
2,"RT @aquashxt: Like please leave me alone. When Aquarius gets to the point where they genuinely want you to leave them alone, just please li…",_georg1a_,162,0,Sat Nov 14 01:01:16 +0000 2020
3,finding out cudi is aquarius make that video wit selena funny AS SHIT cuz aquarius are so fucking weird 😭 knowing t… https://t.co/MxiVvHmMmp,thereal3milli,0,0,Sat Nov 14 01:01:13 +0000 2020
4,"RT @OneLuckyGirl_28: Affirmation:
Aries: I am strong
Taurus: I am right
Gemini: I am understood
Cancer: I am needed
Leo: I am loved
Virgo:…",badbitch4220,167,0,Sat Nov 14 01:01:11 +0000 2020
5,RT @aquarina: Aquarius mindset: it’s hard to imagine not smoking weed,pwingpolo,61,0,Sat Nov 14 01:01:09 +0000 2020
6,RT @aquarina: Aquarius mindset: it’s hard to imagine not smoking weed,ShelbyLNelson,61,0,Sat Nov 14 01:01:05 +0000 2020
7,"RT @thewaterbxtch: 🦋 taurus, leo, scorpio, aquarius 🦋

You need to understand that not everybody will come for your neck, you've got people…",juansuryaaa,77,0,Sat Nov 14 01:01:03 +0000 2020
8,@chaninicholas Girl. Does this mean that a Leo Sun/Aquarius Rising in Miami will finally get the sunshine (and not… https://t.co/rXbRutdaoi,Becomingcamille,0,0,Sat Nov 14 01:00:59 +0000 2020
9,i hate aquarius moons 2 Baby I agree,HUMILlATED,0,0,Sat Nov 14 01:00:58 +0000 2020
10,"I, an aquarius, am in that rare mode where I am intentionally blacking out so I don’t give a fuck about a little thing called overthinking",aquashxt,0,1,Sat Nov 14 01:00:54 +0000 2020
11,"RT @AquariusTerms: #Aquarius choose to free themselves from class, &amp; racial conditioning. They believe in equality &amp; originality",ari_elxx,34,0,Sat Nov 14 01:00:53 +0000 2020
12,Read Today Aquarius Horoscope: https://t.co/YlAdA6uqPy #Horoscope #Aquarius,Small1Business,0,0,Sat Nov 14 01:00:52 +0000 2020
13,this bitch said i hate aquarius but shes an aquarius moon Its a Reflection,HUMILlATED,0,0,Sat Nov 14 01:00:48 +0000 2020
14,RT @aquarina: Aquarius mindset: it’s hard to imagine not smoking weed,ChynaTheCandid,61,0,Sat Nov 14 01:00:47 +0000 2020
15,"RT @DIVINEOPAQUE: imagine getting an aquarius, gemini, or libra to open up and fall in love with you",TheirinVanity,90,0,Sat Nov 14 01:00:41 +0000 2020
16,RT @aquarina: Aquarius mindset: it’s hard to imagine not smoking weed,papersntreez,61,0,Sat Nov 14 01:00:41 +0000 2020
17,RT @earthdombaby: If you mix a Taurus and an Aquarius you get a Scorpio..,_joquarius_,76,0,Sat Nov 14 01:00:23 +0000 2020
18,"Once an Aquarius starts Aquariusing, just dip😭",rawwbabbyy,0,0,Sat Nov 14 01:00:18 +0000 2020
19,RT @1800BIGBIDI: the results are in for Aquarius sex https://t.co/h3ogE9Vy6s,3KPrinceP,3,0,Sat Nov 14 01:00:15 +0000 2020
20,"RT @DIVINEOPAQUE: imagine getting an aquarius, gemini, or libra to open up and fall in love with you",_joquarius_,90,0,Sat Nov 14 01:00:14 +0000 2020
21,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/XMSfx6Zzpg,yuusameno,0,0,Sat Nov 14 01:00:11 +0000 2020
22,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/5hJSGc4ZAx,michi11y,0,0,Sat Nov 14 01:00:11 +0000 2020
23,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/QaIACGRDFx,camacH0e,0,0,Sat Nov 14 01:00:10 +0000 2020
24,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/eWSE6vyYFm,Taylorrmariiiee,0,0,Sat Nov 14 01:00:10 +0000 2020
25,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/wDsy0Q2Zkx,HortonHeath15,0,0,Sat Nov 14 01:00:10 +0000 2020
26,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/GXrrFEN8Rj,bobotee3,0,0,Sat Nov 14 01:00:10 +0000 2020
27,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/5FAHNkLGuB,mermaidcarnell,0,0,Sat Nov 14 01:00:10 +0000 2020
28,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/yRN2Nc9RH1,JacobFromTulsa,0,0,Sat Nov 14 01:00:10 +0000 2020
29,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/CBUOz0RPhJ,Yyycartmai,0,0,Sat Nov 14 01:00:10 +0000 2020
30,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/fatCxrXTyR,thickbarbie523,0,0,Sat Nov 14 01:00:10 +0000 2020
31,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/v8uW7bHazG,montedhagod,0,0,Sat Nov 14 01:00:10 +0000 2020
32,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/sGobiYvv62,__shamimi,0,0,Sat Nov 14 01:00:10 +0000 2020
33,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/9qhK7TJtvc,Liv_Flagiello,0,0,Sat Nov 14 01:00:09 +0000 2020
34,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/5o14GQi1Cs,midnightmorph,0,0,Sat Nov 14 01:00:09 +0000 2020
35,RT @aquarina: Aquarius mindset: it’s hard to imagine not smoking weed,notvreni,61,0,Sat Nov 14 01:00:09 +0000 2020
36,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/7RWny58Pzb,_CPG4,0,0,Sat Nov 14 01:00:09 +0000 2020
37,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/6xT1cujpuH,jade_jonessx,0,0,Sat Nov 14 01:00:08 +0000 2020
38,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/qOKfeEhHrW,trip_head,0,0,Sat Nov 14 01:00:08 +0000 2020
39,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/KVcYbEwJLJ,anakay_09,0,0,Sat Nov 14 01:00:08 +0000 2020
40,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/1z0kc6q4RD,__Kiia,0,0,Sat Nov 14 01:00:08 +0000 2020
41,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/8K2074tPiA,xotaylorwright,0,0,Sat Nov 14 01:00:08 +0000 2020
42,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/f8TrfoL3Fg,cmcclatcheyy,0,0,Sat Nov 14 01:00:08 +0000 2020
43,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/3fmXs75KTc,missasia134,0,0,Sat Nov 14 01:00:08 +0000 2020
44,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/3IJXnTTHi5,butterfIykisss,0,0,Sat Nov 14 01:00:08 +0000 2020
45,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/eOR7Jmjz1b,NRP_UKushina,0,0,Sat Nov 14 01:00:08 +0000 2020
46,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/opO8uZGebd,og__grizz,0,0,Sat Nov 14 01:00:08 +0000 2020
47,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/GOtAT15PYp,tjprzzz,0,0,Sat Nov 14 01:00:08 +0000 2020
48,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/8fPNZbYpDo,CarolinaTorresx,0,0,Sat Nov 14 01:00:07 +0000 2020
49,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/48ngMyKiV2,gingerD123,0,0,Sat Nov 14 01:00:07 +0000 2020
50,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/XsNMUYIlW0,NoLimos,0,0,Sat Nov 14 01:00:07 +0000 2020
51,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/yswogLLhG6,_morganparker,0,0,Sat Nov 14 01:00:07 +0000 2020
52,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/s3t03UYaXs,gailbydesign,0,0,Sat Nov 14 01:00:07 +0000 2020
53,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/RCDdazVDKk,UpscaleDolll,0,0,Sat Nov 14 01:00:07 +0000 2020
54,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/y2lbhS5DVw,endless_love_96,0,0,Sat Nov 14 01:00:06 +0000 2020
55,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/8ssmaWdmal,HollieWootton,0,0,Sat Nov 14 01:00:06 +0000 2020
56,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/l7hVLQKv9F,MillsyRay_,0,0,Sat Nov 14 01:00:06 +0000 2020
57,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/m1nbZ2f0hl,HoldenImogen,0,0,Sat Nov 14 01:00:06 +0000 2020
58,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/rjp5r3ykUz,4EVRFAB_,0,0,Sat Nov 14 01:00:06 +0000 2020
59,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/9XUkMARbJX,JennyLaffey,0,0,Sat Nov 14 01:00:05 +0000 2020
60,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/vKPOfkpgIP,chloebrewer4,0,0,Sat Nov 14 01:00:05 +0000 2020
61,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/NAhpvBbjcp,xo_emmajaynee,0,0,Sat Nov 14 01:00:05 +0000 2020
62,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/ShRAjwtMnr,_kiaaaaaaaa,0,0,Sat Nov 14 01:00:05 +0000 2020
63,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/0LlnmRNVvx,samvgko,0,0,Sat Nov 14 01:00:05 +0000 2020
64,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/c4ukEenbQi,KayxRodx3,0,0,Sat Nov 14 01:00:05 +0000 2020
65,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/eBRsqxrOns,toryrocha,0,0,Sat Nov 14 01:00:05 +0000 2020
66,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/LCLCXGELx4,LouLou77br,0,0,Sat Nov 14 01:00:05 +0000 2020
67,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/GzhZYZQgTc,JohnboyMX150,0,0,Sat Nov 14 01:00:05 +0000 2020
68,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/pZh3QpxPP6,DaBaddestDavid,0,0,Sat Nov 14 01:00:05 +0000 2020
69,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/EMpuQlD6tG,superrrram,0,0,Sat Nov 14 01:00:05 +0000 2020
70,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/wVClCDK04p,A_Dollaz_B,0,0,Sat Nov 14 01:00:05 +0000 2020
71,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/fc2a6TWWdN,rachellusk,0,0,Sat Nov 14 01:00:04 +0000 2020
72,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/jmwgl9lCKJ,niki1Kendra,0,0,Sat Nov 14 01:00:04 +0000 2020
73,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/fjeIIOqgnQ,BEEceleBRITy_K,0,0,Sat Nov 14 01:00:04 +0000 2020
74,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/elkoCNj2AM,ms_strongheart,0,0,Sat Nov 14 01:00:04 +0000 2020
75,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/kUmHXm6jXN,kissletlikesyou,0,0,Sat Nov 14 01:00:04 +0000 2020
76,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/i2afwEvzdD,IIILittlebirds,0,0,Sat Nov 14 01:00:04 +0000 2020
77,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/5ltLdB4F4e,louie5000,0,0,Sat Nov 14 01:00:04 +0000 2020
78,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/lvgSeix44q,ke_mommie12,0,0,Sat Nov 14 01:00:04 +0000 2020
79,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/jxBJzge3q8,shelbug7040,0,0,Sat Nov 14 01:00:03 +0000 2020
80,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/IQUOO5wIoT,ohellyeahFE,0,0,Sat Nov 14 01:00:03 +0000 2020
81,Your reputation or career could undergo a surprise change that... More for Aquarius https://t.co/H2y48Byvk5,carolvfj,0,0,Sat Nov 14 01:00:03 +0000 2020
82,"RT @vidajayy: Patiently waiting on my birthday, it’s upppppp😭 1/20! Aquarius season wyaaa? https://t.co/HrOQzx68Gb",EnvyFancy,1,0,Sat Nov 14 01:00:01 +0000 2020
83,"RT @reyla_reads: 📲Leo, Libra, Aries, Pisces, Aquarius 📲 (sun, moon, rising, venus) 

You have been working hard on your stability and emoti…",zayveeeee,120,0,Sat Nov 14 00:59:59 +0000 2020
84,"RT @DIVINEOPAQUE: imagine getting an aquarius, gemini, or libra to open up and fall in love with you",WeirdAssGangsta,90,0,Sat Nov 14 00:59:48 +0000 2020
85,"RT @redbylo: Why do people like to act like air signs (Gemini, Libra, Aquarius) aren’t emotional or emotionally intelligent????",_joquarius_,72,0,Sat Nov 14 00:59:45 +0000 2020
86,"RT @iamdarianc: Sagittarius, Scorpio, Aquarius, Pisces &amp; Virgo... How do you manage to know everything about everyone but remain a mystery…",zaynxo,54,0,Sat Nov 14 00:59:41 +0000 2020
87,"RT @DIVINEOPAQUE: imagine getting an aquarius, gemini, or libra to open up and fall in love with you",ta_knea,90,0,Sat Nov 14 00:59:29 +0000 2020
88,@Iam_AyHole Lol Aquarius af,danasaur_123,0,1,Sat Nov 14 00:59:27 +0000 2020
89,RT @_lexvy: who’s an Aquarius? I wanna see sum,elijah_cdtc,1,0,Sat Nov 14 00:59:20 +0000 2020
90,RT @DIVINEOPAQUE: what it’s like being an Aquarius: https://t.co/JrFWpod1Py,maydinand,7,0,Sat Nov 14 00:59:18 +0000 2020
