,text,user,retweets,favorites,datetime
0,"@aatihc No, Jus happened to me. Not cancer. But chronic gastritis. It’s painful. You can’t drink, smoke (blunts), c… https://t.co/TSnzWdKUjv",elnonmexxicano,0,0,Sat Nov 14 00:58:01 +0000 2020
1,RT @CancerTerms: A #Capricorn has a Love/Hate Relationship with: #Cancer,babyleex2,82,0,Sat Nov 14 00:58:00 +0000 2020
2,"RT @isrylanismael: This is a hard day for us all, Today we found out more about the type of Cancer baby G has &amp; We took it not so well, It…",iamjasholine,3,0,Sat Nov 14 00:58:00 +0000 2020
3,2018 Older adults with cancer are more likely to have had a heart attack or stroke in the months prior to their can… https://t.co/g3h3xDUXbf,Ritaferdi,0,0,Sat Nov 14 00:58:00 +0000 2020
4,RT @jesskellynt: This is Róisín. She’s 9 years old and has battled cancer for the past 6 years. She found out this week that the cancer is…,MaureenMcSherry,502,0,Sat Nov 14 00:57:59 +0000 2020
5,"RT @ChabeliH: In April, the number of working female business owners dropped by 25%, forcing women like Molly Moon Neitzel into impossible…",johannabarr,16,0,Sat Nov 14 00:57:57 +0000 2020
6,RT @MY_KINDA_SEX_ED: @CBCToronto @CBCQueensPark I call BS. No ones thanking him for dead parents. @fordnation cut all pandemic help to marg…,tabburs,4,0,Sat Nov 14 00:57:55 +0000 2020
7,Researchers from @UMich have reported a new synthetic #protein #nanoparticle capable of slipping past the nearly im… https://t.co/Qc4oLTdqyb,NNInanonews,0,0,Sat Nov 14 00:57:52 +0000 2020
8,RT @ReallyAmerican1: #CorruptKelly Loeffler is a cancer on Georgia and must be voted out immediately. Pass it on.,SayeBennett,2038,0,Sat Nov 14 00:57:50 +0000 2020
9,"@tauvierge @astrobydeon Cancer or taurus, MAYBE pisces",SYRPENT,0,0,Sat Nov 14 00:57:49 +0000 2020
10,RT @VAware1986: @InsideVaccines Yup.  Cancer treatments are often carcinogenic and don't even get me started on psychotropic drugs and diag…,1313lyoshikoy,2,0,Sat Nov 14 00:57:49 +0000 2020
11,RT @ReallyAmerican1: #CorruptKelly Loeffler is a cancer on Georgia and must be voted out immediately. Pass it on.,sandy0768,2038,0,Sat Nov 14 00:57:47 +0000 2020
12,RT @jesskellynt: This is Róisín. She’s 9 years old and has battled cancer for the past 6 years. She found out this week that the cancer is…,brimahon,502,0,Sat Nov 14 00:57:46 +0000 2020
13,RT @CancerTerms: #Cancer only feels secure when they have money in their pocket.,JsavageBurn1,272,0,Sat Nov 14 00:57:44 +0000 2020
14,"Covid must be taken seriously, but letting people die of other causes because of it is a huge issue. Cancer patient… https://t.co/DarqAgdGvQ",slightlyhowling,0,0,Sat Nov 14 00:57:41 +0000 2020
15,RT @soopervillain: @lisabraudrick @susanstai @BeschlossDC He also shaved his snhead in solidarity with one of his agents who's son had canc…,susanstai,2,0,Sat Nov 14 00:57:40 +0000 2020
16,"RT @vxprada: cancer pisces scorpio | next 72hrs

if you made a commitment i’m see u gotta follow thru with it now. some of you may be tryna…",Pull_MyDreadss,42,0,Sat Nov 14 00:57:39 +0000 2020
17,"the ONLY family matter that makes it her business to check on me, my dear aunt, was diagnosed with stage 4 cancer t… https://t.co/D2PT4IYhXX",codenamevido,0,0,Sat Nov 14 00:57:39 +0000 2020
18,@MissCrude cancer and leo fwb is not a thing for me 😭😭,gaybriellarivas,0,0,Sat Nov 14 00:57:35 +0000 2020
19,RT @ReallyAmerican1: #CorruptKelly Loeffler is a cancer on Georgia and must be voted out immediately. Pass it on.,SpeakatheDevil,2038,0,Sat Nov 14 00:57:35 +0000 2020
20,Climate scientists find that smoking weed causes nose cancer,JDubiousStudies,0,0,Sat Nov 14 00:57:34 +0000 2020
21,RT @barstoolsports: Orioles' Trey Mancini Says He Is Cancer Free And Will Be Ready For Spring Training https://t.co/BnZomPfVrP https://t.co…,COACHCT7,83,0,Sat Nov 14 00:57:33 +0000 2020
22,Unraveling the Enigmatic Origin of Neuroblastoma https://t.co/MFHKgXxW3v https://t.co/VNPtsPCfm0,Cancer_Cell,0,3,Sat Nov 14 00:57:33 +0000 2020
23,RT @billusswag: the fact greys anatomy been running for this long and they didn’t find the cure for cancer don’t sit right w me tf they bee…,hifsaabbasi,5,0,Sat Nov 14 00:57:30 +0000 2020
24,RT @FOX5Vegas: A retired veteran fighting cancer is cheered on by the Raiders and the FOX5 Surprise Squad! Thank you to our FOX5 Surprise S…,DesertDwellerLV,1,0,Sat Nov 14 00:57:29 +0000 2020
25,Chances of a women getting breast cancer are increased by excesseive use of alcohol,ATotalRandom,0,0,Sat Nov 14 00:57:29 +0000 2020
26,"RT @fran_wilde: Your Editing Style, by Astrological Sign:

Libra: SURE I CAN SEE WHERE THAT MIGHT WORK
Cancer: I AM SO SORRY LET ME FIX THI…",MaryCallahanB,142,0,Sat Nov 14 00:57:28 +0000 2020
27,"@StephenGutowski Also, the approximate # of deaths in the US this year will roughly equal the the total # of deaths… https://t.co/ytC8LG8LaC",matter_nater,0,0,Sat Nov 14 00:57:27 +0000 2020
28,RT @Sportsnet: .@SNFaizalKhamisa joined @ailishforfar on NHL Chatroom and shared a special memory of when Mats Sundin visited him at Sick K…,McBlunt1,6,0,Sat Nov 14 00:57:24 +0000 2020
29,"RT @NellyNellz19: 🪁🪁A Message 🪁🪁

Aries, Libra, Taurus, Cancer 

It’s time for you to tighten up security when it comes to your goals and t…",RonHarvy_,362,0,Sat Nov 14 00:57:24 +0000 2020
30,"#movember2020 Day 14 of 30 - Dr Robotnik
The team are each growing a Mo &amp; to help us get through the month we will… https://t.co/9lVPuNYcGg",toypowerpodcast,0,0,Sat Nov 14 00:57:23 +0000 2020
