,text,user,retweets,favorites,datetime
0,@Zealous_Libra Around 5ish,b_mack1981,0,0,Sat Nov 14 00:59:24 +0000 2020
1,@swag_solipsist Libra if we are using Western.,Sun_Senshi,0,0,Sat Nov 14 00:59:21 +0000 2020
2,"RT @gmanews: National Disaster Risk Reduction and Management Council spokesperson Mark Timbal on Saturday said more than 3,700 personnel ha…",libra_karylle,125,0,Sat Nov 14 00:59:18 +0000 2020
3,RT @Alex_ngguyennn: Introducing my new mix series “Zodiac” highlighting one person in my life who embodies the zodiac of the month! (Yes ik…,jenlilam,1,0,Sat Nov 14 00:59:16 +0000 2020
4,Sometimes people get caught in wrong relationships coz if  libra ♎ meets a on the cusp  gemini ♊Cancerian  they gre… https://t.co/lCTWpWn7ez,Hotsandy_7,0,0,Sat Nov 14 00:59:14 +0000 2020
5,RT @astr0jade: aries cancer libra capricorn be like https://t.co/2jW0cdweIB,astrogirrrrl,184,0,Sat Nov 14 00:59:12 +0000 2020
6,@mypovricochet not a libra guy 🤢,frootricochet,0,0,Sat Nov 14 00:59:11 +0000 2020
7,Ok ok what about this one: if you mix an Aries + Cancer you get a Libra?,earthdombaby,0,0,Sat Nov 14 00:59:08 +0000 2020
8,"RT @iamannapepe: ✉️🔮Leo, Libra, Cancer, Capricorn
-sun, moon, rising, venus-

big boss energy. you have an incredible ability to see beyond…",xofuentess,217,0,Sat Nov 14 00:59:07 +0000 2020
9,"libra mercury. if im feeling extroverted i wont shut the fuck up, especially if i have liquor in me https://t.co/MtZ79G5rm4",magiksexsugar,0,0,Sat Nov 14 00:59:05 +0000 2020
10,"RT @martianlune: ☄️ MARS IS DIRECT ☄️

if you’ve been feeling “stuck” or have been in an energetic rut (im looking at you capricorn, aries,…",fxckincoconut,473,0,Sat Nov 14 00:59:00 +0000 2020
11,@CapBlasphemy WELL !!!! That’s not an answer!! Lmao,libra_liar,0,0,Sat Nov 14 00:58:58 +0000 2020
12,@vicious_z Workout Complete!,Zealous_Libra,0,0,Sat Nov 14 00:58:56 +0000 2020
13,"@RubixxRose Libra trait, can’t help dat u don’t hold grudges",LeaveMeVlone2x,0,0,Sat Nov 14 00:58:45 +0000 2020
14,"RT @markgeronimo_: OH MY GOD!!! PLEASE PLEASE, CAGAYAN IS SHOUTING FOR HELP!!!! SPREAD THE WORD #CagayanNeedsHelp ‼️ https://t.co/1hAax0oPq9",libra_karylle,17846,0,Sat Nov 14 00:58:43 +0000 2020
15,"RT @LaliCharts: 🇧🇷 iTunes Brazil:

#3. Lali - ‘Libra’  (+1) *new peak* https://t.co/Syl0qyVdnv",MicaelistosArg,24,0,Sat Nov 14 00:58:42 +0000 2020
16,"RT @LaliCharts: 🇧🇷 iTunes Brazil:

#3. Lali - ‘Libra’  (+1) *new peak* https://t.co/Syl0qyVdnv",lali_scv,24,0,Sat Nov 14 00:58:40 +0000 2020
17,"@ellis_kace you were closer with libra, now you’re a lil off the rails jdjdjdjd",HIGHLYCASSIDY,0,1,Sat Nov 14 00:58:36 +0000 2020
18,"RT @DCnumerology: Zodiac signs that are the most friendly. 

-Leo 
-Libra 
-Sagittarius 
-Aquarius 
-Pisces",ayee_its_cheri,165,0,Sat Nov 14 00:58:34 +0000 2020
19,"RT @USALaliEsposito: 24 hours after its release, Lali remains in the top 10 of the iTunes US Latin chart! 7 out of the top 10 albums (inclu…",LaliesposBA,42,0,Sat Nov 14 00:58:33 +0000 2020
20,"@danceofitaly i got: idk but not straight
i am:

i got: i know nothing about signs but let’s say libra
i am:

i got… https://t.co/aPDRdRnTB5",nohotwingsads,0,0,Sat Nov 14 00:58:32 +0000 2020
21,RT @billboard: .@lalioficial breaks down 5 essential tracks on her new album #Libra https://t.co/cB9gNfr05e,brunitta_espos,434,0,Sat Nov 14 00:58:28 +0000 2020
22,"my mom just told me: you know, being gay doesn’t define you
to which i responded: you’re right, i’m also a libra",babygray17,0,0,Sat Nov 14 00:58:27 +0000 2020
23,RT @Strictly_Saucin: HE DONT NEED A PS5 HE NEEDS THERAPY,libra_liar,3394,0,Sat Nov 14 00:58:23 +0000 2020
24,@_azryah 🤣🤣🤣 that’s why it depends.. can you really say it’s because they are libra’s.,NalaMonroe,0,0,Sat Nov 14 00:58:15 +0000 2020
25,"RT @LaliCharts: 🇧🇷 iTunes Brazil:

#3. Lali - ‘Libra’  (+1) *new peak* https://t.co/Syl0qyVdnv",lalitaforewe,24,0,Sat Nov 14 00:58:11 +0000 2020
26,@lilBass_Nugget Ight we got same sun and moon and we live in the midwest just wow.. you are def superior havin that… https://t.co/woacLJK28t,living_baked,0,0,Sat Nov 14 00:58:10 +0000 2020
27,RT @earthdombaby: Sure sex is great but have you ever seen a Libra make a decision on the spot?,desiraewut,42,0,Sat Nov 14 00:58:08 +0000 2020
28,Filipino resiliency should not be romanticized indeed. What we all need is help.,libra_karylle,0,0,Sat Nov 14 00:58:08 +0000 2020
29,RT @xxoorita: people’s obsession with YouTube couples is so weird to me,Niya_the_Libra,10720,0,Sat Nov 14 00:58:08 +0000 2020
30,RT @astr0jade: aries cancer libra capricorn be like https://t.co/2jW0cdweIB,dxrows061,184,0,Sat Nov 14 00:58:06 +0000 2020
31,"RT @redbylo: Why do people like to act like air signs (Gemini, Libra, Aquarius) aren’t emotional or emotionally intelligent????",covidddd201,70,0,Sat Nov 14 00:57:58 +0000 2020
32,"For ref. My first child is 5H which is libra for me but I have a Scorpio Jupiter in the 5H and she’s a girl, but a… https://t.co/PR5BrGaqI8",mercurydominant,0,0,Sat Nov 14 00:57:56 +0000 2020
33,Libra tings https://t.co/wSHQk78Bxl,dalilMorena,0,0,Sat Nov 14 00:57:54 +0000 2020
34,"RT @DIVINEOPAQUE: imagine getting an aquarius, gemini, or libra to open up and fall in love with you",zayveeeee,87,0,Sat Nov 14 00:57:51 +0000 2020
35,"RT @LaliCharts: 🇧🇷 iTunes Brazil:

#3. Lali - ‘Libra’  (+1) *new peak* https://t.co/Syl0qyVdnv",savagesposs,24,0,Sat Nov 14 00:57:48 +0000 2020
36,"RT @LaliCharts: 🇧🇷 iTunes Brazil:

#3. Lali - ‘Libra’  (+1) *new peak* https://t.co/Syl0qyVdnv",siul98x,24,0,Sat Nov 14 00:57:47 +0000 2020
37,"@marenaltman I have Saturn retrograde in the 11th with Aries and it makes sense, i used to feel weird being alone b… https://t.co/FGx418Bn3b",LilithHowl,0,0,Sat Nov 14 00:57:45 +0000 2020
38,"@1981LOVEGOOD i got: straight
i am:  

i got: leo or libra theyre the same thing 🙄‼️
i am:  

i got: single 
i am:… https://t.co/WzMcmPPE7A",romionewands,0,0,Sat Nov 14 00:57:44 +0000 2020
39,"RT @AboutLibras: When a #Libra really care about someone, their happiness matters more than theirs own.",Jennn_le,37,0,Sat Nov 14 00:57:38 +0000 2020
40,"RT @LaliCharts: 🇧🇷 iTunes Brazil:

#3. Lali - ‘Libra’  (+1) *new peak* https://t.co/Syl0qyVdnv",EstheLT796,24,0,Sat Nov 14 00:57:36 +0000 2020
