,text,user,retweets,favorites,datetime
0,RT @500wayzzzz: Libras are really the most wholesome and amazing ass people out of all the zodiac signs.,meledyyy_,9,0,Sat Nov 07 20:02:10 +0000 2020
1,"HEIGHT : 5‘5
SHOE SIZE :  39/40
ZODIAC SIGN : libra
TATTOOS : 0
PIERCINGS : 0
FAV COLOUR : blue 
FAV DRINK :  water… https://t.co/Rk9wKEmiw7",sunshinevlou,0,0,Sat Nov 07 20:02:03 +0000 2020
2,May bibigay nalang ng kausap yung naniniwala pa sa zodiac sign ampota,milogreat141,0,0,Sat Nov 07 20:01:59 +0000 2020
3,@chiller_zodiac paralyzed bf 😢,_birdgut,0,0,Sat Nov 07 20:01:47 +0000 2020
4,"Height: 5’4
Shoe size: 8US
Zodiac: Scorpio
Tattoos: none, boutta get my first one next month👀
Piercings: ears, that… https://t.co/rY8JJYJQgX",antisocialwh0re,0,1,Sat Nov 07 20:01:45 +0000 2020
5,"♡ height: 174cm
♡ shoe size: 38 eu
♡ zodiac sign: Sagittarius 
♡ tattoos: 1 
♡ piercings: 3
♡ favorite color(s): gr… https://t.co/IMfQsEGjJO",detectivedelrey,0,0,Sat Nov 07 20:01:44 +0000 2020
6,RT @nuviabaez: Knights of Zodiac... https://t.co/Rx7fF0UkOk,for_seiya,1,0,Sat Nov 07 20:01:36 +0000 2020
7,"Кунг-фу: 12 знаков зодиака (2010)
https://t.co/L8D1orssC2

Сюжет китайского комедийно-приключенческого мультфильма… https://t.co/NU6aN1V61F",FmKino,0,0,Sat Nov 07 20:01:31 +0000 2020
8,@softtkyo @fruits_basket20 Specially how the cat zodiac (kyo) is shown with soo loneliness thats how it was in anim… https://t.co/wpk2AXvqw4,mauo_sama,0,0,Sat Nov 07 20:01:26 +0000 2020
9,"@Ali_mka97 I’ve watched all apart from zodiac so I’ll give that a go, yooo lawless and prisoners - top notch. I tru… https://t.co/H7J1hLxlHk",CamNiz,0,0,Sat Nov 07 20:01:22 +0000 2020
10,"RT @emilymmayberry: With only 5 signs left, Natalie (@zenmindcrystals) and I are ending our zodiac collab 💓

The trays and pendants will so…",KM_ResinDesigns,96,0,Sat Nov 07 20:01:20 +0000 2020
11,Hey moots reply to this if u want me to draw you as a troll from homsetuck just give me your zodiac sign and some c… https://t.co/mZG31AJyF4,FLORASANDFAUNA,0,0,Sat Nov 07 20:01:19 +0000 2020
12,@Zodiac_3rd 脱臼しすぎだろって思ったけどこういうことらしいのだった https://t.co/Zzo26WcQ8V,yatugu_ge,0,1,Sat Nov 07 20:01:14 +0000 2020
13,"What's your zodiac sign and your f(x) bias, I wanna correlate something-",dungeongirlsfx,0,1,Sat Nov 07 20:01:13 +0000 2020
14,Kiss / Amityville 1973 6-16-1973 (ZODIAC 051) https://t.co/8XrDrPRYJK,freedbtest_bot,0,0,Sat Nov 07 20:01:09 +0000 2020
15,"Feet planted on the ground and eyes on their goals it's 
A. #Scorpio
B. #Capricorn
C. #Pisces 
D. #Aries… https://t.co/VsEPXRkZ4R",SEXSTROLOGY,0,0,Sat Nov 07 20:01:05 +0000 2020
16,im glad to know u care abt him enough to look up his birthdate and figure out his zodiac sign upon it,grrcha,0,1,Sat Nov 07 20:01:02 +0000 2020
17,i just guessed someones zodiac sign w/o looking at their birthdate call me master fucking astrologist,slonechnik,0,0,Sat Nov 07 20:01:00 +0000 2020
18,"@FgBw4 @YouTube А мы так зайдем...
Zodiac - Alliance (1981)
https://t.co/W0oaNwFm9E",a_b_denisov,0,0,Sat Nov 07 20:00:59 +0000 2020
19,"RT @Excahm: One of my Favorite Anime series ever:

Saint Seiya/Knights of Zodiac. https://t.co/JrgayPjODG",for_seiya,2,0,Sat Nov 07 20:00:49 +0000 2020
20,"RT @milkstrology: i quit my day job in a global pandemic to go after my dream job | tarot vlog for zodiac signs
https://t.co/9hFKER0UYb
htt…",littleneko22,17,0,Sat Nov 07 20:00:47 +0000 2020
21,5時です。,AC_zodiac,0,0,Sat Nov 07 20:00:34 +0000 2020
22,"@huntykae The astrology we use now is Tropical Zodiac &amp; accurately affects seasons on earth, the direct root in the… https://t.co/VOrE9Mbx5l",angelicNrough,0,0,Sat Nov 07 20:00:30 +0000 2020
23,"@DeborahHoulding 🤔 This seems a very Uranus in Taurus staging, especially with Uranus connecting to the 4 seasons b… https://t.co/TlX0cOza4h",AstroKastalia,0,0,Sat Nov 07 20:00:28 +0000 2020
24,"RT @DCnumerology: Zodiac signs that have the most trouble sleeping at night. 

-Gemini 
-Virgo
-Aquarius 
-Aries
-Sagittarius",RHEBONEE,318,0,Sat Nov 07 20:00:17 +0000 2020
25,"Gemini men are in the Top 5 worse men of the zodiac. Their egotistical, manipulative and hypocritical behavior unmatched lol",_brooklynway,0,0,Sat Nov 07 20:00:09 +0000 2020
26,"HEIGHT: 157 cm
SHOE SIZE: 7
ZODIAC: Gemini
TATTOOS: 0
PIERCINGS: 2 (1 on each ear)
FAV COLOR: Blue 💙 
FAV DRINK: Or… https://t.co/Vjg6P5GSNd",TrishKyunsBaby,0,2,Sat Nov 07 19:59:51 +0000 2020
27,"@CamNiz It's a hard watch at the start, but it gets better near the end. It's got a really good twist at the end.… https://t.co/d75Sa5ofkw",Ali_mka97,0,1,Sat Nov 07 19:59:47 +0000 2020
28,"RT @DCnumerology: Zodiac signs that have the most trouble sleeping at night. 

-Gemini 
-Virgo
-Aquarius 
-Aries
-Sagittarius",kobyornotkoby,318,0,Sat Nov 07 19:59:45 +0000 2020
29,Chinese Zodiac: Monkey,ex0yen,0,0,Sat Nov 07 19:59:38 +0000 2020
30,"Money signs.🤑🤑🤑 oh my bad you said zodiac signs, hmmmmmm maybe a Scorpio https://t.co/gxosEdGeH8",AspenPink,0,0,Sat Nov 07 19:59:19 +0000 2020
31,"@fairynanaba stolen from tl &lt;3

- height: 5’9
- shoe size: 10.5
- zodiac sign: aries
- tattoos: 0
- piercings: 0 i… https://t.co/K4ItBKOiI2",m1daris,0,1,Sat Nov 07 19:59:17 +0000 2020
32,https://t.co/rZw3nosDqF,rafaarndt,0,0,Sat Nov 07 19:59:11 +0000 2020
33,also WHAT DOES HE ZODIAC SIGN HAVE TO DO WITH THIS,linorribang,0,0,Sat Nov 07 19:59:02 +0000 2020
34,"♡ height: 1,63 :)
♡ shoe size: 39-40
♡ zodiac sign: cancer, asc. sagitario, desc. capricorn
♡ tattoos: 0
♡ piercing… https://t.co/Cfb95YRzOB",laaiaveegaa,0,1,Sat Nov 07 19:58:51 +0000 2020
35,"RT @DCnumerology: Zodiac signs that have the most trouble sleeping at night. 

-Gemini 
-Virgo
-Aquarius 
-Aries
-Sagittarius",DJ_BlackNoodles,318,0,Sat Nov 07 19:58:50 +0000 2020
36,PLEASE SOMEONE WAS LIVE ON TIKTOK AND I ASKED FOR HIS ZODIAC SIGN CAUSE WHY NOT AND HE STARTED LAGGING AND WAS LIKE… https://t.co/6oKmf4uWOR,eaniimn,0,0,Sat Nov 07 19:58:46 +0000 2020
37,"aww it's so nice to see someone saying good things about my zodiac, they usually hate us because we're too sensitive https://t.co/cqJn8lRi6r",prfectlyclayton,0,0,Sat Nov 07 19:58:46 +0000 2020
38,"RT @DCnumerology: Zodiac signs that have the most trouble sleeping at night. 

-Gemini 
-Virgo
-Aquarius 
-Aries
-Sagittarius",foop220,318,0,Sat Nov 07 19:58:38 +0000 2020
39,"""Remember Remember Laodicea""=567
567=Zodiac
567=Rapture All
567=Blue Skull
567=Dark Phoenix
567=Grey Alien
567=Cann… https://t.co/fhPZl7zq6D",Opulent0000000,0,0,Sat Nov 07 19:58:34 +0000 2020
40,they Know chan's zodiac sign https://t.co/2uvnqUkNWQ,linorribang,0,0,Sat Nov 07 19:58:34 +0000 2020
41,@LUMlTYY LIKE... UR ZODIAC SIGN CHART... UR SUN SIGN MOON SIGN ETC... i’m trying to gather all my friends zodiac charts,unrealitycore,0,0,Sat Nov 07 19:58:30 +0000 2020
42,"// drugs 

how are you gonna bring substance abuse into this shit these are zodiac signs https://t.co/c68DTWepah",MlDORIYAGF,0,0,Sat Nov 07 19:58:22 +0000 2020
43,RT @astr0jade: so ive officially slept with every single zodiac sign,TofuTits,18,0,Sat Nov 07 19:58:21 +0000 2020
44,@needy_positions iced matcha green tea latte IT'S SO TRUE I WAS LITERALLY ABOUT TO COMMENT THAT ONE'S MY FAVORITE &amp;… https://t.co/55a80EbbwY,SadDaes,0,1,Sat Nov 07 19:58:18 +0000 2020
45,"@Zodiac_3rd ということでね　五回目で勝てたよ
ただまた脱臼してるから手抜いてもらったんじゃないかな……これはさ…… https://t.co/mzuHiobq2W",yatugu_ge,0,0,Sat Nov 07 19:58:06 +0000 2020
46,"RT @yogalard: Aaaand Cherry Blossom! :&gt;&gt;&gt;&gt; 🌸

I’ve been informed that I think I got the zodiac for this one wrong, which is sad. 

#RHart #…",spaceshippv,203,0,Sat Nov 07 19:58:02 +0000 2020
47,One of the few times I’ve completely agreed with a zodiac sign tweet https://t.co/FBi522JJEe,pinheadd_larry,0,0,Sat Nov 07 19:57:49 +0000 2020
48,"Horoscope Today: Astrological prediction for November 8, what’s in store for Aries, Virgo, Libra, Scorpio and other… https://t.co/uEVUwRxb8J",PostKashi,0,0,Sat Nov 07 19:57:47 +0000 2020
49,"♡height: 1,76
♡ shoe size: 42
♡ zodiac sign: leo crec
♡ tattoos: 0
♡ piercings: 1 dintre de poc 😌
♡ favorite color:… https://t.co/PbYUye3rvL",politoriko,0,0,Sat Nov 07 19:57:41 +0000 2020
50,"E essa nova Skol beats zodiac, eu que nem bebo vou comprar uma do meu signo só pra ter a latinha🥰♈️🙅🏽‍♀️",carolinwgomess,0,0,Sat Nov 07 19:57:38 +0000 2020
51,i SAID which one of my favourite musicals are you based on your zodiac sign https://t.co/Wks5ZXkipI,deardaaedays,0,0,Sat Nov 07 19:57:33 +0000 2020
52,"♡ height: gonna say 5’4 could be an inch off
♡ shoe size: 8 ? i think
♡ zodiac sign: capricorn
♡ tattoos: 0
♡ pierc… https://t.co/Qxn93XHPf5",HEAVENBESIDEY0U,0,1,Sat Nov 07 19:57:30 +0000 2020
53,@vorelixies wait i always wondered whats ur zodiac,ktlixie,0,0,Sat Nov 07 19:57:29 +0000 2020
54,"RT @EMOSLU7: libra:

- se supone que son los más estables del zodiaco pero son totalmente lo contrario a estable
- son amables y los demás…",dympb,3,0,Sat Nov 07 19:57:27 +0000 2020
55,RT @sagaqueerian: https://t.co/EnkyJsoDFm,xox_luna_xox,1,0,Sat Nov 07 19:57:19 +0000 2020
56,i don't even know his zodiac sign what the hell is this https://t.co/GHXrxHKhec,theestayllion,0,3,Sat Nov 07 19:57:12 +0000 2020
57,"HEIGHT: 178 cm
SHOE SIZE: 9 1/2
ZODIAC: Leo
TATTOOS: 4
PIERCINGS: 4 (2 on each ear)
FAV COLOR: sky blue, pink, &amp; pu… https://t.co/XG7JNj6CKC",Purdygator,0,1,Sat Nov 07 19:56:55 +0000 2020
58,"😍We know you've been waiting for it! 😍 🔥 Zodiac Cancer Necklace https://t.co/Qz3D83hQsa $13.00
#witchcraft #psychic… https://t.co/9TzQkei4D3",astrologeekk,0,0,Sat Nov 07 19:56:51 +0000 2020
59,"RT @NeoArcJoao: @sugathrillzz Aquarius
But for me zodiac signs is just to know my Gold Saint in Saint Seiya. XD https://t.co/vU4eidVVGm",for_seiya,0,0,Sat Nov 07 19:56:51 +0000 2020
60,@Zodiac_3rd お前脱臼しか出来ひんのか？？？,yatugu_ge,0,0,Sat Nov 07 19:56:48 +0000 2020
61,"RT @RachiesArt: Surprise!! My Zodiac Earring collection is LIVE an hour early✨😍 I got too excited!!! 

It would make my day to make a few s…",cozylemonbykate,22,0,Sat Nov 07 19:56:44 +0000 2020
62,@Zodiac_CR Your*,KickAshCR,0,0,Sat Nov 07 19:56:42 +0000 2020
63,I DIDNT EVEN KNOW HIS ZODIAC SIGN https://t.co/fdHsQ6Zl0X,izgwon,0,0,Sat Nov 07 19:56:30 +0000 2020
64,@Zodiac_CR Did you dog spam egolems?,KickAshCR,0,0,Sat Nov 07 19:56:28 +0000 2020
65,When someone asks me my zodiac sign I really be saying it like it’s an embarrassment lmao.. “I’m a crybaby cancer”...,Jazwhis,0,1,Sat Nov 07 19:56:19 +0000 2020
66,"RT @DCnumerology: Zodiac signs that are the most powerful in the physical and spiritual world.

-Cancer
-Capricorn 
-Aquarius 
-Pisces 
-Sc…",_clippergirl_24,861,0,Sat Nov 07 19:56:05 +0000 2020
67,"height: 166 cm
shoe size: 38-39
zodiac sign: cancer
tattoos: 0
piercings: one on each ear
favorite color(s): green… https://t.co/tw3EMECLvk",mazeishot,0,1,Sat Nov 07 19:55:58 +0000 2020
