zodiac_sign,count,mean,std,min,25%,50%,75%,max,date
scorpio,100.0,1.5073690341634263,2.2312612660280813,-2.8531515186039917,0.0,0.501074996872578,2.803654535357638,5.130026856275069,11/07/2020
capricorn,100.0,1.0990973898231733,2.081911132155256,-2.7136587975760036,0.0,0.0,2.498173163451297,4.7788702015462,11/07/2020
sagittarius,100.0,1.084188918726853,1.9972165955914012,-2.7719413991651094,0.0,0.4253654605871524,2.0407905738976835,10.2042021614534,11/07/2020
gemini,100.0,0.622123183157489,1.8260730681971884,-2.8814107761372223,-0.0035129750141112462,0.0,0.9581885587554834,4.97107795109929,11/07/2020
virgo,100.0,0.41933692444422266,1.36026310305132,-3.323164104459363,0.0,0.0,1.0719170208945614,6.384461136726467,11/07/2020
aquarius,100.0,0.3498536541339983,1.8815895664012168,-4.381790944945919,-0.33034962854053845,0.0,1.2479354906103115,5.017401152618201,11/07/2020
pisces,100.0,0.1960686347739276,2.104147428732412,-3.2951649223875954,-0.6705514176468046,0.0,1.3022499297843884,4.667363928062695,11/07/2020
leo,100.0,0.1944439253798512,1.008418012312785,-3.2172817178215363,0.0,0.0,0.0,5.3647597975450765,11/07/2020
taurus,100.0,0.12419951629948946,2.1813251518365133,-3.2795594026060733,-0.8418714600499955,0.0,0.9005136432161165,5.476753705290647,11/07/2020
libra,100.0,-0.025010914761556768,1.4327955492600537,-3.2885145093760024,-0.2800452792655755,0.0,0.16115557030988995,4.9983844279304455,11/07/2020
aries,100.0,-0.06410347379795173,0.9466606295418216,-4.053949445936582,-0.012286169248026191,0.0,0.0,2.144308817706029,11/07/2020
cancer,100.0,-0.6518237084328241,1.1639486235518048,-5.2335604303701935,-0.8331332145615605,-0.8331332145615605,0.0,2.747382574911251,11/07/2020
libra,100.0,0.6686690970573598,1.635009958145144,-3.1994592679212572,0.0,0.0,1.1737299796277456,6.695289445952851,11/12/2020
leo,100.0,0.6364985532035464,1.5288944123863923,-3.023545625209669,0.0,0.0,1.1145980257389037,6.6797923139592426,11/12/2020
capricorn,100.0,0.5320249374027265,1.2617674644361296,-3.402010974689156,0.0,0.8364163687803562,0.8364163687803562,3.810651959946931,11/12/2020
virgo,100.0,0.4279173625220815,1.580117385017452,-5.093100837754201,0.0,0.9196771597690114,0.9196771597690114,4.712210723116299,11/12/2020
aries,100.0,0.2783714499420759,1.6072312033378202,-4.566304024140416,0.0,0.0,0.3587830930299785,5.966044110167132,11/12/2020
gemini,100.0,0.2627571794745793,1.3970235719242077,-4.793419110685411,0.0,0.4724391467241624,0.6121735197013168,4.494999962894911,11/12/2020
sagittarius,100.0,0.24589598009863164,1.6579057317601056,-4.81105485310033,0.0,0.23126538317195905,0.23126538317195905,6.706786393315192,11/12/2020
aqaurius,100.0,0.2288822215471109,1.411000365358353,-4.220177280982367,0.0,0.0,0.9269000990503616,4.494999962894911,11/12/2020
taurus,100.0,0.12418814384214005,1.8192277979447835,-4.566304024140416,-0.8206572285301375,-0.23008344765319266,0.4089212808239488,5.648084453793576,11/12/2020
scorpio,100.0,-0.1762751516701279,1.590828698758033,-3.7560574281756183,-0.6479304850793032,0.0,0.5786383376972879,4.515126028795054,11/12/2020
pisces,100.0,-0.33476776181866724,1.7478703266598248,-3.7568604124692615,-1.313503533563874,0.0,0.5136166459883769,5.373319575490232,11/12/2020
cancer,100.0,-1.175184339088488,1.7329955433212667,-5.239219477415603,-2.2355124508251487,-0.9679336501774308,0.008470537884492537,3.2192420436784177,11/12/2020
libra,100.0,0.9689761708715574,1.7289644414691547,-3.5529307392032536,0.0,0.5706751905972782,2.1679438478416,4.895159331789623,11/14/2020 AM
leo,100.0,0.6299785431236937,1.226957973025962,-2.495497012544676,0.23362925420949185,0.23362925420949185,0.7575644099863829,5.6294474312174785,11/14/2020 AM
capricorn,100.0,0.5742987990211073,1.4002499743425811,-4.758493918457355,0.6804008803031913,0.8042414574361597,0.8042414574361597,3.370763312805232,11/14/2020 AM
virgo,100.0,0.5728936946844723,1.5643604435947738,-3.5529307392032536,-0.03371799382703037,0.1307898738038949,1.7794413377619898,4.600627393027371,11/14/2020 AM
aries,100.0,0.5680945798621608,1.4758644744668024,-2.7997718153347035,0.0,0.3754615164614599,1.331315753880685,4.437738297762585,11/14/2020 AM
gemini,100.0,0.5272957662744243,1.5850388300219072,-5.356200537352906,0.0,0.453009619109411,2.164039966466365,3.272848190651496,11/14/2020 AM
sagittarius,100.0,0.465160990402097,0.9483122013484664,-2.5321432787595426,0.3587830930299785,0.3587830930299785,0.3587830930299785,3.725996607667964,11/14/2020 AM
aqaurius,100.0,0.4203253019034523,1.5596595594989873,-3.5529307392032536,0.0,0.0,1.6180235807162642,3.6243423598796096,11/14/2020 AM
taurus,100.0,0.4186587348980343,1.9732649860991651,-5.228472133293422,-0.12149619806745765,0.0,0.741327201309479,9.065302022215727,11/14/2020 AM
scorpio,100.0,0.4184772005364485,1.6535959535211724,-6.970090695723287,-0.07429777997134346,0.0,0.7435771725054727,7.671364792599869,11/14/2020 AM
