,count,mean,std,min,25%,50%,75%,max
libra2,100.0,0.6686690970573598,1.635009958145144,-3.199459267921257,0.0,0.0,1.1737299796277456,6.695289445952851
leo2,100.0,0.6364985532035464,1.5288944123863923,-3.023545625209669,0.0,0.0,1.1145980257389037,6.6797923139592426
capricorn2,100.0,0.5320249374027265,1.2617674644361296,-3.4020109746891554,0.0,0.8364163687803562,0.8364163687803562,3.810651959946931
virgo2,100.0,0.42791736252208146,1.5801173850174521,-5.093100837754201,0.0,0.9196771597690114,0.9196771597690114,4.7122107231163
aries2,100.0,0.2783714499420759,1.60723120333782,-4.566304024140416,0.0,0.0,0.35878309302997846,5.966044110167132
gemini2,100.0,0.2627571794745793,1.3970235719242077,-4.793419110685411,0.0,0.47243914672416243,0.6121735197013168,4.494999962894911
sagittarius2,100.0,0.24589598009863164,1.6579057317601056,-4.81105485310033,0.0,0.23126538317195905,0.23126538317195905,6.706786393315192
aquarius2,100.0,0.22888222154711088,1.411000365358353,-4.220177280982367,0.0,0.0,0.9269000990503617,4.494999962894911
taurus2,100.0,0.12418814384214003,1.8192277979447835,-4.566304024140416,-0.8206572285301375,-0.23008344765319264,0.40892128082394874,5.648084453793575
scorpio2,100.0,-0.1762751516701279,1.5908286987580327,-3.7560574281756187,-0.6479304850793032,0.0,0.578638337697288,4.515126028795054
pisces2,100.0,-0.33476776181866724,1.7478703266598248,-3.756860412469261,-1.313503533563874,0.0,0.5136166459883769,5.373319575490231
cancer2,100.0,-1.175184339088488,1.7329955433212667,-5.239219477415603,-2.2355124508251487,-0.9679336501774307,0.008470537884492537,3.219242043678418
