,Unnamed: 0,Unnamed: 0.1,text,user,retweets,favorites,datetime
0,0,0,RT Aquarius (Let the Sunshine in),TerraBranford28,1,0,Sat Nov 07 21:10:57 +0000 2020
1,1,1,"RT 🌫️ Air Signs 🌫️ 🌸 Gemini / Libra / Aquarius 🌸 You want balance &amp; stability, love &amp; money, confidence &amp; recognition, yo…",FathOmDivinity,3,0,Sat Nov 07 21:10:51 +0000 2020
2,2,2,RT I think they forgot I’m an Aquarius...,_yonaaB,28,0,Sat Nov 07 21:10:51 +0000 2020
3,3,3,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",BreonaAndrea,12,0,Sat Nov 07 21:10:43 +0000 2020
4,4,4,"RT *when someone is genuinely nice* leo, scorpio, taurus, aquarius:",Fave_UXDesigner,844,0,Sat Nov 07 21:10:43 +0000 2020
5,5,5,"RT 🌫️ Air Signs 🌫️ 🌸 Gemini / Libra / Aquarius 🌸 You want balance &amp; stability, love &amp; money, confidence &amp; recognition, yo…",prysontiller,3,0,Sat Nov 07 21:10:41 +0000 2020
6,6,6,RT I think they forgot I’m an Aquarius...,BrandiPaula_,28,0,Sat Nov 07 21:10:40 +0000 2020
7,7,7,RT I think they forgot I’m an Aquarius...,BreonaAndrea,28,0,Sat Nov 07 21:10:34 +0000 2020
8,8,8,changkyun...... the aquarius man cannot be trusted,bxvIog,0,0,Sat Nov 07 21:10:30 +0000 2020
9,9,9,"RT 🌫️ Air Signs 🌫️ 🌸 Gemini / Libra / Aquarius 🌸 You want balance &amp; stability, love &amp; money, confidence &amp; recognition, yo…",apolonsfw,3,0,Sat Nov 07 21:10:27 +0000 2020
10,10,10,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",angelsscream,12,0,Sat Nov 07 21:10:20 +0000 2020
11,11,11,RT I think they forgot I’m an Aquarius...,mamisaturn,28,0,Sat Nov 07 21:10:09 +0000 2020
12,12,12,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",OtraAcuariana,12,0,Sat Nov 07 21:10:03 +0000 2020
13,13,13,Libra &amp; Aquarius. They listen and get with you but will tell you to sit to ass down when you going too far.,liickmyliily,0,0,Sat Nov 07 21:09:58 +0000 2020
14,14,14,"Also, if the person has access to continue to send them the person that's in a so called relationship they ain't shit either 😂",Aquarius_GOAT,0,0,Sat Nov 07 21:09:54 +0000 2020
15,15,15,"RT Gemini ♊ Libra ♎ Aquarius ♒ all I see for your next few months are growth, blessings and happiness. honestly, such good…",ThandekaKhumal1,239,0,Sat Nov 07 21:09:53 +0000 2020
