,text,user,retweets,favorites,datetime
0,"RT @OneLuckyGirl_28: Air and Fire: the oxygen in Air signs (Gemini, Libra, Aquarius) is fuel for Fire signs (Aries, Leo, Sagittarius). 
Air…",ReyaLynch,133,0,Sat Nov 07 20:55:32 +0000 2020
1,Mmm...fire sign guys 😋#Leo #Sagittarius #Aries,justduckyad,0,0,Sat Nov 07 20:55:31 +0000 2020
2,RT @FlockaKnows: We still on Biden’s  and Kamala’s head we just don’t want Trump in office . Period,aries_season247,19068,0,Sat Nov 07 20:55:30 +0000 2020
3,@marrainque ARIES,ravedave_9,0,0,Sat Nov 07 20:55:28 +0000 2020
4,"RT @astrodazueira: Nunca deixem esses signos na gaveta, eles são os melhores:

TOURO
Virgem
Leão
ÁRIES
Sagitário
Gêmeos
PEIXES
Escorpião",acbulas,73,0,Sat Nov 07 20:55:28 +0000 2020
5,"RT @iamnovibrown: Aries is the Warrior. 
Scorpio is the General.",LeungoMarubini,495,0,Sat Nov 07 20:55:27 +0000 2020
6,"RT @poeticstobin: aries venus
-q pasó rey se te fue toda la independencia
-no t involucres tan rápido sólo xq te demuestran amor 😭😭
-siempr…",giulistall,2,0,Sat Nov 07 20:55:24 +0000 2020
7,"142A4D04 :参戦ID
参加者募集！
Lv100 ユグドラシル・マグナ
https://t.co/tM0ziYPYeC",aries_knights,0,0,Sat Nov 07 20:55:23 +0000 2020
8,@rmarctic rj- zn - 19 signo de Áries,jhopefunny,0,0,Sat Nov 07 20:55:22 +0000 2020
9,"RT @KaiaSinclair: Words to say this weekend for the signs✨
Aries: ""Watch how things turn out.""
Taurus: ""You ever wanna just look at the sky…",TheHoneyKani,181,0,Sat Nov 07 20:55:21 +0000 2020
10,"@toiletghostsimp i got: straight
i am:

i got: aries 
i am:

i got: single
i am: 

i got: 14-15
i am: 

i got: extrovert
i am:",animelovingkid,0,1,Sat Nov 07 20:55:20 +0000 2020
11,"RT @MalfoyKB: Aries - Seyfi

-caring
-always there when you need them
-outgoing 
-loyal
-has their own opinion on everything https://t.co/H…",Luanaisme,3,0,Sat Nov 07 20:55:18 +0000 2020
