,Unnamed: 0,Unnamed: 0.1,text,user,retweets,favorites,datetime
0,0,0,You might receive some shocking news from a friend or acquaint... More for Cancer,Flyty___,0,0,Sat Nov 07 21:00:09 +0000 2020
1,1,1,You might receive some shocking news from a friend or acquaint... More for Cancer,squeeakers,0,0,Sat Nov 07 21:00:09 +0000 2020
2,2,2,You might receive some shocking news from a friend or acquaint... More for Cancer,favour_favzs,0,0,Sat Nov 07 21:00:09 +0000 2020
3,3,3,You might receive some shocking news from a friend or acquaint... More for Cancer,sabebelove,0,0,Sat Nov 07 21:00:09 +0000 2020
4,4,4,You might receive some shocking news from a friend or acquaint... More for Cancer,alexussntigo,0,0,Sat Nov 07 21:00:09 +0000 2020
5,5,5,You might receive some shocking news from a friend or acquaint... More for Cancer,2pac_makaveli10,0,0,Sat Nov 07 21:00:09 +0000 2020
6,6,6,You might receive some shocking news from a friend or acquaint... More for Cancer,MizzzCoco,0,0,Sat Nov 07 21:00:08 +0000 2020
7,7,7,"RT it’s giving cancer, pisces, and taurus",Lexi_soDrewski,1283,0,Sat Nov 07 21:00:08 +0000 2020
8,8,8,You might receive some shocking news from a friend or acquaint... More for Cancer,Wizfrenzy_03,0,0,Sat Nov 07 21:00:08 +0000 2020
9,9,9,You might receive some shocking news from a friend or acquaint... More for Cancer,Xavier7Trey,0,0,Sat Nov 07 21:00:08 +0000 2020
10,10,10,RT I’m just gonna post👇with F&amp;CK YES and Listen carefully: $50 billion for research to cure…,AlsChange,91,0,Sat Nov 07 21:00:08 +0000 2020
11,11,11,You might receive some shocking news from a friend or acquaint... More for Cancer,DaisySunshiine,0,0,Sat Nov 07 21:00:08 +0000 2020
12,12,12,You might receive some shocking news from a friend or acquaint... More for Cancer,sheaintsheekdoe,0,0,Sat Nov 07 21:00:08 +0000 2020
13,13,13,You might receive some shocking news from a friend or acquaint... More for Cancer,AlexJamesAbbs,0,0,Sat Nov 07 21:00:08 +0000 2020
14,14,14,Le Cancer au casino : il s'enfuit de ce lieu de tentations dès qu'il gagne quelque chose.,Petit_Horoscope,0,0,Sat Nov 07 21:00:08 +0000 2020
15,15,15,You might receive some shocking news from a friend or acquaint... More for Cancer,specialvixtum,0,0,Sat Nov 07 21:00:08 +0000 2020
16,16,16,You might receive some shocking news from a friend or acquaint... More for Cancer,DeeOriginal_Kyz,0,0,Sat Nov 07 21:00:07 +0000 2020
17,17,17,You might receive some shocking news from a friend or acquaint... More for Cancer,miss_cloudy88,0,0,Sat Nov 07 21:00:07 +0000 2020
18,18,18,You might receive some shocking news from a friend or acquaint... More for Cancer,KeltonsMommy1,0,0,Sat Nov 07 21:00:07 +0000 2020
19,19,19,Do you remember the disgusting kiss he gave Tipper that grossed out everybody? And then cheated on her…,ScvWatcher,0,0,Sat Nov 07 21:00:07 +0000 2020
20,20,20,You might receive some shocking news from a friend or acquaint... More for Cancer,isobeelxo,0,0,Sat Nov 07 21:00:07 +0000 2020
21,21,21,You might receive some shocking news from a friend or acquaint... More for Cancer,niesh_9412,0,0,Sat Nov 07 21:00:07 +0000 2020
22,22,22,You might receive some shocking news from a friend or acquaint... More for Cancer,JoannaMiranty,0,0,Sat Nov 07 21:00:07 +0000 2020
23,23,23,Love it when Trumpets cry. Keep spouting out your socialist conspiracies. Right wing…,tylerman1014,0,0,Sat Nov 07 21:00:07 +0000 2020
24,24,24,You might receive some shocking news from a friend or acquaint... More for Cancer,_KayJine,0,0,Sat Nov 07 21:00:07 +0000 2020
25,25,25,You might receive some shocking news from a friend or acquaint... More for Cancer,shortnessss__,0,0,Sat Nov 07 21:00:07 +0000 2020
26,26,26,It doesn’t work in this situation since the rate of counting decreased when they got to the mail in ball…,PerriTheSmark,0,0,Sat Nov 07 21:00:07 +0000 2020
27,27,27,You might receive some shocking news from a friend or acquaint... More for Cancer,kris10623,0,0,Sat Nov 07 21:00:06 +0000 2020
28,28,28,You might receive some shocking news from a friend or acquaint... More for Cancer,imwatszpoppin,0,0,Sat Nov 07 21:00:06 +0000 2020
29,29,29,You might receive some shocking news from a friend or acquaint... More for Cancer,softgothcommie,0,0,Sat Nov 07 21:00:06 +0000 2020
30,30,30,Inflammatory foods are linked with higher colon cancer risk - Harvard Health inflammation coloncancer…,SusanNealYoga,0,0,Sat Nov 07 21:00:06 +0000 2020
31,31,31,RT 🚨On se mobilise pour ce petit Loulou ! ⁦ ⁦ ⁦ ⁦ 🙏🏻,Romsss_,73,0,Sat Nov 07 21:00:05 +0000 2020
32,32,32,You might receive some shocking news from a friend or acquaint... More for Cancer,antpowell,0,0,Sat Nov 07 21:00:05 +0000 2020
33,33,33,You might receive some shocking news from a friend or acquaint... More for Cancer,__maaani,0,0,Sat Nov 07 21:00:05 +0000 2020
34,34,34,You might receive some shocking news from a friend or acquaint... More for Cancer,Cute_oris,0,0,Sat Nov 07 21:00:05 +0000 2020
