,Unnamed: 0,Unnamed: 0.1,text,user,retweets,favorites,datetime
0,0,0,if you’re a capricorn moon you could end up with a pussy out look that’s SO funny to me tbh,tiddie_,0,0,Sat Nov 07 21:09:43 +0000 2020
1,1,1,I played among us so I got a message for someone I cant find : MOINURSELF if u are out there I accidentally gave yo…,thatmfchicken,0,0,Sat Nov 07 21:09:43 +0000 2020
2,2,2,"Suite à un mental breakdown de 2h au téléphone avec mes parents, j'ai clairement compris que 1- je me mettai encore…",Capricorn_Mind,0,0,Sat Nov 07 21:09:33 +0000 2020
3,3,3,Capricorn,meet_muby,0,0,Sat Nov 07 21:09:25 +0000 2020
4,4,4,He was born Dec 22nd I think that’s a Capricorn shit idk,iam__arie,0,0,Sat Nov 07 21:09:21 +0000 2020
5,5,5,RT rating the signs bc y not 1) scorpio 2) gemini 3) aquarius 4) taurus 5) aries 6) virgo 7) cancer 8) leo 9) libra 10…,gunananana,30,0,Sat Nov 07 21:09:21 +0000 2020
6,6,6,"RT and this, my friends, is capricorn energy",destinymyaaX3,922,0,Sat Nov 07 21:09:13 +0000 2020
7,7,7,♡ - Height : 1.56 ♡ - Shoe size : 37 ♡ - Zodiac sign : Capricorn ♡ - Tattoos : 0 ♡ - Piercings : 0 ♡ - Favorite co…,Milkmoo11,0,0,Sat Nov 07 21:09:12 +0000 2020
8,8,8,me a capricorn reading this 👁👄👁,alpacinowhore,0,0,Sat Nov 07 21:09:06 +0000 2020
9,9,9,RT Aries is independent — Libra is partnership. Taurus is attachment — Scorpio is detachment. Gemini is speaking — Sagit…,ShaliGl0ws,140,0,Sat Nov 07 21:09:05 +0000 2020
10,10,10,RT That’s a Capricorn room,3ye4A3ye,1,0,Sat Nov 07 21:09:01 +0000 2020
11,11,11,I seriously waa thinking the same. The premature announcement from the media and then they retract…,capricorn_eight,0,0,Sat Nov 07 21:08:58 +0000 2020
12,12,12,Capricorn,liickmyliily,0,0,Sat Nov 07 21:08:54 +0000 2020
13,13,13,RT he’s either a capricorn leo or aries,yourariesfriend,5,0,Sat Nov 07 21:08:53 +0000 2020
14,14,14,"RT If you... If you want me, earn me... Scorpio, Capricorn, Taurus, Gemini If you love me, show me... Aries, Leo, Cance…",yesimachipmunk,114,0,Sat Nov 07 21:08:49 +0000 2020
15,15,15,RT Sometimes you have to realize that those with Capricorn placements don’t always use words of affirmation to show their lo…,g_bouqui,483,0,Sat Nov 07 21:08:42 +0000 2020
16,16,16,Gemini x Capricorn Thoughts?,lilastroqueens,0,0,Sat Nov 07 21:08:37 +0000 2020
17,17,17,"RT The mission was a sham. The murders were real. Elliott Gould, James Brolin and Brenda Vaccaro star in, Capricorn One (197…",mrtnkeady,1,0,Sat Nov 07 21:08:28 +0000 2020
18,18,18,RT If anything this is a workaholic Capricorn’s dream home where they spend 20 minutes sleeping before going to wor…,3ye4A3ye,1,0,Sat Nov 07 21:08:25 +0000 2020
19,19,19,🤭 (My bro is also a Capricorn),pengutho,0,0,Sat Nov 07 21:08:24 +0000 2020
20,20,20,"RT Might just be the Capricorn in me but like, can people not work on themselves for themselves or?",KassiQuinones,97,0,Sat Nov 07 21:08:19 +0000 2020
21,21,21,"RT Capricorn Affirmations: 🌱 I deserve happiness, I am happy. 🌵I am fulfilled in who I am deeply. 🌱 I am proud of mysel…",88fallings,137,0,Sat Nov 07 21:08:18 +0000 2020
22,22,22,RT Top 5 funniest signs. 😂😭 1. Capricorn 2. SAGITTARIUS 3. ARIES 4. Pisces 5. TAURUS,zoeymartinezz,1518,0,Sat Nov 07 21:08:03 +0000 2020
23,23,23,"The mission was a sham. The murders were real. Elliott Gould, James Brolin and Brenda Vaccaro star in, Capricorn…",skipbolden,1,6,Sat Nov 07 21:08:00 +0000 2020
24,24,24,STOPZBSJSJSJSJZJZJjnznNJ,M1CACA,0,1,Sat Nov 07 21:07:54 +0000 2020
25,25,25,"RT ✉️🔮Capricorn, Gemini, Pisces, Cancer -sun, moon, rising, venus- you know exactly what you need to get to where you’re goi…",leiannejustine,45,0,Sat Nov 07 21:07:54 +0000 2020
26,26,26,RT Capricorn takes great care in their appearance &amp; the appearance of their lover.,that_gurl_genae,196,0,Sat Nov 07 21:07:47 +0000 2020
27,27,27,"RT Capricorn Affirmations: 🌱 I deserve happiness, I am happy. 🌵I am fulfilled in who I am deeply. 🌱 I am proud of mysel…",meccadrealist,137,0,Sat Nov 07 21:07:30 +0000 2020
28,28,28,RT Sometimes you have to realize that those with Capricorn placements don’t always use words of affirmation to show their lo…,Zama_Nkosi,483,0,Sat Nov 07 21:07:27 +0000 2020
