,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"RT Gemini ♊ Libra ♎ Aquarius ♒ all I see for your next few months are growth, blessings and happiness. honestly, such good…",_spicyyyyyy,227,0,Sat Nov 07 20:57:20 +0000 2020
1,1,Me and my kid brotha out on a ride 🌲🪓🦌🐻 woods quads fourwheelers pines eldoradocounty cold brothers…,Gemini_209_,0,0,Sat Nov 07 20:57:17 +0000 2020
2,2,i got: straight i am: SO FUCKING GAY i got: 18 i am: 18 i got: single i am: :( i got: cancer i am: Gemini i go…,momosdicc,0,0,Sat Nov 07 20:57:12 +0000 2020
3,3,"Wtf is in the Sky, this gemini is so talkative",Valq_Sousa,0,0,Sat Nov 07 20:57:11 +0000 2020
4,4,"RT Gemini ♊ Libra ♎ Aquarius ♒ all I see for your next few months are growth, blessings and happiness. honestly, such good…",shameee__,226,0,Sat Nov 07 20:57:08 +0000 2020
5,5,"RT Gemini, Virgo, Sagittarius, Pisces🦋 Many of you want other people to show up &amp; clap for you when you don’t even clap f…",Gisele_Liza,48,0,Sat Nov 07 20:57:02 +0000 2020
6,6,"Like, what do Libra, Gemini, Sagittarius, and Taurus all have in common for this type of slander?",GothDog09,0,0,Sat Nov 07 20:56:59 +0000 2020
7,7,my gemini brother is trying to convince me he's logical and has never experienced an emotional outburst ever,tunainabox,0,0,Sat Nov 07 20:56:55 +0000 2020
8,8,Gemini and walking through trails in the woods or having a picnic at the park 😊,alyssaclerico1,0,0,Sat Nov 07 20:56:55 +0000 2020
9,9,RT Waking up to the sound of rain and Biden winning presidency is an amazing way to wake up ❤️😍,lopez_gemini,33,0,Sat Nov 07 20:56:51 +0000 2020
10,10,they gave me: bi i am: they gave me: gemini i am: they gave me: single i am: they gave me: 15 i am:…,sofiiamagalhaes,0,0,Sat Nov 07 20:56:48 +0000 2020
11,11,"RT Gemini ♊ Libra ♎ Aquarius ♒ all I see for your next few months are growth, blessings and happiness. honestly, such good…",ddoryannn,227,0,Sat Nov 07 20:56:46 +0000 2020
12,12,RT The curious case of Joe Biden and Gemini’s His wife is Gemini Kamala is Gemini Rising And he just finished a heated battled…,coraIines_,4,0,Sat Nov 07 20:56:39 +0000 2020
13,13,Ifl Scorpios an gemini have a weird attraction to each other,cjstarot,0,0,Sat Nov 07 20:56:34 +0000 2020
14,14,Molti ripetono gli stessi errori! Ma non se ne rendono conto ! Fondamentalmente perché persone fiduciose,cosedelpassato,0,0,Sat Nov 07 20:56:31 +0000 2020
15,15,VP is a gemini sun too!,def_not_emmi,0,0,Sat Nov 07 20:56:31 +0000 2020
16,16,"RT good afternoon to pisces, gemini, virgo, scorpio n sag only. love.",thesosaotto,1,0,Sat Nov 07 20:56:31 +0000 2020
17,17,gemini &amp; sagittarius,_lovenyy,0,0,Sat Nov 07 20:56:22 +0000 2020
18,18,i got: bi i am: i think so!! i got: gemini i am: cancer or gemini?? i'm june 21st but relate mor…,magicjerboa,0,0,Sat Nov 07 20:56:19 +0000 2020
