,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT - mas vc tá bem msm? - tô sim - tu tá onde? - tô deitado aqui de boa,Kayl_Leo,4702,0,Sat Nov 07 21:05:09 +0000 2020
1,1,RT 😱SOMOS +100K de LEO ¿Se imaginan una fiesta solo de personas del signo leo para celebrar?,Dr_Caronte,8,0,Sat Nov 07 21:05:08 +0000 2020
2,2,No still the same I’m waiting for it to change,Iam_Hercules91,0,0,Sat Nov 07 21:05:08 +0000 2020
3,3,Medicine for the soul.,leo_mrusso,0,0,Sat Nov 07 21:05:08 +0000 2020
4,4,"A tutti e tutte voi buona notte, anche se io resto ancora sveglio a lungo. Ciao. Leo",Leonard48598239,0,0,Sat Nov 07 21:05:08 +0000 2020
5,5,Estoy destruida Doe💔 Cuando leo o veo algo así me levanta un poco... Gracias!,gladys_p8,0,0,Sat Nov 07 21:05:07 +0000 2020
6,6,RT Elecciones 2020 Los leo,ramiroluque04,64,0,Sat Nov 07 21:05:07 +0000 2020
7,7,"RT Una imagen poco frecuente en Camp Nou: Leo Messi, suplente contra el Betis 🔟🔴🔵",rynerust,6,0,Sat Nov 07 21:05:07 +0000 2020
8,8,RT Si como leo Biden es de ideología socialista y comunista nos tiene que favorecer y ya no tendremos aranceles con el aceite de…,pepeconchi,3,0,Sat Nov 07 21:05:07 +0000 2020
9,9,RT Leo HATES temporary people,aadebutjojo_,302,0,Sat Nov 07 21:05:06 +0000 2020
10,10,RT Park Jimin as “Fleurs au vase” by Leo Luppe,filtersbxddie,7,0,Sat Nov 07 21:05:06 +0000 2020
11,11,Oui mais la plupart des gens parlent sans rien réellement savoir de ce qu’il a f…,Seanth11,0,0,Sat Nov 07 21:05:06 +0000 2020
12,12,RT Suplentes: 40 T. Couto 41 Junior 2 Igor V. 32 Rodrigo 5 Arboleda 16 Léo 36 Patryck 25 R. Nestor 15 Hernanes 9 Pablo 18 Toró…,startrekwhy,11,0,Sat Nov 07 21:05:06 +0000 2020
13,13,RT e Leo Pereira,Cleisoncamposs,1,0,Sat Nov 07 21:05:06 +0000 2020
14,14,‘THANK YOU FOR PRAYING FOR ME’: Herschel Walker shuts down Majority Whip James Clyburn’s attempt to shun black men…,Sweetjudii,0,0,Sat Nov 07 21:05:05 +0000 2020
15,15,A QUIÉN DEBES STANEAR SEGÚN TU SIGNO aries \ tauro géminis \ cancer leo \…,marianxwalls,0,0,Sat Nov 07 21:05:05 +0000 2020
16,16,...io e pollo05 Tene siamo grati!!! Notte e a domani !!!,ColucciLc,0,0,Sat Nov 07 21:05:05 +0000 2020
17,17,"RT Gobernación de Panamá apoya las tareas humanitarias. Somos una Provincia Solidaria. Agradecemos a la Cruz Roja, Club Leo y V…",ThaisVyA,1,0,Sat Nov 07 21:05:04 +0000 2020
18,18,lol like that makes one bit of difference. Such a deep thinker Preet,sox_leo,0,0,Sat Nov 07 21:05:04 +0000 2020
19,19,RT Leo Messi is 4 Goals away from breaking Pele's Record ⏳,Kelvic98,1004,0,Sat Nov 07 21:05:03 +0000 2020
20,20,"RT Donald you had very wise thoughts!!!🇺🇸🤗🇷🇺👍👌🤗 ... But this ""Dumb and Dumber"" chose the path of…",Leo__nid,1,0,Sat Nov 07 21:05:03 +0000 2020
21,21,Exactly! You knew...,Leo_The_Her0,0,0,Sat Nov 07 21:05:03 +0000 2020
22,22,"RT İyi ki doğdun, iyi ki varsın, Kral! 👑🎂🥳 Happy31stBirthdayCanYaman",st_ek_leo,1,0,Sat Nov 07 21:05:02 +0000 2020
23,23,RT 🚨🚨🚨 😳😳😳 CLARÍSIMO fuera de juego de Leo Messi en el gol del Barcelona que el VAR dio como válido. El vuelve…,AleBrachi96,969,0,Sat Nov 07 21:05:02 +0000 2020
24,24,Vai mermo!,leo_brxgx,0,0,Sat Nov 07 21:05:02 +0000 2020
25,25,RT Leo Messi is 4 Goals away from breaking Pele's Record ⏳,PhilipsMichae13,1004,0,Sat Nov 07 21:05:02 +0000 2020
26,26,leo machista altos cortando a brisa,allanxorq,0,0,Sat Nov 07 21:05:01 +0000 2020
27,27,ElPaisano con Leo Harlem ya tiene fecha para su quinta temporada,eltelevisero,1,0,Sat Nov 07 21:05:00 +0000 2020
28,28,RT Que Pendejo ese tal Leo S,ChelitoAmlover,2,0,Sat Nov 07 21:05:00 +0000 2020
29,29,Da até pena dessa lixarada do PSOL. 🤣,Ramos__Leo,0,0,Sat Nov 07 21:04:59 +0000 2020
30,30,"RT Leo a muchos y que 'Ay Dios qué pasará con Venezuela???' - NADA MARICO NADA, ASÍ COMO NO PASÓ NADA LOS ÚLTIMOS 4 AÑOS QU…",joelxx90,3,0,Sat Nov 07 21:04:59 +0000 2020
31,31,RT Elecciones 2020 Los leo,leandroglopez,64,0,Sat Nov 07 21:04:58 +0000 2020
32,32,Ya ohhh!!,leo_flowers100,0,0,Sat Nov 07 21:04:57 +0000 2020
33,33,RT Elecciones 2020 Los leo,DamianGuillerme,64,0,Sat Nov 07 21:04:55 +0000 2020
34,34,"Yes leonidas is a cute greek gay, dont offence him🥰",yeldacenki,0,0,Sat Nov 07 21:04:55 +0000 2020
