,text,user,retweets,favorites,datetime
0,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,janibani8,18,0,Sat Nov 07 21:07:11 +0000 2020
1,sagittarius and libra https://t.co/zOX41Cue1e,madixzu,0,0,Sat Nov 07 21:07:08 +0000 2020
2,RT @shoe0nhead: did this man’s entire presidency just end in a landscaping company’s parking lot https://t.co/gRo6CzO4Fz,trust_in_libra,6248,0,Sat Nov 07 21:07:08 +0000 2020
3,RT @sharlenelvndr: The leo and libra gon talk for two hours straight. The sag gon get too drunk and punch somebody in the face,nodice140,3,0,Sat Nov 07 21:07:07 +0000 2020
4,"RT @zodiacashomes: Taurus,Gemini,Libra and Sagittarius dream home https://t.co/HWsk2qnm5U",3ye4A3ye,24,0,Sat Nov 07 21:07:07 +0000 2020
5,Kim is a libra one thing about them they gonna fake shit to get what they want 🤣🤣🤣🤣🤣🤣 https://t.co/YG6BzUaLC2,gigi_iw,0,0,Sat Nov 07 21:07:07 +0000 2020
6,"RT @ursulamariah: Feliz Sábado , entre oración 🙏 y cafecito ☕☕ demos gracias al Señor. 🌞🙏 Cuando claman a él , los escucha y los libra de s…",canarita_23,4,0,Sat Nov 07 21:07:01 +0000 2020
7,"RT @thatbilloakley: In case you missed it, the Trump campaign called a press conference this morning in the parking lot of ""Four Seasons To…",trust_in_libra,5995,0,Sat Nov 07 21:07:01 +0000 2020
8,"RT @zodiacashomes: Libra,Leo Sagittarius Aries and Scorpio dream bathroom https://t.co/D6h56PP7eU",kwadwo_peprah_,260,0,Sat Nov 07 21:07:01 +0000 2020
9,"i got: straight
i am: bi

i got: libra
i am:  virgo

i got: in a relationship? idk
i am: single af

i got: 19
i am:… https://t.co/ahjWHBIHit",HeartFarAway,0,0,Sat Nov 07 21:07:00 +0000 2020
10,"nadie:

yo: sol en libra, ascendente el libra, venus en libra y luna en escorpio 🤩

(fuera d joda q combinación más mierdera)",h6eluv,0,0,Sat Nov 07 21:07:00 +0000 2020
11,"RT @KaiaSinclair: Air moons so Libra, Aquarius, Gemini...I hope you are ready to see changes in the 3D. On a large scale, like money flowin…",fffeenaaa,254,0,Sat Nov 07 21:06:58 +0000 2020
12,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,wdnsdayaddams,17,0,Sat Nov 07 21:06:58 +0000 2020
13,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,Lucia31801776,19,0,Sat Nov 07 21:06:56 +0000 2020
14,"RT @AstrologyVibez: Venus &amp; Mercury are both in Libra. 💕✨

Look for the beauty in the world. 💞 https://t.co/1Rlg3ocJu3",THULIRAMSs,59,0,Sat Nov 07 21:06:52 +0000 2020
15,"RT @astrodazueira: Não nasceram pra ser segunda opção:

Câncer
Peixes
Touro
Aquário
Áries
Libra
Capricórnio
Leão",jaquecrf7,746,0,Sat Nov 07 21:06:46 +0000 2020
16,"list your zodiac bodies: 3 cancers, a libra and a capricorn https://t.co/ulrl8BvsQd",parisnatl,0,0,Sat Nov 07 21:06:45 +0000 2020
17,@AshSpurge @JasMoneyRecords Perhaps Libra fuckery,jamiebradley,0,0,Sat Nov 07 21:06:44 +0000 2020
18,libra because i LOVEEE them https://t.co/Etz3QaFG8N,madixzu,0,0,Sat Nov 07 21:06:40 +0000 2020
19,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,clarapiz,19,0,Sat Nov 07 21:06:40 +0000 2020
20,RT @benleemusic: The bells are ringing in Paris! https://t.co/dEm3AbjaSH,lornaL_libra,14149,0,Sat Nov 07 21:06:38 +0000 2020
21,"RT @astrodazueira: Não nasceram pra ser segunda opção:

Câncer
Peixes
Touro
Aquário
Áries
Libra
Capricórnio
Leão",marianam_lopes,746,0,Sat Nov 07 21:06:35 +0000 2020
22,im a libra woman maybe i shouldn’t kms,britsthebest13,0,0,Sat Nov 07 21:06:35 +0000 2020
23,"exposed do meu mapa astral

sol: libra
lua: câncer 
vênus: escorpião 
asc: Áries https://t.co/05lSJAJUmy",raizabteixeira,0,0,Sat Nov 07 21:06:34 +0000 2020
24,"RT @obsidianshakti: Aries, Cancer, Libra, Capricorn🦋

You’re in this period of renewal, expansion, and creativity. However, this change is…",dianalauraaaaaa,11,0,Sat Nov 07 21:06:29 +0000 2020
25,"RT @astrodazueira: Não nasceram pra ser segunda opção:

Câncer
Peixes
Touro
Aquário
Áries
Libra
Capricórnio
Leão",NaiaraMarins2,746,0,Sat Nov 07 21:06:28 +0000 2020
26,"RT @askraphaella: @mothicbeauty To this day I’m mad Kim is a Libra.
So I feel you.",mothicbeauty,1,0,Sat Nov 07 21:06:24 +0000 2020
27,"RT @astrodazueira: Nunca fui de gostar pouco, ou gosto  muito ou não gosto:

Câncer
Virgem
Libra
Áries
Peixes
Capricórnio
Touro",_coelho157,456,0,Sat Nov 07 21:06:22 +0000 2020
28,"@skalirse i guess you should be if you’re a gemini, libra or aqua",beyonc4xscape,0,0,Sat Nov 07 21:06:18 +0000 2020
29,"RT @libra_hn: No finjas para agradar a #Libra, notan fácilmente la diferencia entre lo real y lo que no lo es.",indiraM17,511,0,Sat Nov 07 21:06:14 +0000 2020
30,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,aqua_eris11,18,0,Sat Nov 07 21:06:13 +0000 2020
31,"RT @solleienergy: love —— aries, libra, pisces &amp; capricorn 💌

you are awaiting for someone to make the move and finally confess their feeli…",offtheoceann,63,0,Sat Nov 07 21:06:11 +0000 2020
32,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,freeMedusa,18,0,Sat Nov 07 21:06:08 +0000 2020
33,Libra women 💓💓💞💕💘💘💖💕💝💞💓💝💘💘💖💕💕💓💓💘💖💞💞💞💞💕💕💞💘💕💝💓💓💖💘💘💖💖💖💝💞💞💘,britsthebest13,0,0,Sat Nov 07 21:06:08 +0000 2020
34,"RT @sgnLibra: #Libra Se for verdadeiro vai acontecer, independente de tempo e distância.",letrarayanne,65,0,Sat Nov 07 21:06:06 +0000 2020
35,my cancer sun and libra rising looking at me like 😀 https://t.co/hxFpB9pSi3,paigingsyd,0,0,Sat Nov 07 21:06:03 +0000 2020
36,-libra https://t.co/fieUDkDDPY,loverofharryl,0,1,Sat Nov 07 21:06:00 +0000 2020
37,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,ICARUS53897677,19,0,Sat Nov 07 21:05:56 +0000 2020
38,@CelianeAyisyen Which one the libra,toriborishmori,0,1,Sat Nov 07 21:05:54 +0000 2020
39,"@HeartFarAway i got: straight
i am: 

i got: libra
i am: 

i got: in a relationship? idk
i am: 

i got: 19
i am:… https://t.co/358CqJ66BG",bodyoverdose,0,1,Sat Nov 07 21:05:54 +0000 2020
40,"أنا أشعر بالعاصفة التي تعصف بقلبك و لم تخبر أحدًا عنها 
لكن أودّ إخبارك أن هذهِ الرياح لن تعتو طويلًا
قاتل ياصديقي، ستنتصر🤍",4__libra,1,2,Sat Nov 07 21:05:53 +0000 2020
41,@kkriste_n i see libra,brattyzamo,0,1,Sat Nov 07 21:05:52 +0000 2020
42,"@mothicbeauty To this day I’m mad Kim is a Libra.
So I feel you.",askraphaella,1,1,Sat Nov 07 21:05:49 +0000 2020
43,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,Thisbaddi3,18,0,Sat Nov 07 21:05:46 +0000 2020
44,"RT @meldoestarot: Gemini ♊ Libra ♎ Aquarius ♒ 

all I see for your next few months are growth, blessings and happiness. honestly, such good…",audreysaraii,234,0,Sat Nov 07 21:05:36 +0000 2020
45,RT @KarenKilgariff: Finally,trust_in_libra,2186,0,Sat Nov 07 21:05:35 +0000 2020
46,"RT @xsugarcherry: Libra, escorpião, áries, capricórnio e aquário são os signos que eu mais odeio que geralmente não se dão bem comigo e tam…",xsugarcherry,1,0,Sat Nov 07 21:05:32 +0000 2020
47,"RT @marianxwalls: A QUIÉN DEBES STANEAR SEGÚN TU SIGNO

aries         \
tauro
géminis         \
cancer 
leo                       \   
virg…",betterxshe_,2,0,Sat Nov 07 21:05:30 +0000 2020
48,si Georgia puede ser azul el libra me puede tirar el pedo https://t.co/k6k4kYYpFg,thaniaconnhache,0,0,Sat Nov 07 21:05:29 +0000 2020
49,@sergiobizcas simplemente una libra en todo su esplendor sergio,twentyonedylans,0,1,Sat Nov 07 21:05:23 +0000 2020
50,@naughty_libra @Mosace1 Mad oo,kapteynmeeky,0,0,Sat Nov 07 21:05:23 +0000 2020
51,@Blancanieves5g A mi una Libra me parió,Asarramarka,0,0,Sat Nov 07 21:05:22 +0000 2020
52,"RT @marianxwalls: A QUIÉN DEBES STANEAR SEGÚN TU SIGNO

aries         \
tauro
géminis         \
cancer 
leo                       \   
virg…",fiierlesss,2,0,Sat Nov 07 21:05:16 +0000 2020
53,@michealsclit i’m a libra rising tho💔,beyonc4xscape,0,1,Sat Nov 07 21:05:12 +0000 2020
54,"RT @KaiaSinclair: Air moons so Libra, Aquarius, Gemini...I hope you are ready to see changes in the 3D. On a large scale, like money flowin…",Beysickaf,254,0,Sat Nov 07 21:05:10 +0000 2020
55,Big booty bitch on my dick she a libra,jayXL561,0,0,Sat Nov 07 21:05:10 +0000 2020
56,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,norejj,19,0,Sat Nov 07 21:05:08 +0000 2020
57,RT @balleralert: DMX Gets Emotional Sharing The Story Of How He Was Tricked Into Smoking Crack As A Kid: ‘Why Would You Do That To A Child?…,Ya_Fav_Libra,9,0,Sat Nov 07 21:05:08 +0000 2020
58,"A QUIÉN DEBES STANEAR SEGÚN TU SIGNO

aries         \
tauro
géminis         \
cancer 
leo                       \… https://t.co/ItsHwfDNUD",marianxwalls,2,1,Sat Nov 07 21:05:05 +0000 2020
59,"RT @nattnaat_: THE ONLY LIBRA SUN, ARIES MOON &amp; SAGITTARIUS RISING I STAN 😫 LIKE HER CHART IS SO POWERFUL",freakshow_xv,1,0,Sat Nov 07 21:04:59 +0000 2020
60,"RT @obsidianshakti: Aries, Cancer, Libra, Capricorn🦋

You’re in this period of renewal, expansion, and creativity. However, this change is…",She_is_Kay,11,0,Sat Nov 07 21:04:53 +0000 2020
61,"HEIGHT: 5’2.5
SHOE SIZE: 7
ZODIAC SIGN: libra
TATTOOS: none:((
PIERCINGS: ears!! i really want a nose stud too
FAV… https://t.co/Ym7nnFA4zw",outofhiskitchen,0,0,Sat Nov 07 21:04:48 +0000 2020
62,and Libra &amp; Sag duo is such a good time,Naudeeeznuts,0,1,Sat Nov 07 21:04:46 +0000 2020
63,"RT @meldoestarot: Gemini ♊ Libra ♎ Aquarius ♒ 

all I see for your next few months are growth, blessings and happiness. honestly, such good…",_iindiaaaa,234,0,Sat Nov 07 21:04:44 +0000 2020
64,"Libra, escorpião, áries, capricórnio e aquário são os signos que eu mais odeio que geralmente não se dão bem comigo… https://t.co/uQI0UHGzJz",xsugarcherry,1,0,Sat Nov 07 21:04:42 +0000 2020
65,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,NeftaliEspinosa,19,0,Sat Nov 07 21:04:41 +0000 2020
66,cada vez que dicen algo lindo de venus en libra me pongo colorada muchas gracias por los halagos,cyphtearr,0,0,Sat Nov 07 21:04:39 +0000 2020
67,So everybody gone type the same tweet about Trump getting the full 2020 experience...instead of just hitting the re… https://t.co/IWjBB9jezk,Ya_Fav_Libra,0,0,Sat Nov 07 21:04:38 +0000 2020
68,"@bear_fruit_0704 まじかwwwwwwwwwwwwwww
公式が匂わせはもうwwwwwwwww
とりあえず早く公式発表くれってやつやwwwwwwwww",Libra_1410,0,0,Sat Nov 07 21:04:37 +0000 2020
69,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,idyllicsequoia,18,0,Sat Nov 07 21:04:35 +0000 2020
70,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,JRichterR88,19,0,Sat Nov 07 21:04:33 +0000 2020
71,"RT @obsidianshakti: Affirm:
Aries • Cancer • Libra • Capricorn 

I am stepping into a period of wealth where everything works out in my fav…",alyssao_O,4824,0,Sat Nov 07 21:04:33 +0000 2020
72,"RT @SignoLibraRD: El hombre #LIBRA♎  es un romántico de corazón, así que no tengas miedo de darle rienda suelta a tus fantasías y hasta pon…",Mau_carlino,17,0,Sat Nov 07 21:04:31 +0000 2020
73,No sabía las características de las personas libra y ahora quiero un libra en mi vida 👁️👄👁️,lxstjavi,0,1,Sat Nov 07 21:04:30 +0000 2020
74,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,SOCATRADESC,19,0,Sat Nov 07 21:04:29 +0000 2020
75,"RT @obsidianshakti: Aries, Cancer, Libra, Capricorn🦋

You’re in this period of renewal, expansion, and creativity. However, this change is…",livyrozay,11,0,Sat Nov 07 21:04:24 +0000 2020
76,"RT @jaharha: Really it’s Gemini, Pisces, Cancer, Libra, and Aquarius",sol_inv,4,0,Sat Nov 07 21:04:21 +0000 2020
77,"RT @libra_hn: #Libra lo tiene todo, encanto, presencia, elegancia, cortesía e inteligencia ¿Qué más andas buscando?",Mau_carlino,263,0,Sat Nov 07 21:04:17 +0000 2020
78,@moonchildbutera Libra ?,moonlight7rings,0,0,Sat Nov 07 21:04:16 +0000 2020
79,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,candearias00,19,0,Sat Nov 07 21:04:16 +0000 2020
80,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,mlanchda,19,0,Sat Nov 07 21:04:14 +0000 2020
81,RT @mvsebastian: more libra energy https://t.co/JYNKdN40wJ,chavonnwshen,1,0,Sat Nov 07 21:04:14 +0000 2020
82,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,realdiegol,19,0,Sat Nov 07 21:04:12 +0000 2020
83,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,94blueboy,18,0,Sat Nov 07 21:04:11 +0000 2020
84,RT @martiithellama: Kamala is a libra. LIBRAS WE WON THIS YEAR BITCH. Literally,chuvanze,1,0,Sat Nov 07 21:04:11 +0000 2020
85,RT @libra_hn: #Libra te hará caer en su encanto con su trato y personalidad y tú ni te vas a enterar hasta que estés bien clavado,Narumi__2510,156,0,Sat Nov 07 21:04:04 +0000 2020
86,"RT @libra_hn: #Libra lo tiene todo, encanto, presencia, elegancia, cortesía e inteligencia ¿Qué más andas buscando?",Rodrigo64768098,263,0,Sat Nov 07 21:04:01 +0000 2020
87,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,GregorioRCh,19,0,Sat Nov 07 21:04:00 +0000 2020
88,"@kamilonakk Libra é inferno astral de escorpião, seráse irão entrar em conflito ?",_LuizWarley,0,0,Sat Nov 07 21:03:56 +0000 2020
89,@beyonc4xscape LIBRA♿️♿️♿️,michealsclit,0,1,Sat Nov 07 21:03:53 +0000 2020
90,"Sagittarius ☀️ 
Capricorn ⬆️ 
Libra 🌙 

You?",xMimiSuzukix,0,1,Sat Nov 07 21:03:50 +0000 2020
91,"RT @astrodazueira: Signos tomando decisões: 

Faz a coisa certa: 

Áries
Touro
Câncer
Libra 

Tenta fazer a  coisa certa:

Gêmeos
Sagitário…",pxx_celly,172,0,Sat Nov 07 21:03:45 +0000 2020
92,"i got: Gay 🏳️‍🌈
i am: very gay 👩‍❤️‍💋‍👩

i got: Libra 
i am: Leo

i got: Single 🥲
i am: Single 🧎‍♀️

i got: 17
i am… https://t.co/yOCvfVtHhi",quackerjoke,0,4,Sat Nov 07 21:03:43 +0000 2020
93,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,jaxx_tellerr,19,0,Sat Nov 07 21:03:43 +0000 2020
94,"RT @tarotbybree: Aries, Capricorn, Libra, Cancer 🌟

Stop procrastinating and waiting. If you’re wanting to do something then just do it. Wh…",JulySEVYNTH,31,0,Sat Nov 07 21:03:43 +0000 2020
95,RT @seiyastetic: 『✧ Libra Dohko ✧』 https://t.co/JzzutVpi9S,TDraven_,80,0,Sat Nov 07 21:03:36 +0000 2020
96,RT @milkstrology: what ppl say after meeting libra and cancer: https://t.co/aYy57ZPe5A,NaTashaThePinup,18,0,Sat Nov 07 21:03:35 +0000 2020
97,"RT @jkljmbusan: o teu signo tá na blusa do namjoon????????????????????? 
Virgo
Aquarius
Pisces 
Libra
Sagittarius
Capricorn https://t.co/pW…",jkljmbusan,138,0,Sat Nov 07 21:03:34 +0000 2020
98,"RT @redbylo: In 2021, Mercury will retrograde in air signs (Aquarius, Gemini, Libra) only.

- January 2021: Aquarius
- May 2021: Gemini
- S…",maybejassy,35,0,Sat Nov 07 21:03:33 +0000 2020
99,RT @DerechaAlt: En EEUU se libra la batalla por el status quo ahora mismo. Trump ha demostrado no ser controlable por el establishment y re…,el_minarquista,19,0,Sat Nov 07 21:03:32 +0000 2020
