,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,I'll have to keep an eye out for it...I see them online but I gotta buy 24 lol and I want a test drive first,Piece_of_Pisces,0,0,Sat Nov 07 21:11:48 +0000 2020
1,1,RT Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,spotemNgotem_,242,0,Sat Nov 07 21:11:48 +0000 2020
2,2,"RT it’s giving cancer, pisces, and taurus",shelbyalexis587,1312,0,Sat Nov 07 21:11:38 +0000 2020
3,3,I know right? The answer is narcissists. People who were victims of narcissistic a…,sacredsophia,0,0,Sat Nov 07 21:11:34 +0000 2020
4,4,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",RookRoyale,13,0,Sat Nov 07 21:11:29 +0000 2020
5,5,RT pls sejam engraçadinhos comigo,pisces_ycho,1267,0,Sat Nov 07 21:11:20 +0000 2020
6,6,"RT it’s giving cancer, pisces, and taurus",vanessahughesss,1312,0,Sat Nov 07 21:11:07 +0000 2020
7,7,I feel like if u brag on how fye yo 🐈 is on social media it gotta be poo 👎🏾,Proud_Pisces,0,0,Sat Nov 07 21:11:03 +0000 2020
8,8,istj pisces 👁,kagsyamatobio,0,0,Sat Nov 07 21:10:51 +0000 2020
9,9,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",BreonaAndrea,13,0,Sat Nov 07 21:10:43 +0000 2020
10,10,i love me.. i just really can’t stand pisces,WMNONTHEMOON,0,0,Sat Nov 07 21:10:39 +0000 2020
11,11,"RT 💙 Cancer, Pisces, Scorpio. What you need to hear right now - You’ve gone through a period where you felt very shut off fro…",_melibabyxo,233,0,Sat Nov 07 21:10:37 +0000 2020
12,12,She’s the angry kind of Pisces. That doesn’t go away.,AntounNabhan,0,1,Sat Nov 07 21:10:35 +0000 2020
13,13,"RT it’s giving cancer, pisces, and taurus",haenuh,1312,0,Sat Nov 07 21:10:33 +0000 2020
14,14,Scorpio &amp; I loveee Pisces,scorpiolove_19,0,0,Sat Nov 07 21:10:24 +0000 2020
15,15,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",angelsscream,13,0,Sat Nov 07 21:10:20 +0000 2020
16,16,RT Star Wars stuff!!! StarWars,Piece_of_Pisces,1,0,Sat Nov 07 21:10:18 +0000 2020
17,17,RT Ya’ll love to call Geminis fake but no one ever comes for Pisces’ placements who overextend themselves just so people they do…,Sushiicoon,328,0,Sat Nov 07 21:10:11 +0000 2020
18,18,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",OtraAcuariana,13,0,Sat Nov 07 21:10:03 +0000 2020
19,19,RT Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,lala_d_luffy92,242,0,Sat Nov 07 21:09:59 +0000 2020
20,20,Pisces ?,moonlight7rings,0,1,Sat Nov 07 21:09:57 +0000 2020
21,21,,PrinceScrapbook,0,1,Sat Nov 07 21:09:57 +0000 2020
22,22,sagittarius n scorpio/pisces tbh,uhlahneee,0,0,Sat Nov 07 21:09:54 +0000 2020
23,23,i have never met a funny sagittarius 💀💀 and taurus &amp; pisces just get a lil chuckle here and there,b4bybritt_,0,0,Sat Nov 07 21:09:53 +0000 2020
24,24,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",GirlsOfAqua,13,0,Sat Nov 07 21:09:52 +0000 2020
25,25,RT Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,lost_alexian,242,0,Sat Nov 07 21:09:40 +0000 2020
26,26,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",grimfaerie,13,0,Sat Nov 07 21:09:39 +0000 2020
27,27,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",666Yenn,13,0,Sat Nov 07 21:09:26 +0000 2020
28,28,"RT invitation: dress casual!! wear something comfy!! scorpio, aquarius, and pisces: ah...yes.. i have just the outfit https…",sexualtopiary,13,0,Sat Nov 07 21:09:25 +0000 2020
29,29,they gave me: hetero i am: they gave me: pisces i am: they gave me: single i am: they gave me: 16 i am:…,sofiiamagalhaes,0,0,Sat Nov 07 21:09:21 +0000 2020
