,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT My lashes are now available again to purchase including the newly added “ Scorpio Minis “💕🎉 https:/…,alaia_xoxo,654,0,Sat Nov 07 21:08:10 +0000 2020
1,1,RT When your President a Scorpio too😎,millyygarciaa,447,0,Sat Nov 07 21:08:02 +0000 2020
2,2,RT My lashes are now available again to purchase including the newly added “ Scorpio Minis “💕🎉 https:/…,dulcevsweet,654,0,Sat Nov 07 21:07:56 +0000 2020
3,3,"RT Taurus, Leo, Scorpio, Aquarius🦋 You’re gaining a sense of direction after experiencing this deep period of reflection,…",MulberryGlow,512,0,Sat Nov 07 21:07:55 +0000 2020
4,4,RT When your President a Scorpio too😎,LisyReyes2,447,0,Sat Nov 07 21:07:53 +0000 2020
5,5,RT * RT if youre a Scorpio born in October !!,Alucards_grave,398,0,Sat Nov 07 21:07:51 +0000 2020
6,6,RT * RT if youre a Scorpio born in October !!,NanniSiiJaan,398,0,Sat Nov 07 21:07:46 +0000 2020
7,7,i don’t think im like most scorpio women. as soon as i feel like i’m bothering u im out of there. quicker than we started.,not___soPerfect,0,0,Sat Nov 07 21:07:46 +0000 2020
8,8,it’s the sun in scorpio and the moon in leo for me. this weekend finna be DRAMATIC,whatamaiya,0,0,Sat Nov 07 21:07:46 +0000 2020
9,9,i got: straight (???) i am: bi i got: leo i am: scorpio i got: single i am: single😔 i got: 14 i am: 16 i got:…,_laurenhagen_,0,0,Sat Nov 07 21:07:44 +0000 2020
10,10,RT My lashes are now available again to purchase including the newly added “ Scorpio Minis “💕🎉 https:/…,oc34_,654,0,Sat Nov 07 21:07:42 +0000 2020
11,11,scorpio,wbkrosa,0,0,Sat Nov 07 21:07:41 +0000 2020
12,12,My Scorpio bro. Happy birthday me ol'china 😘,WoodyDGR,0,0,Sat Nov 07 21:07:40 +0000 2020
13,13,RT Scorpio woman,__essencelovee,1,0,Sat Nov 07 21:07:38 +0000 2020
14,14,RT A Scorpio dominating Scorpio season by becoming the next president&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;,Lupe93hhh,20,0,Sat Nov 07 21:07:35 +0000 2020
15,15,RT My lashes are now available again to purchase including the newly added “ Scorpio Minis “💕🎉 https:/…,_gabrielaaaR,654,0,Sat Nov 07 21:07:32 +0000 2020
16,16,oomf finds out im a scorpio and said imma just ignore you,mikeysidaho,0,0,Sat Nov 07 21:07:30 +0000 2020
