,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"RT Scorpio,Taurus Aries and Capricorn dream home",tr_shabel,21,0,Sat Nov 07 20:56:32 +0000 2020
1,1,"As a Taurus, I would definitely not be pleased to live in this Kayleigh Mcenananayay southern baptist home tour. Sorry.",jamiebradley,0,0,Sat Nov 07 20:56:28 +0000 2020
2,2,"RT it’s giving cancer, pisces, and taurus",kameelahhh,1268,0,Sat Nov 07 20:56:28 +0000 2020
3,3,"RT it’s giving cancer, pisces, and taurus",SUNAI0N,1268,0,Sat Nov 07 20:56:24 +0000 2020
4,4,"RT it’s giving cancer, pisces, and taurus",KempinskiAlyssa,1268,0,Sat Nov 07 20:56:22 +0000 2020
5,5,"RT ✉️🔮Gemini, Taurus, Libra, Leo -sun, moon, rising, venus- the situation you’re currently worrying about now is about to be…",JaiDom_,231,0,Sat Nov 07 20:56:13 +0000 2020
6,6,RT LMFAO your Taurus lover be like :,anggiepelayo,469,0,Sat Nov 07 20:56:06 +0000 2020
7,7,لسا باقي انا لا تشيلي هم,shxiixie,0,0,Sat Nov 07 20:56:06 +0000 2020
8,8,Kalo cowok taurus gimana?,bodyfoamm,0,0,Sat Nov 07 20:56:05 +0000 2020
9,9,"RT Taurus, Leo, Scorpio, Aquarius🦋 You’re gaining a sense of direction after experiencing this deep period of reflection,…",xMarhabax,506,0,Sat Nov 07 20:56:04 +0000 2020
10,10,RT Start talking like you using yo lil lingo words😩🥴,only_Taliyahhhh,5,0,Sat Nov 07 20:56:01 +0000 2020
11,11,"as a taurus, yeah",abbymarkss,0,0,Sat Nov 07 20:55:53 +0000 2020
12,12,"RT *when someone is genuinely nice* leo, scorpio, taurus, aquarius:",Andii17_,840,0,Sat Nov 07 20:55:52 +0000 2020
13,13,"RT Taurus, Leo, Scorpio, Aquarius🦋 You’re gaining a sense of direction after experiencing this deep period of reflection,…",slut4bluntz,506,0,Sat Nov 07 20:55:47 +0000 2020
14,14,"RT 🌷 Earth Signs 🌷 🌸 Taurus / Virgo / Capricorn 🌸 You're whole, you're one with the Universe &amp; both your bright &amp; shadow s…",abbs__k,3,0,Sat Nov 07 20:55:44 +0000 2020
15,15,RT Aquarius/Taurus/Scorpio/Leo will be crushing on you in secret and act like they don’t want you at all. They’re the types…,babyglocc_,205,0,Sat Nov 07 20:55:38 +0000 2020
16,16,"As a Taurus, no thanks",quiero___morir,0,0,Sat Nov 07 20:55:35 +0000 2020
17,17,"RT Taurus wifey - tender, soft spoken, hot tempered, excellent mothers, great cooks, she might overthink and worry but she…",griselakaca,666,0,Sat Nov 07 20:55:31 +0000 2020
18,18,"RT it’s giving cancer, pisces, and taurus",toptiertaurus,1268,0,Sat Nov 07 20:55:24 +0000 2020
19,19,"RT Words to say this weekend for the signs✨ Aries: ""Watch how things turn out."" Taurus: ""You ever wanna just look at the sky…",TheHoneyKani,181,0,Sat Nov 07 20:55:21 +0000 2020
20,20,I love being in love with Taurus men for a month. Just vibes 🥰,tayy_west,0,0,Sat Nov 07 20:55:18 +0000 2020
21,21,"taurus shit. we lazy because we like to relax, bask in the leisure. loyal and hard working to the grave, nonetheles…",deeeonlydonlady,0,0,Sat Nov 07 20:55:17 +0000 2020
22,22,"taurus: myself and my best male friend, generally stubborn gay bitches who have really high expectations, we chill…",lo_siento_gema,0,0,Sat Nov 07 20:55:15 +0000 2020
23,23,RT LMFAO your Taurus lover be like :,torialisemarie,469,0,Sat Nov 07 20:55:10 +0000 2020
24,24,RT Aquarius/Taurus/Scorpio/Leo will be crushing on you in secret and act like they don’t want you at all. They’re the types…,yourstruly_ci,205,0,Sat Nov 07 20:55:08 +0000 2020
25,25,"Taurus Daily Horoscope - November 8, 2020 | Free Online Astrology - Deccan Herald",AstrologyShare,0,0,Sat Nov 07 20:55:02 +0000 2020
26,26,"fuck that, there’s a woman out here that started modeling &amp; she is literally beyond 50 (i think she’s 7…",Avalldar,0,1,Sat Nov 07 20:55:01 +0000 2020
27,27,"RT it’s giving cancer, pisces, and taurus",TheHoneyKani,1268,0,Sat Nov 07 20:54:51 +0000 2020
28,28,"RT “well, enough about me. tell me about you!” taurus &amp; scorpio:",QVINT_,672,0,Sat Nov 07 20:54:49 +0000 2020
29,29,"RT 🌷 Earth Signs 🌷 🌸 Taurus / Virgo / Capricorn 🌸 You're whole, you're one with the Universe &amp; both your bright &amp; shadow s…",TheHouseofHBH,3,0,Sat Nov 07 20:54:47 +0000 2020
30,30,"RT I’m a Taurus, bullshit don’t phase me!",Alexiccca333,65,0,Sat Nov 07 20:54:35 +0000 2020
31,31,I think this just Taurus women. Don’t even gotta be a wife for this shit. Motherly instincts just come naturally,Sexyy_Lexy,0,0,Sat Nov 07 20:54:34 +0000 2020
32,32,"the person running that account knows nothing about astrology, no libra, gemini, taurus or scorpio would chose that",GothDog09,0,0,Sat Nov 07 20:54:34 +0000 2020
33,33,"RT it’s giving cancer, pisces, and taurus",virtaurus_,1268,0,Sat Nov 07 20:54:33 +0000 2020
