,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"RT Aries don’t have patience but If an Aries woman loves you, they’ll have patience you’ve never seen in anyone else. They are…",bebreezyt,575,0,Sat Nov 14 17:13:49 +0000 2020
1,1,RT Energy Work of the New Moon💫 Aries: Peace Taurus: Letting Go Gemini: Release Cancer: Acceptance Leo: Intuitive Choices V…,og_breeezy,90,0,Sat Nov 14 17:13:48 +0000 2020
2,2,What it mean if it’s in the 9th in Aries?,hannahhp0,0,0,Sat Nov 14 17:13:48 +0000 2020
3,3,but I'm aries.,Hardedged,0,0,Sat Nov 14 17:13:45 +0000 2020
4,4,do u have any aries and cancer in ur chart? aries is known to be the child of the zodiac and cancer to…,id0ntsmoke,0,0,Sat Nov 14 17:13:35 +0000 2020
5,5,"RT Aries don’t have patience but If an Aries woman loves you, they’ll have patience you’ve never seen in anyone else. They are…",DarkAstrology,575,0,Sat Nov 14 17:13:31 +0000 2020
6,6,"RT Aries don’t have patience but If an Aries woman loves you, they’ll have patience you’ve never seen in anyone else. They are…",lilystepanyan,575,0,Sat Nov 14 17:13:29 +0000 2020
7,7,RT Aries ♡︎ his jawline,thebandanaera,5,0,Sat Nov 14 17:13:27 +0000 2020
8,8,"RT Aries, Libras, Sags...someone will be asking you to do something with them this weekend. Not a date but I think they may…",l0w_kii,3,0,Sat Nov 14 17:13:27 +0000 2020
9,9,RT Virgo uses a microscope Sagittarius binoculars Aquarius a telescope Scorpio looks for clues with a magnifying glass Cancer look…,luatbh,44,0,Sat Nov 14 17:13:25 +0000 2020
10,10,"Me as an Aries sun, Aries moon, and Sagittarius rising 😌🔥🔥🔥",mudramermaid,0,0,Sat Nov 14 17:13:20 +0000 2020
11,11,"RT 💌 Gemini, Aries, Sagittarius, Cancer placements. a past person has been thinking of reaching out to you but they stop the…",babygirldani_,50,0,Sat Nov 14 17:13:17 +0000 2020
12,12,"aries. if you're feeling bored, draw a map of someplace better than here.",astrologybot_,0,0,Sat Nov 14 17:13:13 +0000 2020
13,13,"I thought I was good at hiding weakness, but I guess that's the ""defensive"" in my sun and rising (Aries) and ""secre…",N_Oke,0,0,Sat Nov 14 17:13:09 +0000 2020
14,14,RT Quick one,Abena_Aries,4320,0,Sat Nov 14 17:13:08 +0000 2020
15,15,aries,_thapelom,0,0,Sat Nov 14 17:13:06 +0000 2020
