,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT Harper is scarier than Trump. He's subversive &amp; cunning. He's careful to groom others whom he hides behind. When he lost…,LarryWy82388322,233,0,Sat Nov 14 17:14:20 +0000 2020
1,1,RT My friend was recently diagnosed with stage 4 breast cancer. I understand money is tight for everybody rn but every lit…,siriyonce_,11,0,Sat Nov 14 17:14:19 +0000 2020
2,2,RT Goosebumps. leaves the Left Tackle position open for the first play from scrimmage and takes a delay of ga…,LoganSchafer_,95,0,Sat Nov 14 17:14:19 +0000 2020
3,3,RT cancer moon 🔮✨my worth is not defined by how many people I can get to agree that I am worthy. I am worthy because I said so…,TiarraRodney,0,0,Sat Nov 14 17:14:19 +0000 2020
4,4,Those 3 need to be in prison. They are a cancer to America.,integrity4most,0,0,Sat Nov 14 17:14:18 +0000 2020
5,5,"Nice quote. kamu coba gemukin dikit badannya sayang. Biar lebih hugable kayak si Po'oh. So now, let's g…",vvsouw,0,0,Sat Nov 14 17:14:17 +0000 2020
6,6,RT aries cancer libra capricorn be like,SampsonSlimgod,519,0,Sat Nov 14 17:14:17 +0000 2020
7,7,"RT 💫Cancer, Gemini, Pisces. You need to come to a place of acceptance. Your life is lacking balance because you cling to pas…",imerica_s,113,0,Sat Nov 14 17:14:15 +0000 2020
8,8,"Please donate &amp; share/retweet, baby Joshua urgently needs help. He was diagnosed with leukemia at just…",CapelliRamone,0,0,Sat Nov 14 17:14:14 +0000 2020
9,9,RT Goosebumps. leaves the Left Tackle position open for the first play from scrimmage and takes a delay of ga…,Sir_Fahrenheit,95,0,Sat Nov 14 17:14:14 +0000 2020
10,10,Cancer diagnosis? Shark attack? Mugging? Going to lock up for the first time? Being on flight 93?,jahaga64,0,0,Sat Nov 14 17:14:11 +0000 2020
11,11,"For anyone who has had a family member go through anything serious; cancer, hiv, ms, any major surger…",kimcreynolds1,0,0,Sat Nov 14 17:14:10 +0000 2020
12,12,ASM abandons wife w/ stage 4 breast cance…,JLinvillewife,0,0,Sat Nov 14 17:14:10 +0000 2020
13,13,I no someone who was fookin about with plants in a lab and the next minute he was told with…,Bark1409,0,0,Sat Nov 14 17:14:10 +0000 2020
14,14,One million eligible covid recipients who will go home and deliver sickness and d…,mindtheryan,0,0,Sat Nov 14 17:14:10 +0000 2020
15,15,RT Dont tell a Cancer what they are going to do.. Ever,hananfdzl,861,0,Sat Nov 14 17:14:09 +0000 2020
16,16,Liberals preaching intersectional imperialism are *the* cancer.,harsh_malarkey,0,0,Sat Nov 14 17:14:09 +0000 2020
17,17,Cancer sucks,K40Selina,0,0,Sat Nov 14 17:14:07 +0000 2020
18,18,"Cancer isn't transmissible through the air. No total shutdown needed if people wear masks,…",LongTimeLakerFa,0,0,Sat Nov 14 17:14:06 +0000 2020
19,19,New publication: Breast Cancer endocrine therapy adherence in health professional shortage areas: Unique effects o…,J_Psychosom_Res,0,0,Sat Nov 14 17:14:05 +0000 2020
20,20,"RT Cancer are shy &amp; sweet. So sweet, they never see the bad in people.",juicyykaass,304,0,Sat Nov 14 17:14:05 +0000 2020
21,21,RT Goosebumps. leaves the Left Tackle position open for the first play from scrimmage and takes a delay of ga…,chuckcornelius1,95,0,Sat Nov 14 17:14:04 +0000 2020
22,22,This isn’t cancer at all,AspiringOut,0,0,Sat Nov 14 17:14:03 +0000 2020
23,23,"My grandma straight up had two rounds of breast cancer, the first one I didn’t find out about until after…",DICKIMINAJ,0,0,Sat Nov 14 17:14:03 +0000 2020
24,24,RT We are honored to be recognized by with the Team Science Award for fostering success in the field of cancer imm…,LabPiening,2,0,Sat Nov 14 17:14:02 +0000 2020
25,25,but yeah either an aries degree or cancer (?) degree so we cardinal or whatever 😳,nihilistnipple,0,0,Sat Nov 14 17:14:01 +0000 2020
26,26,You mean like cancer? Aids? TB chick pox small pox and the many things we have survived. We h…,DAVONWi35049681,0,0,Sat Nov 14 17:13:59 +0000 2020
27,27,Our Coaches vs. Cancer online/social media raffle will continue to tomorrow night!! Every $5 donation is one entry!…,GibSouthernWBB,0,0,Sat Nov 14 17:13:59 +0000 2020
28,28,I’m at the dermatologist and lady just found out she has skin cancer 🥺. She’s so sad.,The_BigOG,0,0,Sat Nov 14 17:13:57 +0000 2020
29,29,ou i peeped you’re a scorpio sun and cancer rising like me. no wonder 🤣💕,_queenday,0,0,Sat Nov 14 17:13:57 +0000 2020
30,30,"ASM abandons wife w/ stage 4 breast cancer, broken spine,…",JLinvillewife,0,0,Sat Nov 14 17:13:55 +0000 2020
31,31,"RT By coincidence: exactly 6 years ago today, as Vice President of the USA, Joe Biden sent this note to his staff. I presume i…",analuisabxl,10132,0,Sat Nov 14 17:13:54 +0000 2020
32,32,"RT By coincidence: exactly 6 years ago today, as Vice President of the USA, Joe Biden sent this note to his staff. I presume i…",_Carluhhhh,10132,0,Sat Nov 14 17:13:54 +0000 2020
33,33,RT Goosebumps. leaves the Left Tackle position open for the first play from scrimmage and takes a delay of ga…,mikegolicjr,95,0,Sat Nov 14 17:13:54 +0000 2020
34,34,"RT 17 years ago, when my children were very small, I was diagnosed with serious cancer - and 14 minutes ago I turned 59.…",christincu,240,0,Sat Nov 14 17:13:52 +0000 2020
35,35,RT A Cancer may not have as much money as they want but they are never broke.. They have something saved,hananfdzl,614,0,Sat Nov 14 17:13:51 +0000 2020
36,36,RT . surprises 16-year-old fan and blood cancer survivor,SkyHedax,15,0,Sat Nov 14 17:13:50 +0000 2020
37,37,"RT Parents will be like oh yeah I had cancer back in 2016, didn’t wanna worry ya",LightThe_Lamp,4,0,Sat Nov 14 17:13:50 +0000 2020
38,38,RT SOME STATS THAT NPHET WILL NOT TELL YOU. * 87% increase in files to DPP over domestic violence. * 35% increase in homele…,Patrick31178355,10,0,Sat Nov 14 17:13:49 +0000 2020
39,39,I am so far away. Buy any advice or explanation or whatever I can help I am at your service…,lcaromunoz,0,0,Sat Nov 14 17:13:49 +0000 2020
