,count,mean,std,min,25%,50%,75%,max
libra4,100.0,0.7144365863835848,2.001458019048709,-4.297425614501107,0.0,0.595530808381026,1.8641126184559633,5.481750784588045
taurus4,100.0,0.7104018247014133,1.876628777974415,-8.375768177787434,0.0,0.0,1.8170633165304442,6.49029271562583
aries4,100.0,0.5638507423520032,2.016274952367683,-3.8218325033606604,-0.5687079737797663,0.0,1.2533925502605179,4.596961578141508
leo4,100.0,0.5080691505502922,1.4220129566172954,-2.9440199188393,0.0,0.16313428436889701,0.8909823918967382,5.791041989577289
sagittarius4,100.0,0.41621655773143246,1.4889467412417337,-3.4567566233991194,-0.11437756152763795,0.0,1.2983400665864466,3.18533467960581
aquarius4,100.0,0.3741466618439132,1.749874418589281,-3.5631232395051424,-0.6475693381152356,0.0,1.169853511241233,5.481750784588045
virgo4,100.0,0.19379690536422353,1.8402300307865078,-6.690352951316649,-0.22272918220309057,0.0,1.274011614018921,6.696876668086972
capricorn4,100.0,0.1876509373347154,2.3376691625672064,-4.165905512965826,-0.5003527029444429,0.5706849910366146,1.5903930553854093,4.6286456788716865
pisces4,100.0,0.12504629482957272,1.8080599618161013,-5.30744882224305,-0.534234854482413,0.0,1.3878585333454962,5.117585712603458
scorpio4,100.0,-0.09997077689548436,1.6237633975701218,-4.304922994088619,-0.47934051594415134,0.0,0.5844014509456092,4.86315789440301
cancer4,100.0,-0.22406006641739976,1.4126493655247734,-3.7966457635298987,-1.0110473416780918,-0.36196141028349926,0.3858664400212548,4.052898697042272
gemini4,100.0,-0.5609667019639817,1.6068598684670878,-3.4567566233991194,-2.4467021470562167,0.0,0.0,3.131979577152395
