,text,user,retweets,favorites,datetime
0,RT @GeminiTerms: #Gemini are easily annoyed/ irritated by people who don’t have any common sense.,JayMalloyd,138,0,Sat Nov 14 17:14:09 +0000 2020
1,"RT @AstrologyVibez: If Gemini, Leo, Sagittarius or Aquarius don’t get to say what they are thinking at all times they are probably just goi…",OhMyGreeneBone,95,0,Sat Nov 14 17:14:03 +0000 2020
2,"do yours in qrt !!
☆height: 5'9
☆shoe size: 10 US
☆zodiac sign: gemini 
☆tattoos: none
☆piercings: nope
☆favorite c… https://t.co/YuQJX0WEjU",RealStormRage,0,0,Sat Nov 14 17:14:01 +0000 2020
3,RT @TasteOfCountry: . @mirandalambert went the extra mile to stay safe from COVID-19 at the 2020 CMA Awards. This is GENIUS:   https://t.co…,gemini_and_me,2,0,Sat Nov 14 17:13:56 +0000 2020
4,Gemini:you will go about the day suspiciously.,HoroscopeRoule1,0,0,Sat Nov 14 17:13:55 +0000 2020
5,RT @KeyisQueen: Keep in mind I’m a Gemini.,Hazel_Brown523,601,0,Sat Nov 14 17:13:54 +0000 2020
6,RT @GeminiTerms: #Gemini are easily annoyed/ irritated by people who don’t have any common sense.,jenionlyonen,138,0,Sat Nov 14 17:13:51 +0000 2020
7,RT @GeminiTerms: #Gemini are easily annoyed/ irritated by people who don’t have any common sense.,tunmyy,138,0,Sat Nov 14 17:13:50 +0000 2020
8,"RT @AdelineTarot: Energy Work of the New Moon💫

Aries: Peace
Taurus: Letting Go
Gemini: Release
Cancer: Acceptance
Leo: Intuitive Choices
V…",og_breeezy,90,0,Sat Nov 14 17:13:48 +0000 2020
9,RT @GeminiTerms: As a #Gemini How you communicate: They have a versatile mentality with the capacity to enter multiple conversations at the…,Pharaoh_toni,148,0,Sat Nov 14 17:13:47 +0000 2020
10,"RT @AdelineTarot: 💫Cancer, Gemini, Pisces. You need to come to a place of acceptance. Your life is lacking balance because you cling to pas…",oddishquagsire,112,0,Sat Nov 14 17:13:45 +0000 2020
11,"RT @AstroMCollins: Gemini 10 and Apollo 11 have no names on them either, for the same reason. Godspeed, SpaceX Crew-1!",HappyGoBecki,39,0,Sat Nov 14 17:13:33 +0000 2020
12,RT @GeminiTerms: As a #Gemini How you communicate: They have a versatile mentality with the capacity to enter multiple conversations at the…,pr3ttyblunts,148,0,Sat Nov 14 17:13:33 +0000 2020
13,"RT @Borlestache: GEMINI:
Willy Wonka (Charlie and the Chocolate Factory) https://t.co/M8voluVv5v",baredeservesmor,2,0,Sat Nov 14 17:13:24 +0000 2020
14,"RT @DIVINEOPAQUE: 💌 Gemini, Aries, Sagittarius, Cancer placements.
a past person has been thinking of reaching out to you but they stop the…",babygirldani_,50,0,Sat Nov 14 17:13:17 +0000 2020
15,"RT @AdelineTarot: 💫Cancer, Gemini, Pisces. You need to come to a place of acceptance. Your life is lacking balance because you cling to pas…",pr3ttyblunts,112,0,Sat Nov 14 17:13:15 +0000 2020
