,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT leo❌ neee✅,sydsrat_irl,1,0,Sat Nov 14 17:14:30 +0000 2020
1,1,"RT Nonhuman Rights Project fought for Hercules and Leo to receive sanctuary retirement, now these chimps languish at Pro…",Awarding_Women,19,0,Sat Nov 14 17:14:26 +0000 2020
2,2,RT Geminis and Leo placements only...oh I see...work on your crown and third eye chakras because you haven't been allowing y…,vsexuaI,6,0,Sat Nov 14 17:14:26 +0000 2020
3,3,mantap leo all in one,TokyoBuggles,0,0,Sat Nov 14 17:14:25 +0000 2020
4,4,"Me: Leo, is Zig making deals with the Devil? Leo: What's a devil? zigandsharko LeosLanguage",marissa_rae,0,0,Sat Nov 14 17:14:25 +0000 2020
5,5,we did it,leo__ow,0,0,Sat Nov 14 17:14:23 +0000 2020
6,6,HE IS SUCH A LEO I LOVE HIM,kijaybum,0,0,Sat Nov 14 17:14:23 +0000 2020
7,7,"RT Lucescu to Messi after the Dynamo Kyiv match: ""Leo, I have Pele's shirt at home. I want to put yours next to it !"" https:…",kachyvibez,319,0,Sat Nov 14 17:14:22 +0000 2020
8,8,"RT Leo's are great at distancing themselves from people, so be careful how you treat them.",JLuvee_8k,419,0,Sat Nov 14 17:14:21 +0000 2020
9,9,leo❌ neee✅,neo_kaniz,1,1,Sat Nov 14 17:14:18 +0000 2020
10,10,i’ll never forget you because you made things so easy 😪,Leo_Kumanda,0,0,Sat Nov 14 17:14:17 +0000 2020
11,11,"""Charity, as a virtue, pertains to the Church; for virtue it is not, unless it be drawn from the Most Sacred Heart…",Uncouth_Bard,0,0,Sat Nov 14 17:14:16 +0000 2020
12,12,top 10 tweets do leo,Nerpixn,0,0,Sat Nov 14 17:14:13 +0000 2020
13,13,"RT A Leo will just want you, but wont need you because they can do it on their own.",G3rmanKid89,64,0,Sat Nov 14 17:14:12 +0000 2020
14,14,True,WTH_shafiq,0,0,Sat Nov 14 17:14:11 +0000 2020
15,15,"RT Men, A conflict between your sister and woman, is not a test of who was right or wrong, is not a test of your leadership, I…",Leo_RB35,83,0,Sat Nov 14 17:14:08 +0000 2020
16,16,Vanity... 😆,Leo_67,0,0,Sat Nov 14 17:14:08 +0000 2020
17,17,"You had to be there, Momento mori Unus Annus.",David_t_leo,0,0,Sat Nov 14 17:14:07 +0000 2020
18,18,"RT If Gemini, Leo, Sagittarius or Aquarius don’t get to say what they are thinking at all times they are probably just goi…",OhMyGreeneBone,95,0,Sat Nov 14 17:14:03 +0000 2020
19,19,"RT 📝 Thread: Please Take 5 Minutes to read this. ❤️⤵️ Leo's first coach Salvador Aparicio: ""Lionel Messi came here with hi…",Holi_martins,281,0,Sat Nov 14 17:14:01 +0000 2020
20,20,VARDY??? Cmon Leo😭,NoahBagnardi,0,0,Sat Nov 14 17:14:00 +0000 2020
21,21,Someone tell Leo and the boys to get they pops. Splinter off that Swiss 🧀 again,thefreewill_,0,0,Sat Nov 14 17:13:59 +0000 2020
22,22,RT seth rogan said he’s making a tmnt series where they act like “real teens” when rise already did that. the fuck you gonna do s…,LadyKayHersh,21,0,Sat Nov 14 17:13:58 +0000 2020
23,23,RT I love Leo’s but I also hate them 🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃🙃,talk2sosay,1,0,Sat Nov 14 17:13:58 +0000 2020
24,24,RT Remember Hercules &amp; Leo? The lawyers at (NhRP) who freed these chimps from a lab are now fighting to free th…,Awarding_Women,59,0,Sat Nov 14 17:13:57 +0000 2020
25,25,I’d gone to Dubai with my grandparents when I was a kid. We went to this museum and there was this one se…,rhu_leo_barb,0,0,Sat Nov 14 17:13:57 +0000 2020
26,26,he wasnt even better than iniesta. messi was quite clearly the best and he still won two trophies. if people think…,RudraKartha,0,0,Sat Nov 14 17:13:57 +0000 2020
27,27,RT Geminis and Leo placements only...oh I see...work on your crown and third eye chakras because you haven't been allowing y…,Forgotten_sluts,6,0,Sat Nov 14 17:13:51 +0000 2020
28,28,RT Energy Work of the New Moon💫 Aries: Peace Taurus: Letting Go Gemini: Release Cancer: Acceptance Leo: Intuitive Choices V…,og_breeezy,90,0,Sat Nov 14 17:13:48 +0000 2020
29,29,RT,LoriMoreno,11,0,Sat Nov 14 17:13:47 +0000 2020
