,text,user,retweets,favorites,datetime
0,"RT @redbylo: Why do people like to act like air signs (Gemini, Libra, Aquarius) aren’t emotional or emotionally intelligent????",blazedblasian_,578,0,Sat Nov 14 17:14:26 +0000 2020
1,RT @KantyBoii: Saturday’s are for parties 🎉 https://t.co/aMwCPoznzs,naughty_libra,6,0,Sat Nov 14 17:14:21 +0000 2020
2,@Ajatz02 @naughty_libra 😂 😂 Does it come with a crusher tho? 🌚,inc051,0,0,Sat Nov 14 17:14:20 +0000 2020
3,RT @astr0jade: aries cancer libra capricorn be like https://t.co/2jW0cdweIB,SampsonSlimgod,519,0,Sat Nov 14 17:14:17 +0000 2020
4,Sir is accurate 🤣 https://t.co/GytuJTQaOH,Ya_Fav_Libra,0,1,Sat Nov 14 17:14:09 +0000 2020
5,RT @viveygoza123: Sony Music Portugal en Instagram @lalioficial #LIBRA https://t.co/aolTe8rYCg,LudmilaEma3,1,0,Sat Nov 14 17:14:03 +0000 2020
6,"RT @jumkunmi: Visit my closet today it’s weekend promo sales 
RT for my customers to see🙏🏻🔌❤️

Price:9000
#BetterTogether https://t.co/ghBe…",naughty_libra,12,0,Sat Nov 14 17:14:01 +0000 2020
7,"RT @AdelineTarot: Energy Work of the New Moon💫

Aries: Peace
Taurus: Letting Go
Gemini: Release
Cancer: Acceptance
Leo: Intuitive Choices
V…",og_breeezy,90,0,Sat Nov 14 17:13:48 +0000 2020
8,@geminymph @hypochondrialia the way u can tell u both have libra placements 🔥,k_illua,0,0,Sat Nov 14 17:13:48 +0000 2020
9,"Coco
Libra
Zera 
Shanice

Your choice https://t.co/FQzz6c0hWQ",ThaBoyQuophi_,0,0,Sat Nov 14 17:13:46 +0000 2020
10,RT @AboutLibras: As a #Libra you are one of a rare breed that is both logical and intuitive.,TayBand63593228,129,0,Sat Nov 14 17:13:34 +0000 2020
11,"@mondaysaries IF YOU'RE STILL DOING THESE

VIRGO MOON 12TH HOUSE
CANCER VENUS 8TH HOUSE
LIBRA ASC. 2ND HOUSE

An em… https://t.co/Vm54ol9BuT",anal_friday,0,0,Sat Nov 14 17:13:33 +0000 2020
12,"RT @MysticxLipstick: The signs that are easiest to sit and vibe out around:
Taurus 
Capricorn 
Pisces 
Libra 
Aquarius 

These signs are so…",naiomi_pretty,673,0,Sat Nov 14 17:13:32 +0000 2020
13,Sony Music Portugal en Instagram @lalioficial #LIBRA https://t.co/aolTe8rYCg,viveygoza123,1,0,Sat Nov 14 17:13:25 +0000 2020
14,"RT @orfray: Virgo uses a microscope
Sagittarius binoculars
Aquarius a telescope
Scorpio looks for clues with a magnifying glass
Cancer look…",luatbh,44,0,Sat Nov 14 17:13:25 +0000 2020
15,"RT @MysticxLipstick: The signs that are easiest to sit and vibe out around:
Taurus 
Capricorn 
Pisces 
Libra 
Aquarius 

These signs are so…",MsPcmnUnchained,673,0,Sat Nov 14 17:13:17 +0000 2020
16,RT @amazing_j2698: Where all the scorpios and libra? October and november??,Reazon_Marley,2,0,Sat Nov 14 17:13:11 +0000 2020
17,"RT @martianlune: ☄️ MARS IS DIRECT ☄️

if you’ve been feeling “stuck” or have been in an energetic rut (im looking at you capricorn, aries,…",danijaii,805,0,Sat Nov 14 17:13:05 +0000 2020
18,"The Justice is associated with  #Libra ⚖️ Fair, balanced, compromising &amp; universal law of cause and effect https://t.co/IeqHkW2twi",starsmoonandsun,0,0,Sat Nov 14 17:12:46 +0000 2020
19,"RT @martianlune: ☄️ MARS IS DIRECT ☄️

if you’ve been feeling “stuck” or have been in an energetic rut (im looking at you capricorn, aries,…",alanachez,805,0,Sat Nov 14 17:12:36 +0000 2020
20,RT @AboutLibras: As a #Libra you are one of a rare breed that is both logical and intuitive.,King_Capton,129,0,Sat Nov 14 17:12:33 +0000 2020
21,RT @astr0jade: aries cancer libra capricorn be like https://t.co/2jW0cdweIB,___icypisces,519,0,Sat Nov 14 17:12:30 +0000 2020
22,@TheRealHoarse I can’t suddenly “unlove “ Meatloaf’s music either. I can strongly disagree with his political stanc… https://t.co/ky14thyFLD,THollandParker1,0,0,Sat Nov 14 17:12:29 +0000 2020
23,"RT @AdelineTarot: Energy Work of the New Moon💫

Aries: Peace
Taurus: Letting Go
Gemini: Release
Cancer: Acceptance
Leo: Intuitive Choices
V…",IndiaAlmighty,90,0,Sat Nov 14 17:12:16 +0000 2020
24,"RT @MysticxLipstick: The signs that are easiest to sit and vibe out around:
Taurus 
Capricorn 
Pisces 
Libra 
Aquarius 

These signs are so…",xotjmg_,673,0,Sat Nov 14 17:12:15 +0000 2020
25,"My Mercury is in libra, but at a sag degree so when I talk in person, I sound like sag lolol I talk so fast",alexandrasmind,0,0,Sat Nov 14 17:12:13 +0000 2020
