,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"Well, let me find my Pisces",itZtRiCE2U,0,0,Sat Nov 14 17:15:11 +0000 2020
1,1,"RT ✉️🔮Gemini, Pisces, Capricorn, Scorpio -sun, moon, rising, venus- get focused &amp; stay focused on what you want. if you’re n…",Dramaticcom,7,0,Sat Nov 14 17:14:53 +0000 2020
2,2,if you a pisces hmu i’m tryna see summmm,kokonobutta,0,0,Sat Nov 14 17:14:49 +0000 2020
3,3,RT Pisces sleep for 18 hours straight and call it dealing with their feelings,dezzymarie14,420,0,Sat Nov 14 17:14:48 +0000 2020
4,4,RT in order: sag mercury virgo mercury pisces mercury,mercuryyfairyy,23,0,Sat Nov 14 17:14:45 +0000 2020
5,5,"see, this is why i need a pisces in my life",kokonobutta,0,0,Sat Nov 14 17:14:30 +0000 2020
6,6,"RT my favorite trait about sag, gemini, pisces, virgo is when they get upset over some shit they did for someone that absolu…",httplayla,349,0,Sat Nov 14 17:14:28 +0000 2020
7,7,mmmm i think pisces,kibumoons,0,1,Sat Nov 14 17:14:27 +0000 2020
8,8,"RT Caps, Pisces, Taurus...more career plans coming up in the next few weeks for you all. Some of you will also be collabing…",SincerelyTayler,5,0,Sat Nov 14 17:14:22 +0000 2020
9,9,Pisces will stab today. Be optimistic and medicate. walkyourtruepath,lunabot5,0,0,Sat Nov 14 17:14:19 +0000 2020
10,10,Pisces gang 🤟🏾,BeloTalk,0,0,Sat Nov 14 17:14:18 +0000 2020
11,11,Pisces moon &amp; Cap Venus,essonse,0,0,Sat Nov 14 17:14:16 +0000 2020
12,12,v on brand for a fish boy to be a Pisces &amp; The Deep is a lame name as are the rest of their names.,iamBarbaraLynn,0,0,Sat Nov 14 17:14:16 +0000 2020
13,13,"RT 💫Cancer, Gemini, Pisces. You need to come to a place of acceptance. Your life is lacking balance because you cling to pas…",imerica_s,114,0,Sat Nov 14 17:14:15 +0000 2020
14,14,RT it’s giving pisces,ambertidyman7,508,0,Sat Nov 14 17:14:11 +0000 2020
15,15,RT No one: Pisces and libras:,jekirjner,859,0,Sat Nov 14 17:14:09 +0000 2020
16,16,"moon is in scorpio, lord I’m feeling it. It’s worse than Pisces 😔",Spookygal__,0,0,Sat Nov 14 17:14:07 +0000 2020
17,17,"RT Virgo,Pisces,Capricorn,Aquarius and Sagittarius dream bathroom",OhMyGreeneBone,68,0,Sat Nov 14 17:13:53 +0000 2020
18,18,RT it’s giving pisces,KayMatt2020,508,0,Sat Nov 14 17:13:52 +0000 2020
19,19,RT Pisces rules nakedness/vulnerability. Our Pisces house is where we do that at.,KyrielikeIrving,273,0,Sat Nov 14 17:13:50 +0000 2020
20,20,RT Energy Work of the New Moon💫 Aries: Peace Taurus: Letting Go Gemini: Release Cancer: Acceptance Leo: Intuitive Choices V…,og_breeezy,90,0,Sat Nov 14 17:13:48 +0000 2020
21,21,"RT When Cancer &amp; Pisces are together, Both will know what each other is thinking &amp; can bond very well when they are emotion…",IzynnHanany,26,0,Sat Nov 14 17:13:47 +0000 2020
22,22,"RT Pisces, Taurus, Leo...Ohhhhh I feel like you could be doing a lot this weekend, like going outside, going for walks, hang…",baldieash,11,0,Sat Nov 14 17:13:46 +0000 2020
23,23,"RT 💫Cancer, Gemini, Pisces. You need to come to a place of acceptance. Your life is lacking balance because you cling to pas…",oddishquagsire,114,0,Sat Nov 14 17:13:45 +0000 2020
24,24,RT bitches be likk how did u know i was a pisces,edx173,4231,0,Sat Nov 14 17:13:32 +0000 2020
25,25,RT The signs that are easiest to sit and vibe out around: Taurus Capricorn Pisces Libra Aquarius These signs are so…,naiomi_pretty,673,0,Sat Nov 14 17:13:32 +0000 2020
26,26,RT No one: Pisces and libras:,IsraxK,859,0,Sat Nov 14 17:13:27 +0000 2020
27,27,RT Virgo uses a microscope Sagittarius binoculars Aquarius a telescope Scorpio looks for clues with a magnifying glass Cancer look…,luatbh,44,0,Sat Nov 14 17:13:25 +0000 2020
28,28,"RT 🌑pisces. cancer. scorpio. you’ve had long term manifestations—solid foundation, financial security, romance—that you’ve…",mexicanangelita,30,0,Sat Nov 14 17:13:21 +0000 2020
29,29,ah tommy,awkward_pisces,0,0,Sat Nov 14 17:13:17 +0000 2020
30,30,RT The signs that are easiest to sit and vibe out around: Taurus Capricorn Pisces Libra Aquarius These signs are so…,MsPcmnUnchained,673,0,Sat Nov 14 17:13:17 +0000 2020
31,31,"RT 💫Cancer, Gemini, Pisces. You need to come to a place of acceptance. Your life is lacking balance because you cling to pas…",pr3ttyblunts,114,0,Sat Nov 14 17:13:15 +0000 2020
32,32,RT Pisces sleep for 18 hours straight and call it dealing with their feelings,jamaica_jewel,420,0,Sat Nov 14 17:13:14 +0000 2020
33,33,Im a Pisces &amp; get along with crybaby cancers the most. I actually like y’all 🥺,Thats_SoRaia,0,2,Sat Nov 14 17:12:54 +0000 2020
34,34,love this for my pisces moon.!!!,baldieash,0,1,Sat Nov 14 17:12:51 +0000 2020
35,35,RT No one: Pisces and libras:,amalieveeren,859,0,Sat Nov 14 17:12:47 +0000 2020
36,36,As a man you should not be a Pisces,sftbeebeegrl,0,0,Sat Nov 14 17:12:44 +0000 2020
37,37,Pisces,Stressed247365,0,0,Sat Nov 14 17:12:41 +0000 2020
38,38,RT in order: sag mercury virgo mercury pisces mercury,3swordsreversed,23,0,Sat Nov 14 17:12:40 +0000 2020
39,39,Shoutout to my Pisces moon Bc without you I don’t think I’d be alive rn,whosstarla,0,0,Sat Nov 14 17:12:34 +0000 2020
40,40,where the pisces men at? y’all weird ashit and i wanna be a part of that,nicbacardi,0,0,Sat Nov 14 17:12:32 +0000 2020
41,41,RT No one: Pisces and libras:,4icey_Primo,859,0,Sat Nov 14 17:12:29 +0000 2020
42,42,RT bitches be likk how did u know i was a pisces,whRk_whRk,4231,0,Sat Nov 14 17:12:29 +0000 2020
43,43,RT Pisces sleep for 18 hours straight and call it dealing with their feelings,bloomingdark,420,0,Sat Nov 14 17:12:17 +0000 2020
44,44,RT Energy Work of the New Moon💫 Aries: Peace Taurus: Letting Go Gemini: Release Cancer: Acceptance Leo: Intuitive Choices V…,IndiaAlmighty,90,0,Sat Nov 14 17:12:16 +0000 2020
45,45,my pisces crush should go past a pub,myaquariuscrush,0,0,Sat Nov 14 17:12:15 +0000 2020
46,46,RT The signs that are easiest to sit and vibe out around: Taurus Capricorn Pisces Libra Aquarius These signs are so…,xotjmg_,673,0,Sat Nov 14 17:12:15 +0000 2020
47,47,i want a pisces daddy !!!!!,jojigotchu,0,0,Sat Nov 14 17:12:12 +0000 2020
48,48,"RT Pisces has the ability to become very, very jealous.",Alexis_424,162,0,Sat Nov 14 17:12:12 +0000 2020
49,49,"my mom (a Pisces) got her hair done &amp; said “I’m so cute, I’m sending out pictures of myself to everyone” 🤣",LILMOMONEYY,0,0,Sat Nov 14 17:12:09 +0000 2020
50,50,RT No one: Pisces and libras:,ihateteftoo,859,0,Sat Nov 14 17:12:08 +0000 2020
51,51,"RT 💫Cancer, Gemini, Pisces. You need to come to a place of acceptance. Your life is lacking balance because you cling to pas…",GOLDDVST,114,0,Sat Nov 14 17:12:07 +0000 2020
52,52,RT The signs that are easiest to sit and vibe out around: Taurus Capricorn Pisces Libra Aquarius These signs are so…,samyiaxo,673,0,Sat Nov 14 17:12:04 +0000 2020
53,53,Nas X living every Pisces' dream in this pic,PandemicQueer,0,0,Sat Nov 14 17:12:01 +0000 2020
