,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"RT ✉️🔮Virgo, Leo, Libra, Sagittarius -sun, moon, rising, venus- the tea is -many people think you make everything you do loo…",iamnotangie,226,0,Sat Nov 14 17:14:52 +0000 2020
1,1,"RT A Sagittarius doesnt hold grudges, they rather live in peace than in war.",woahitsDeAndra,318,0,Sat Nov 14 17:14:51 +0000 2020
2,2,"RT ✉️🔮Cancer, Virgo, Aquarius, Sagittarius -sun, moon, rising, venus- things are beginning to happen for you without you cha…",itskynziiii,18,0,Sat Nov 14 17:14:38 +0000 2020
3,3,me: astrology is so fucking dumb and so is the myers-briggs shit my carrd: sun leo moon sagittarius infp-t 🤪🤪,niklnips,0,0,Sat Nov 14 17:14:37 +0000 2020
4,4,RT 『✧ Sagittarius Gold Cloth ✧』,PegasoJ9,14,0,Sat Nov 14 17:14:36 +0000 2020
5,5,"RT Aries, Leo, Sagittarius- a beginning awaits you, it’s suggested to take calculative steps/decisions so that you can move fo…",ComefwR,4,0,Sat Nov 14 17:14:34 +0000 2020
6,6,RT Everything in nature is well balanced &amp; a supernatural power operates the universe. This Diwali karaka for Wealth Venu…,saffronbiryani,7,0,Sat Nov 14 17:14:28 +0000 2020
7,7,"RT 💌 Gemini, Aries, Sagittarius, Cancer placements. a past person has been thinking of reaching out to you but they stop the…",OhMyGreeneBone,51,0,Sat Nov 14 17:14:25 +0000 2020
8,8,"other than other gemini women, sagittarius are my favorites ! men &amp; women alike. they’re literally the best. i love this season 🥰",lexxicakes99,0,0,Sat Nov 14 17:14:25 +0000 2020
9,9,RT A Sagittarius is the Most Honest Sign in the Zodiac.,balll_allday_2,303,0,Sat Nov 14 17:14:23 +0000 2020
10,10,tired of Sagittarius slander,bigbankkrish,0,0,Sat Nov 14 17:14:22 +0000 2020
11,11,RT Good Morning. Our first eight today are by Scottish painter Anita Inverarity. Her beautiful Illustrations are often set at ni…,svencjohn_steve,9,0,Sat Nov 14 17:14:22 +0000 2020
12,12,It’s they Sagittarius in me 😘,Pearl2DaStg,0,0,Sat Nov 14 17:14:16 +0000 2020
13,13,"RT Sagittarius: The Moon RX, Expect for a lot of suppressed emotions to resurface. Everything you have buried deep down in…",gaabyxo_,8,0,Sat Nov 14 17:14:04 +0000 2020
14,14,"RT If Gemini, Leo, Sagittarius or Aquarius don’t get to say what they are thinking at all times they are probably just goi…",OhMyGreeneBone,95,0,Sat Nov 14 17:14:03 +0000 2020
15,15,"Sagittarius, those mfs are EVIL",WickedlyRuined,0,0,Sat Nov 14 17:13:57 +0000 2020
16,16,"RT Virgo,Pisces,Capricorn,Aquarius and Sagittarius dream bathroom",OhMyGreeneBone,68,0,Sat Nov 14 17:13:53 +0000 2020
17,17,"RT once a Sagittarius start Sagittariusing, just LEAVE 🤣",sheis_shanell,80,0,Sat Nov 14 17:13:49 +0000 2020
18,18,"RT To a Sagittarius, they are always first.",speshallj_,148,0,Sat Nov 14 17:13:49 +0000 2020
19,19,RT Energy Work of the New Moon💫 Aries: Peace Taurus: Letting Go Gemini: Release Cancer: Acceptance Leo: Intuitive Choices V…,og_breeezy,90,0,Sat Nov 14 17:13:48 +0000 2020
20,20,RT Capricorn and Sagittarius don't get enough credit for how advanced they are as humans but I see you... you next level M…,biancalillieee,121,0,Sat Nov 14 17:13:30 +0000 2020
21,21,"RT ✉️🔮Cancer, Virgo, Aquarius, Sagittarius -sun, moon, rising, venus- things are beginning to happen for you without you cha…",trendsettabri,18,0,Sat Nov 14 17:13:26 +0000 2020
22,22,RT Virgo uses a microscope Sagittarius binoculars Aquarius a telescope Scorpio looks for clues with a magnifying glass Cancer look…,luatbh,44,0,Sat Nov 14 17:13:25 +0000 2020
23,23,"Me as an Aries sun, Aries moon, and Sagittarius rising 😌🔥🔥🔥",mudramermaid,0,0,Sat Nov 14 17:13:20 +0000 2020
24,24,"RT 💌 Gemini, Aries, Sagittarius, Cancer placements. a past person has been thinking of reaching out to you but they stop the…",babygirldani_,51,0,Sat Nov 14 17:13:17 +0000 2020
