,text,user,retweets,favorites,datetime
0,"RT @iamannapepe: ✉️🔮Gemini, Pisces, Capricorn, Scorpio
-sun, moon, rising, venus-

get focused &amp; stay focused on what you want. if you’re n…",Dramaticcom,7,0,Sat Nov 14 17:14:53 +0000 2020
1,"RT @iamannapepe: ✉️🔮Scorpio, Capricorn, Aquarius, Gemini
-sun, moon, rising, venus-

easy wins 🔱 you’re about to be shown how easy it is to…",pr3ttyblunts,215,0,Sat Nov 14 17:14:52 +0000 2020
2,RT @melanatedmomma: a lot of scorpios stay on pluto when they need to ascend to minerva. scorpio is ruled by pluto &amp; it’s a dark planet. on…,cryingcicada,16,0,Sat Nov 14 17:14:52 +0000 2020
3,RT @astr0kara: new moon in scorpio🌹 https://t.co/IS522XQ3Vw,choaticpeace,1,0,Sat Nov 14 17:14:49 +0000 2020
4,"RT @melanatedmomma: Minerva, the goddess of wisdom rules the higher aspects of pluto. it’s enlightenment vs death. and a lot of scorpio pla…",starchild8088,5,0,Sat Nov 14 17:14:49 +0000 2020
5,RT @melanatedmomma: a lot of scorpios stay on pluto when they need to ascend to minerva. scorpio is ruled by pluto &amp; it’s a dark planet. on…,starchild8088,16,0,Sat Nov 14 17:14:47 +0000 2020
6,the moon is in scorpio,spicydaddies,0,0,Sat Nov 14 17:14:43 +0000 2020
7,Oh no girl not you having scorpio women after Scorpio men https://t.co/9SG6vjkSFN,zoemillsap,0,0,Sat Nov 14 17:14:42 +0000 2020
8,"RT @ehimeora: New Moon in Scorpio later this evening.

Don’t fear your own depths, you are not something to run away from. You know somethi…",EasilyIvanna,374,0,Sat Nov 14 17:14:39 +0000 2020
9,RT @Rude_Astrology: It is the dark of the moon on a Scorpio moon. Often the most difficult feelings come out as dissatisfaction and when th…,geminwhy_,47,0,Sat Nov 14 17:14:38 +0000 2020
10,when we finally find out that changkyun is a scorpio rising then what,kihyuninho,0,0,Sat Nov 14 17:14:38 +0000 2020
11,"RT @starsofjoi: Scorpio New Moon introduces us to a stronger version of ourselves. We must say goodbye to self-pity, pain, &amp; demotivation.…",damnpsychic,2,0,Sat Nov 14 17:14:35 +0000 2020
12,RT @melanatedmomma: a lot of scorpios stay on pluto when they need to ascend to minerva. scorpio is ruled by pluto &amp; it’s a dark planet. on…,coddyyy,16,0,Sat Nov 14 17:14:35 +0000 2020
13,"RT @invaderfinn: @bawbbyshere @quenblackwell i remember reading something abt how just calling a group of ppl by their group rather than ""_…",scorpio_ni,8,0,Sat Nov 14 17:14:33 +0000 2020
14,"RT @sugasoofly: me : “ i’m a scorpio “ 

ari: “ don’t ever say some dumb shit like that again “",ariannaaleesia,9,0,Sat Nov 14 17:14:32 +0000 2020
15,Mercury is also in Scorpio 💀 conjuct chiron . Looks like some painful truths about ourselves or others might surfac… https://t.co/4gR7jp5ku4,angiechuma,0,1,Sat Nov 14 17:14:32 +0000 2020
16,"** bailey ‘bee’ barker
     
                           ❀❀   

sassy | ‘97 baby | ball of energy | scorpio | nature… https://t.co/LO2Ndc1iz3",teenagexdirtbcg,0,0,Sat Nov 14 17:14:31 +0000 2020
17,@ListenToEzra @1Jedi_Rey @obk623 @MatthewWolfff @JainaResists @Boba_Tea_Catan @MaraJade_2017 @JynErso_Patriot… https://t.co/rPqD4vJ4Sk,_si_se_puede,0,0,Sat Nov 14 17:14:30 +0000 2020
18,"RT @melanatedmomma: Minerva, the goddess of wisdom rules the higher aspects of pluto. it’s enlightenment vs death. and a lot of scorpio pla…",freelovingwitch,5,0,Sat Nov 14 17:14:27 +0000 2020
19,RT @ehimeora: The biggest tip with this New Moon and Scorpio transits is to observe. Scorpios love to wait and see. The results and answers…,bawseash,46,0,Sat Nov 14 17:14:23 +0000 2020
20,"RT @melanatedmomma: Minerva, the goddess of wisdom rules the higher aspects of pluto. it’s enlightenment vs death. and a lot of scorpio pla…",Politenessss,5,0,Sat Nov 14 17:14:18 +0000 2020
