,text,user,retweets,favorites,datetime
0,RT @CupcakKe_rapper: Giving out 1k just hit retweet now simple,benign_virgo,16803,0,Sat Nov 14 17:14:33 +0000 2020
1,"RT @themanimarie: my favorite trait about sag, gemini, pisces, virgo is when they get upset over some shit they did for someone that absolu…",httplayla,349,0,Sat Nov 14 17:14:28 +0000 2020
2,"RT @AboutVirgos: When a #virgo falls in love, they usually love that person well after the relationship is over.",Dman_2fs,136,0,Sat Nov 14 17:14:15 +0000 2020
3,RT @earthdombaby: People be like “I don’t judge” meanwhile they’re a Virgo,_Abimar,183,0,Sat Nov 14 17:14:11 +0000 2020
4,"RT @VirgoNation: #Virgo is the prime example for the expression ""Don't judge a book by it's cover"", because they have many layers of person…",RoselynLeoWorld,1971,0,Sat Nov 14 17:14:05 +0000 2020
5,RT @earthdombaby: People be like “I don’t judge” meanwhile they’re a Virgo,soberwaifu,183,0,Sat Nov 14 17:13:56 +0000 2020
6,this applies solely to virgo women thank u,titttychakra,0,1,Sat Nov 14 17:13:55 +0000 2020
7,"RT @zodiacashomes: Virgo,Pisces,Capricorn,Aquarius and Sagittarius dream bathroom https://t.co/wLU9JD8llF",OhMyGreeneBone,68,0,Sat Nov 14 17:13:53 +0000 2020
8,RT @f8the: adderall personified is a virgo,loonyleans,912,0,Sat Nov 14 17:13:48 +0000 2020
9,"RT @AdelineTarot: Energy Work of the New Moon💫

Aries: Peace
Taurus: Letting Go
Gemini: Release
Cancer: Acceptance
Leo: Intuitive Choices
V…",og_breeezy,90,0,Sat Nov 14 17:13:48 +0000 2020
10,A Virgo debating another Virgo is gold and I don’t get enough of it. Debating you simps gets boring and unchallenging.,itsmaggieleeb,0,0,Sat Nov 14 17:13:47 +0000 2020
11,"RT @leograndprince: Do you want space or attention? 
Virgo: Spattention",KipLife,1,0,Sat Nov 14 17:13:41 +0000 2020
12,"RT @AboutVirgos: #Virgo, avoid arguing with others, because you will be irritated very easily.",FatinShafiaai,107,0,Sat Nov 14 17:13:37 +0000 2020
13,@slvt4saturn omds virgo men are no no I should’ve specified Virgo women,titttychakra,0,0,Sat Nov 14 17:13:34 +0000 2020
14,"@mondaysaries IF YOU'RE STILL DOING THESE

VIRGO MOON 12TH HOUSE
CANCER VENUS 8TH HOUSE
LIBRA ASC. 2ND HOUSE

An em… https://t.co/Vm54ol9BuT",anal_friday,0,0,Sat Nov 14 17:13:33 +0000 2020
15,"RT @AdelineTarot: Changes You're Currently Manifesting, Earth (Taurus, Virgo, Capricorn):💫You are making your way to new beginnings and mov…",_ccrystaaal,59,0,Sat Nov 14 17:13:31 +0000 2020
16,"RT @iamannapepe: ✉️🔮Cancer, Virgo, Aquarius, Sagittarius
-sun, moon, rising, venus-

things are beginning to happen for you without you cha…",trendsettabri,17,0,Sat Nov 14 17:13:26 +0000 2020
17,"RT @orfray: Virgo uses a microscope
Sagittarius binoculars
Aquarius a telescope
Scorpio looks for clues with a magnifying glass
Cancer look…",luatbh,44,0,Sat Nov 14 17:13:25 +0000 2020
18,"@V0ICEN0TELFTV i got: unlabeled
i am: 

i got: virgo
i am: 

i got: single 😂😂😂 embarassing
i am: 

i got: ambivert… https://t.co/zJGeMPdUfL",catenbyalex,0,0,Sat Nov 14 17:13:19 +0000 2020
19,@titttychakra i’m just messin🤪 a certain virgo man has me 10 kinds of fucked up rn,slvt4saturn,0,0,Sat Nov 14 17:13:11 +0000 2020
20,RT @earthdombaby: People be like “I don’t judge” meanwhile they’re a Virgo,windyamani,183,0,Sat Nov 14 17:12:50 +0000 2020
