,text,user,retweets,favorites,datetime
0,"RT @trouxinhacitou: - mas vc tá bem msm?
- tô sim
- tu tá onde?
- tô deitado aqui de boa https://t.co/NYMZZ6fKDF",Kayl_Leo,4702,0,Sat Nov 07 21:05:09 +0000 2020
1,"RT @SignoleoRD: 😱SOMOS +100K de #LEO 
¿Se imaginan una fiesta solo de personas del signo leo para celebrar?",Dr_Caronte,8,0,Sat Nov 07 21:05:08 +0000 2020
2,@Akkigotdasauce @c0SmICn00dLe @EWalk_Leo @moneybaggzdre @GameStop No still the same I’m waiting for it to change,Iam_Hercules91,0,0,Sat Nov 07 21:05:08 +0000 2020
3,Medicine for the soul. https://t.co/m5K82gFS0c,leo_mrusso,0,0,Sat Nov 07 21:05:08 +0000 2020
4,"A tutti e tutte voi buona notte, anche se io resto ancora sveglio a lungo. Ciao. Leo https://t.co/82OyIYy4J3",Leonard48598239,0,0,Sat Nov 07 21:05:08 +0000 2020
5,"@jdoedoe101101 Estoy destruida Doe💔 

 Cuando leo o veo algo así me levanta un poco... 
Gracias!",gladys_p8,0,0,Sat Nov 07 21:05:07 +0000 2020
6,"RT @vivicanosaok: #Elecciones 2020
Los leo https://t.co/Nwd47q9SFi",ramiroluque04,64,0,Sat Nov 07 21:05:07 +0000 2020
7,"RT @TyCSports: Una imagen poco frecuente en Camp Nou: Leo Messi, suplente contra el #Betis 🔟🔴🔵 https://t.co/7FffaO5b3s",rynerust,6,0,Sat Nov 07 21:05:07 +0000 2020
8,RT @ildfjlbl: Si como leo Biden es de ideología socialista y comunista nos tiene que favorecer y ya no tendremos aranceles con el aceite de…,pepeconchi,3,0,Sat Nov 07 21:05:07 +0000 2020
9,RT @Leo_Tweets: #Leo HATES temporary people https://t.co/wNKgIvV2e4,aadebutjojo_,302,0,Sat Nov 07 21:05:06 +0000 2020
10,RT @yolth_: Park Jimin as “Fleurs au vase” by Leo Luppe https://t.co/u7BmKpHmcs,filtersbxddie,7,0,Sat Nov 07 21:05:06 +0000 2020
11,@TresorMick @BoominHoney @sini_leo Oui mais la plupart des gens parlent sans rien réellement savoir de ce qu’il a f… https://t.co/ByTbMNcRi1,Seanth11,0,0,Sat Nov 07 21:05:06 +0000 2020
12,"RT @SaoPauloFC: Suplentes:
40 T. Couto
41 Junior
2 Igor V.
32 Rodrigo
5 Arboleda
16 Léo
36 Patryck
25 R. Nestor
15 Hernanes
9 Pablo
18 Toró…",startrekwhy,11,0,Sat Nov 07 21:05:06 +0000 2020
13,RT @jeffincrf: @mundodabola @GHenrique093 e Leo Pereira,Cleisoncamposs,1,0,Sat Nov 07 21:05:06 +0000 2020
14,‘THANK YOU FOR PRAYING FOR ME’: Herschel Walker shuts down Majority Whip James Clyburn’s attempt to shun black men… https://t.co/eDqVR0UiS1,Sweetjudii,0,0,Sat Nov 07 21:05:05 +0000 2020
15,"A QUIÉN DEBES STANEAR SEGÚN TU SIGNO

aries         \
tauro
géminis         \
cancer 
leo                       \… https://t.co/ItsHwfDNUD",marianxwalls,0,0,Sat Nov 07 21:05:05 +0000 2020
16,"...io e #pollo05 Tene siamo grati!!!

Notte e a domani @BABY_LEO_BILL !!! https://t.co/wIxi2tS1NW",ColucciLc,0,0,Sat Nov 07 21:05:05 +0000 2020
