,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,im an aquarius so idk hahsha,TAESCADA,0,0,Thu Nov 12 13:39:59 +0000 2020
1,1,RT 💌aquarius. capricorn. aries. libra. sun moon rising venus emotions will be spilling. an honest conversation is coming up…,sk1nni_m1nni,103,0,Thu Nov 12 13:39:57 +0000 2020
2,2,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",ColleenMarini,453,0,Thu Nov 12 13:39:57 +0000 2020
3,3,Im Aquarius and this is FACTS,Vintique_Lxrie,0,0,Thu Nov 12 13:39:49 +0000 2020
4,4,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",Aqua_dope,453,0,Thu Nov 12 13:39:41 +0000 2020
5,5,"RT aries, cancer, virgo &amp; aquarius ✨🍁 the only person you ever need to be right now is yourself. you are only ever competin…",aquariabae,9,0,Thu Nov 12 13:39:39 +0000 2020
6,6,"RT Aquarius have a very serious side, and a very crazy side. You never know what you're going to get!",iamnelsonfl024,128,0,Thu Nov 12 13:39:38 +0000 2020
7,7,"RT Someday, Aquarius will walk into your life and you'll realize why it never worked with anyone else.",ernesto__lpm,86,0,Thu Nov 12 13:39:35 +0000 2020
8,8,"RT Someday, Aquarius will walk into your life and you'll realize why it never worked with anyone else.",LulLexx18,86,0,Thu Nov 12 13:39:31 +0000 2020
9,9,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",daici444,511,0,Thu Nov 12 13:39:30 +0000 2020
10,10,"RT Someday, Aquarius will walk into your life and you'll realize why it never worked with anyone else.",NeoCTshabalala,86,0,Thu Nov 12 13:39:14 +0000 2020
11,11,Aquarius- and this is the truth- it really does depend on the day and my mood...♒️♒️♒️🔥🔥🔥🔥,jenimegs,0,0,Thu Nov 12 13:39:12 +0000 2020
12,12,i got: gay i am: i got: aquarius i am: i got: single i am: i got: introvert i am: reply with an…,obvioussex,0,0,Thu Nov 12 13:39:10 +0000 2020
13,13,RT Zodiac signs that hate following the rules. -Aquarius -Leo -Sagittarius -Gemini -Scorpio,FlyyestCoopEva,195,0,Thu Nov 12 13:39:01 +0000 2020
14,14,I was about to say this screams Aquarius... wheeew!,BigDrewwskiiiii,0,0,Thu Nov 12 13:38:52 +0000 2020
15,15,"RT Reasons not to like Aquarius: their aloofness, dismissal of the individual &amp; purely logical thinking",amu2020v,39,0,Thu Nov 12 13:38:43 +0000 2020
16,16,RT Aquarius prediction for 11-12 the rain gonna make you feel protected a call or text could throw you off moving on heavy g…,kyungmel_,8,0,Thu Nov 12 13:38:41 +0000 2020
17,17,"RT Someday, Aquarius will walk into your life and you'll realize why it never worked with anyone else.",_melancon,86,0,Thu Nov 12 13:38:39 +0000 2020
18,18,"RT ⭐️ taurus, leo, scorpio, aquarius ⭐️ you’ve been working hard trying to manifest something. mostly all up in your head ab…",simply_shamai,20,0,Thu Nov 12 13:38:34 +0000 2020
19,19,"RT Dating a Virgo, Scorpio, Capricorn or Aquarius like:",GonegirlZa,3397,0,Thu Nov 12 13:38:21 +0000 2020
20,20,this is the daily life of an aquarius rising,moonfaIls,0,0,Thu Nov 12 13:38:19 +0000 2020
21,21,RT Aquarius prediction for 11-12 the rain gonna make you feel protected a call or text could throw you off moving on heavy g…,THEREALNEKAYIAA,8,0,Thu Nov 12 13:38:16 +0000 2020
22,22,RT Aries: You're not the audience I'm addressing Leo: THIS WILL BE A CLASSIC SOMEDAY LOSERS Virgo: I've got six first person P…,MAHLLC,21,0,Thu Nov 12 13:38:13 +0000 2020
23,23,AQUARIUS KING WOO!,suhmayzooka,0,0,Thu Nov 12 13:38:05 +0000 2020
24,24,i got: bi i am: i got: aquarius i am: i got: single i am: i got: introvert i am: reply with a…,darianafixme,0,0,Thu Nov 12 13:38:02 +0000 2020
25,25,RT Aquarius prediction for 11-12 the rain gonna make you feel protected a call or text could throw you off moving on heavy g…,theanimebaby2,8,0,Thu Nov 12 13:37:59 +0000 2020
26,26,"Good fuckin lord 😍 save me from these Aquarius women, man.",DrinkUpImSoaked,0,0,Thu Nov 12 13:37:56 +0000 2020
27,27,RT Don’t niggas know they can’t take a “break” from an Aquarius girl. You gonna be.. what’s the word? Fein-ing,mami_blase,97,0,Thu Nov 12 13:37:55 +0000 2020
28,28,RT ⚠THREAD FOR DONATIONS⚠ PLEASE RT TO SPREAD THE WORD,aquarius_jdh97,139,0,Thu Nov 12 13:37:28 +0000 2020
