,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"9-In a nutshell – Saturn’s movement through Capricorn is- Most challenging for- Capricorn, Aries, Cancer and…",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
1,1,"What is your zodiac sign — For the 100th time, it’s Aries.",pinkwhores,0,0,Thu Nov 12 13:37:03 +0000 2020
2,2,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",LovelyLadyShay_,837,0,Thu Nov 12 13:37:03 +0000 2020
3,3,RT aries: -u get bored easily sighs -advice is FUCK AUTHORITY !! -ur distant yet clingy -stop being hard on urself :( -has a s…,sister_shade,134,0,Thu Nov 12 13:37:02 +0000 2020
4,4,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",indygahdraco,837,0,Thu Nov 12 13:36:55 +0000 2020
5,5,RT Aries obvio,Sronielysssss,1,0,Thu Nov 12 13:36:53 +0000 2020
6,6,Pledis 🤡🤡🤡,miss_chupa_,0,0,Thu Nov 12 13:36:50 +0000 2020
7,7,RT aries: -u get bored easily sighs -advice is FUCK AUTHORITY !! -ur distant yet clingy -stop being hard on urself :( -has a s…,sylviechi,134,0,Thu Nov 12 13:36:38 +0000 2020
8,8,"RT (aries, leo, sagittarius): it’s time for you to decide what it is that you want and to go for it. your dreams aren’t un…",itstamearaa,1034,0,Thu Nov 12 13:36:25 +0000 2020
9,9,"more like sehun is good at tolareting junmyeon gemini ass. while jun in the other hand, he kinda neutralizes the ar…",hhhhhwa,0,0,Thu Nov 12 13:36:20 +0000 2020
10,10,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",armoniboujie,837,0,Thu Nov 12 13:36:17 +0000 2020
11,11,"RT I want you to want me: Leo, Gemini I need you to need me: cancer, Taurus I’d love you to love me: Libra, Aries I’m begg…",azulnostalgia,55,0,Thu Nov 12 13:36:16 +0000 2020
12,12,"I ""Love"" You...",NotLeo_Aries,0,0,Thu Nov 12 13:36:14 +0000 2020
13,13,"i got: bi or pan i am: bi i got: scorpio i am: sagittarius, gemini moon, aries rising i got: taken? i am: taken…",FLICKERSG0LDEN,0,0,Thu Nov 12 13:36:13 +0000 2020
14,14,"Literally my goal in life is to date men.. from aaall of the zodiac signs.. so far ive dated gemini, pisces, aries,…",yourexboothang,0,0,Thu Nov 12 13:36:09 +0000 2020
15,15,Im aries...,ImSkepticall,0,0,Thu Nov 12 13:36:08 +0000 2020
16,16,"RT On September 9th, Mars will station Rx at 28 degrees Aries, joining the five outer planets Jupiter, Saturn, Uranus, N…",Hippie_Bae,1,0,Thu Nov 12 13:36:00 +0000 2020
17,17,Aries,WindBouquet,0,0,Thu Nov 12 13:35:59 +0000 2020
18,18,I used to think this was a joke ting for the internets...but I have a cousin who talks justtt like this,aries_1826,0,0,Thu Nov 12 13:35:58 +0000 2020
19,19,"RT what pissing off an aries, sagittarius, and gemini is like:",margotoranges,2322,0,Thu Nov 12 13:35:56 +0000 2020
20,20,RT I’m so ready for mars to be direct and move out of aries into taurus. all this violence and killings is sickening,lmryu_,166,0,Thu Nov 12 13:35:55 +0000 2020
21,21,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",shottaGAL_,837,0,Thu Nov 12 13:35:49 +0000 2020
22,22,yo aries,Patri__Gomez,0,0,Thu Nov 12 13:35:49 +0000 2020
23,23,Not You Dawg...,NotLeo_Aries,0,0,Thu Nov 12 13:35:44 +0000 2020
24,24,i got: unlabeled i am: unlabeled i got: cancer i am: aries(more like pisces) i got: single i am: single😿 i got:…,flckerhabits,0,1,Thu Nov 12 13:35:41 +0000 2020
25,25,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",lumistical,837,0,Thu Nov 12 13:35:41 +0000 2020
26,26,"RT In today's 'Astro is so real' : Boris Vian, a French writer and musician, wrote a book called 'I will spit on your grav…",rysreadings,14,0,Thu Nov 12 13:35:38 +0000 2020
27,27,stream fool’s gold by,streamfoolgold,0,0,Thu Nov 12 13:35:35 +0000 2020
28,28,Aries obvio,__vpng__,1,1,Thu Nov 12 13:35:30 +0000 2020
29,29,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",brittLynn819,837,0,Thu Nov 12 13:35:28 +0000 2020
30,30,Aries,OldNOTBlind1,0,1,Thu Nov 12 13:35:15 +0000 2020
31,31,"hard to swallow but sehun is the mature one.... gemini is a kid at heart (annoying, fun-loving) and aries.... lemme…",hhhhhwa,0,0,Thu Nov 12 13:35:13 +0000 2020
32,32,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",MilaA_18_,837,0,Thu Nov 12 13:35:08 +0000 2020
33,33,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",BambiiiBam,837,0,Thu Nov 12 13:35:05 +0000 2020
34,34,"RT (aries, leo, sagittarius): it’s time for you to decide what it is that you want and to go for it. your dreams aren’t un…",ThatsYass_,1034,0,Thu Nov 12 13:35:01 +0000 2020
35,35,Yeh sidereal Aries,mob_neice,0,0,Thu Nov 12 13:34:59 +0000 2020
36,36,"RT what pissing off an aries, sagittarius, and gemini is like:",_kayybeth,2322,0,Thu Nov 12 13:34:55 +0000 2020
37,37,"RT sag, leo, aries 🦋✉️ you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",symithelight,837,0,Thu Nov 12 13:34:52 +0000 2020
38,38,"RT 🌋 aries, leo, sagittarius 🌋 new is always good— it’s full of possibilities and magic— the unknown is truly beautiful. allo…",foxiegolouder,27,0,Thu Nov 12 13:34:44 +0000 2020
39,39,Really just tired,aries_finest101,0,0,Thu Nov 12 13:34:42 +0000 2020
40,40,OMG UR AN ARIES- explains your wild ass energy,SimmingDine,0,1,Thu Nov 12 13:34:41 +0000 2020
41,41,RT Aries Spears nails the impression of Shaq and Charles Barkley from 2009 NBA All-Star Comedy Jam. 😂,___santana9,405,0,Thu Nov 12 13:34:40 +0000 2020
42,42,do yours in qrt !! ☆height: 4'11 ☆shoe size: - ☆zodiac sign: aries ☆tattoos: 1 ☆piercings: 2 ☆favorite color: red…,jwwslvr,0,1,Thu Nov 12 13:34:38 +0000 2020
43,43,"RT 🔮✨✨ ✨Sagittarius, pisces, Gemini &amp; Aries energy✨ You’re on your way to a victory! You’ve earned this. You may be s…",iii_dam,160,0,Thu Nov 12 13:34:28 +0000 2020
44,44,i got: lesbian i am: lesbian i got: aries i am: aquarius i got: single i am: kinda dating but at the same time…,ALEXP4TTERSON,0,0,Thu Nov 12 13:34:20 +0000 2020
45,45,Need time to let off a little steam.,Al_Aries,0,0,Thu Nov 12 13:34:06 +0000 2020
46,46,"Oh No! It's 5... Jesus, My Eyes Are So Stupid At Lookin' At It, It's Trippy",NotLeo_Aries,0,0,Thu Nov 12 13:34:04 +0000 2020
47,47,Aries dong,elenagilbertkw,0,0,Thu Nov 12 13:33:53 +0000 2020
48,48,RT Mars in Aries FINALLY ends it’s retrograde on Friday and we will be getting our energy + focus back. If things have been…,luzzdanielaa,517,0,Thu Nov 12 13:33:37 +0000 2020
49,49,hallo aries,aboooozzz,0,0,Thu Nov 12 13:33:37 +0000 2020
50,50,✓ height: 6'1ft (185cm) ✓ shoe size: 44 ✓ zodiac sign: Aries ✓ tattoos: 0 unfortunately 😭 ✓ piercings: 0 ✓ favorit…,GuyNooneNotices,0,1,Thu Nov 12 13:33:36 +0000 2020
51,51,One is loved because one is loved. No reason is needed for loving.,aries_A02,0,0,Thu Nov 12 13:33:36 +0000 2020
52,52,Aries,chandriellex,0,0,Thu Nov 12 13:33:33 +0000 2020
53,53,I'm actually hurt Aries ain't here TT,yoonbree,0,0,Thu Nov 12 13:33:32 +0000 2020
