,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"RT Good day everyone, Samuel Oladokun is my son,he's struggling to beat cancer...we spent all we had on his treatment,we are…",ITukura,251,0,Thu Nov 12 13:38:31 +0000 2020
1,1,I just clicked and helped for free at The Breast Cancer Site,amyharlib,0,0,Thu Nov 12 13:38:31 +0000 2020
2,2,"RT The rise in deaths are misattributed number due to non COVID19 causes. I said this earlier, if we continue inc…",LyndaMa16803722,1,0,Thu Nov 12 13:38:27 +0000 2020
3,3,do yours in qrt !! ☆height: secret😃 ☆shoe size: 5?6? ☆zodiac sign: cancer ☆tattoos: none ☆piercings: 2 ☆favorite c…,seungiecvlt,0,0,Thu Nov 12 13:38:26 +0000 2020
4,4,"RT GodMorningThursday The human body requires OXYGEN. If tobacco smoke enters your body, It becomes a COUGH. It also causes…",MithleshDas3,15,0,Thu Nov 12 13:38:26 +0000 2020
5,5,"RT Shocking video. The world’s leading vaccine pioneer, Dr. Maurice Hilleman, admits that Merck drug company vaccines were…",USAShopper,2713,0,Thu Nov 12 13:38:25 +0000 2020
6,6,Can eating soy cause cancer? Compounds in soy called lignans and isoflavon…,BillySelsley,0,0,Thu Nov 12 13:38:24 +0000 2020
7,7,"RT tw // death threats , cancer , abuse , stabbing pls report this acc",V4LARIEZ,1,0,Thu Nov 12 13:38:24 +0000 2020
8,8,RT 🇺🇸has donated ⬆️󠀾󠀾$6.8 million to fight cancer around the world. 👀this 📹 learn how US support for brings us one step…,VishalP27304,6,0,Thu Nov 12 13:38:22 +0000 2020
9,9,"RT Those ignorant, enlighten yourself with this CDC Research",JeffMaina,6,0,Thu Nov 12 13:38:20 +0000 2020
10,10,"RT My friend was working for a cancer org when she found out she had cancer and they fired her when treatment, and you kn…",mayamayagirl,59,0,Thu Nov 12 13:38:19 +0000 2020
11,11,dramatic cancer,wahyunn_y,0,0,Thu Nov 12 13:38:18 +0000 2020
12,12,"RT The Prisoners association stated, 18% of Gaza's prisoners suffer from chronical diseases including cancer. Act4Palestin…",GroupPs_Indo,7,0,Thu Nov 12 13:38:18 +0000 2020
13,13,RT Here is one young lady who is having to fund her own cancer treatment,Tedestrela,6,0,Thu Nov 12 13:38:18 +0000 2020
14,14,Maybe reflect on the all the withdrawn treatments for pati…,CoreySherrif,0,0,Thu Nov 12 13:38:15 +0000 2020
15,15,We are thinking of life on Mars and yet we don’t have a cure for Cancer which is constantly taking the lives of our…,claws_claudia,0,0,Thu Nov 12 13:38:15 +0000 2020
16,16,RT In a moving contribution - who is having treatment for cancer - points out that she’s not allowed to par…,binkypuff,99,0,Thu Nov 12 13:38:14 +0000 2020
17,17,"RT Transforming human waste into lifesaving medical insights. OutSense IoT device screens for blood in stool, an early sign of…",Janlambr,5,0,Thu Nov 12 13:38:13 +0000 2020
18,18,RT Dr. Gottlieb on Squawk Box saying '21 will be bad year for morbidities in US .. because of so many problems from missed canc…,la445420031,56,0,Thu Nov 12 13:38:13 +0000 2020
19,19,"NorthShore University HealthSystem, an award-winning integrated healthcare delivery system, adopts groundbreaking d…",Densitas,0,0,Thu Nov 12 13:38:11 +0000 2020
20,20,"RT My friend was working for a cancer org when she found out she had cancer and they fired her when treatment, and you kn…",joiultra,59,0,Thu Nov 12 13:38:11 +0000 2020
21,21,"I doubt it, from jail ? You think they’re gonna let Trump do TV shows from jail?…",PeacefulClover,0,0,Thu Nov 12 13:38:10 +0000 2020
22,22,She held a bunch of papres in her hand when the chief minister noticed while he was leaving after inaugurating a li…,LogicalIndians,0,0,Thu Nov 12 13:38:08 +0000 2020
23,23,Preventing Covid deaths one suicide/undiagnosed cancer patient at a time,DaveJenks2020,0,1,Thu Nov 12 13:38:08 +0000 2020
24,24,RT Researchers at the American Heart Association have found that people who consume chili peppers are 26% less likely to die…,mlkabamba,112,0,Thu Nov 12 13:38:07 +0000 2020
