,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT 333 Gemini it’s your turn. Your past/present/ future are lining up. You have clear vision and are using all your past exper…,AlyssaQuada,5,0,Thu Nov 12 13:38:14 +0000 2020
1,1,RT The ultimate selfie taken by while floating above the earth 54 years ago has emerged for sale. The astronaut p…,AvatarDomy,4,0,Thu Nov 12 13:38:13 +0000 2020
2,2,Wanted to try to draw gemini Ina a different outfit,wacky_doodle,0,0,Thu Nov 12 13:38:12 +0000 2020
3,3,The same police wey dey collect fuel money for investigation and arrest. Tueh!,gemini__xy,0,0,Thu Nov 12 13:38:11 +0000 2020
4,4,People think just cuz I’m a Gemini that I’m crazy.. I’ve never done no crazy shit 😂I be chillin. What have y’all ge…,ColeyyyColeee,0,0,Thu Nov 12 13:38:07 +0000 2020
5,5,RT gemini &amp; sagittarius “not my fault u fell for me”.,rawjit1804,1,0,Thu Nov 12 13:37:52 +0000 2020
6,6,Gemini for u. Smiles and 🤬u 🤣🤣🤣,tonyNC919,0,0,Thu Nov 12 13:37:49 +0000 2020
7,7,Your Hair.. Your Lips.. Your Chin.. Neck And Shoulders.. And On And On.. You Cause Me To Feel Passion.. Shhh..,Wayne90921,0,0,Thu Nov 12 13:37:47 +0000 2020
8,8,"RT As a Gemini, You are deep &amp; intellectual under the surface — but often what you present is either quiet or being over tal…",natxplicit,320,0,Thu Nov 12 13:37:42 +0000 2020
9,9,"RT 🔮✨✨ ✨Sagittarius, pisces, Gemini &amp; Aries energy✨ You’re on your way to a victory! You’ve earned this. You may be s…",stunnavega,161,0,Thu Nov 12 13:37:40 +0000 2020
10,10,"You need to know, junmyeon is a Gemini. Keep that in mind when you choose the answer",junmymir,0,0,Thu Nov 12 13:37:37 +0000 2020
11,11,i got: bi i am: i got: gemini i am: i got: single i am: i got: introvert i am:,tootimeddaeng,0,0,Thu Nov 12 13:37:31 +0000 2020
12,12,do this I'm a gemini,slicycals,0,0,Thu Nov 12 13:37:24 +0000 2020
13,13,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",linaxshit,451,0,Thu Nov 12 13:37:12 +0000 2020
14,14,"As a Gemini woman dating a Gemini man, I’ve come to the conclusion that we are the only ones who can tame us 🤦🏽‍♀️🤦🏽‍♀️",ShelbyNye4,0,0,Thu Nov 12 13:37:02 +0000 2020
15,15,RT Fire sign men can’t get enough of gemini women 🤷🏽‍♀️🤣,AsToldByTazia_,2,0,Thu Nov 12 13:37:01 +0000 2020
16,16,,HanukkahKandle,0,0,Thu Nov 12 13:36:56 +0000 2020
17,17,RT Zodiac signs that hate following the rules. -Aquarius -Leo -Sagittarius -Gemini -Scorpio,guapma4000,194,0,Thu Nov 12 13:36:54 +0000 2020
18,18,Fuck I hate racist white kids. And they need to hire more black teachers bec…,HTownxiivyix,0,0,Thu Nov 12 13:36:54 +0000 2020
19,19,Little Gemini ♊️ Today she was talking about her plans of becoming a doctor to take care of NICU babies like she w…,Morgan9231,0,0,Thu Nov 12 13:36:53 +0000 2020
20,20,Can’t trust a big butt and a gemini-i-i-i,Misan_Deoz,0,0,Thu Nov 12 13:36:52 +0000 2020
21,21,RT I find myself reflecting on the launch of my Gemini 12 flight 54 years ago today. It marked the final launch of the Gemini…,paullandry,322,0,Thu Nov 12 13:36:51 +0000 2020
22,22,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",Keeejaayy,451,0,Thu Nov 12 13:36:42 +0000 2020
23,23,RT thisss,_gemini_moon,8,0,Thu Nov 12 13:36:42 +0000 2020
24,24,"Mandibe busy noTakeALot, my flat needs a new TV and my console needs new games and another controller",Apex_Gemini,0,0,Thu Nov 12 13:36:41 +0000 2020
25,25,"more like sehun is good at tolareting junmyeon gemini ass. while jun in the other hand, he kinda neutralizes the ar…",hhhhhwa,0,0,Thu Nov 12 13:36:20 +0000 2020
26,26,"RT I want you to want me: Leo, Gemini I need you to need me: cancer, Taurus I’d love you to love me: Libra, Aries I’m begg…",azulnostalgia,55,0,Thu Nov 12 13:36:16 +0000 2020
27,27,"i got: bi or pan i am: bi i got: scorpio i am: sagittarius, gemini moon, aries rising i got: taken? i am: taken…",FLICKERSG0LDEN,0,1,Thu Nov 12 13:36:13 +0000 2020
28,28,RT THE MINUTEMAN FILES: THE GEMINI ATTACKS,UFOphoenixlight,1,0,Thu Nov 12 13:36:11 +0000 2020
