,text,user,retweets,favorites,datetime
0,"RT @Leo_Tweets: #Leo:

Beautiful things are beginning to manifest.
Be Patient.",Kendeezy_42,469,0,Thu Nov 12 13:38:50 +0000 2020
1,I JUST ME AND BOTH OF MY PARENTS ARE CANCER AND MY BROTHER IS LEO WHAT THE FUCK,pastelshua,0,0,Thu Nov 12 13:38:49 +0000 2020
2,"@CATGIRLK0RRA i got: lesbian
i am: 

i got: leo
i am: 

i got: single
i am: 

i got: introvert
i am: 

reply with a… https://t.co/m7Utk1Ikc0",g0thictrip,0,0,Thu Nov 12 13:38:48 +0000 2020
3,"RT @_aceesingcoo: HELLO GUYS!! I am asking for a little help para sa blockmate namin, si Leo Verdad. talagang natangay bahay nila due to th…",francismaee_c,166,0,Thu Nov 12 13:38:48 +0000 2020
4,RT @ivanmulima43: @CathyNaks U know,leo_masle,1,0,Thu Nov 12 13:38:46 +0000 2020
5,"RT @melanatedmomma: sag, leo, aries 🦋✉️

you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",AyoIhedioha,842,0,Thu Nov 12 13:38:46 +0000 2020
6,@Independent_ie Fuck leo and all belong to him,pronounce_i,0,0,Thu Nov 12 13:38:46 +0000 2020
7,"RT @onilleflores: This is what is left of the house of my offline STS 1 student, Leo.  He, his mother and 2 young siblings are currently in…",fausfausfausf,617,0,Thu Nov 12 13:38:45 +0000 2020
8,from now on im not a virgo i am a LEO /j https://t.co/HBLFBRJ0qJ,bicephoon,0,0,Thu Nov 12 13:38:40 +0000 2020
9,Lil Peep had angles in Leo which explains his fame indicators,cyberluvwitch,0,0,Thu Nov 12 13:38:38 +0000 2020
10,RT @sinnfeinireland: FF/FG/Greens want to appoint former NAGP lobbyist and FF Senator to SIPO - despite SIPO currently dealing with complai…,Sean95807790,13,0,Thu Nov 12 13:38:36 +0000 2020
11,"RT @selenereads: ⭐️ taurus, leo, scorpio, aquarius ⭐️

you’ve been working hard trying to manifest something. mostly all up in your head ab…",simply_shamai,20,0,Thu Nov 12 13:38:34 +0000 2020
12,"This is maddening &amp; disappointing.
A test 3 days prior to flight won't detect infection in transit. A test up to 5… https://t.co/4UwxfMHXik",dfeehely,0,0,Thu Nov 12 13:38:33 +0000 2020
13,"RT @melanatedmomma: sag, leo, aries 🦋✉️

you keep going through major cycles of big booms that are followed by moments or weeks of solitude…",GarnerKenadi,842,0,Thu Nov 12 13:38:33 +0000 2020
14,RT @ivanmulima43: Aba police tubaleke..let's look for the chap who supplies them with tear gas and push the struggle down his throat,leo_masle,2,0,Thu Nov 12 13:38:31 +0000 2020
15,@ivanmulima43 😂😂😂 am in,leo_masle,0,0,Thu Nov 12 13:38:29 +0000 2020
16,"RT @onilleflores: This is what is left of the house of my offline STS 1 student, Leo.  He, his mother and 2 young siblings are currently in…",kmrelativo,617,0,Thu Nov 12 13:38:29 +0000 2020
17,"RT @marklevinshow: Jeffrey Toobin, just another CNN jerk
https://t.co/ASKTTkrzYa",leo_thirteen13,827,0,Thu Nov 12 13:38:28 +0000 2020
18,It's settled. I'm rooting for Leo and Alana &amp; Hung and Chee this season #TheAmazingRace,AntologiRaksa,0,0,Thu Nov 12 13:38:25 +0000 2020
19,"@noor_e_hayat Sure dee 🙏🙏🙏🙏
Everything will be okay ❤",leo_stansid,0,0,Thu Nov 12 13:38:24 +0000 2020
20,"@TRPTV2 We want yjhjk 2 with Adivik 
#Adivik 
@vikram_the_Leo @officialaditish @StarPlus @gulenaghmakhan @atifcam",Farjana81248160,0,0,Thu Nov 12 13:38:23 +0000 2020
21,"RT @zylon9: Varadkar spent €30,000 per week, EVERY WEEK on spin in his first year as Taoiseach. https://t.co/ff3KMQqJmS",Colin_Todd_,22,0,Thu Nov 12 13:38:22 +0000 2020
22,"RT @libracapbird: for leo, sagittarius, aries ✨

when people doubt our skills they are often projecting their own insecurities, don’t let t…",chanelsosa_,19,0,Thu Nov 12 13:38:22 +0000 2020
23,RT @shelc_latortue: literally same! Us Leo’s get along so well with libras and Gemini’s,maritsavictoria,1,0,Thu Nov 12 13:38:20 +0000 2020
24,"@AineMcMahon Leo Varadkar certainly wore one, but I cannot say if he was Taoiseach at the time.",MacGiollaC,0,0,Thu Nov 12 13:38:18 +0000 2020
25,"RT @fran_wilde: Aries: You're not the audience I'm addressing
Leo: THIS WILL BE A CLASSIC SOMEDAY LOSERS
Virgo: I've got six first person P…",MAHLLC,21,0,Thu Nov 12 13:38:13 +0000 2020
26,"RT @onilleflores: This is what is left of the house of my offline STS 1 student, Leo.  He, his mother and 2 young siblings are currently in…",dianneanorico,617,0,Thu Nov 12 13:38:11 +0000 2020
27,@WaltaireMeulone @leo_bibi06 @SebSousbock @ManuR_L Indeed,koramarok,0,0,Thu Nov 12 13:38:10 +0000 2020
28,"RT @obsidianshakti: (aries, leo, sagittarius): it’s time for you to decide what it is that you want and to go for it. your dreams aren’t un…",DemiRoseMawby,1035,0,Thu Nov 12 13:38:10 +0000 2020
