,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT libra -u know the right thing to say at the right time -doubting your worth a lot :( -tired all the time zzz -loves late n…,spidreboy,139,0,Thu Nov 12 13:38:57 +0000 2020
1,1,RT Proud Libra,quick13,1,0,Thu Nov 12 13:38:41 +0000 2020
2,2,i got: straight i am: i got: libra i am: i got: single i am: i got: introvert i am: reply wit…,touchitside,0,0,Thu Nov 12 13:38:17 +0000 2020
3,3,who hurt you? was it a libra? 🥺🥺 jkjk lmfao,r1mjob,0,0,Thu Nov 12 13:37:59 +0000 2020
4,4,RT Libra have a big heart and are the least selfish sign of the Zodiac.,topsexyy,278,0,Thu Nov 12 13:37:57 +0000 2020
5,5,i am born on like the last day to be considered a virgo if i was born the day after i was i would be a libra so 🤔🤔🤔,j9nki,0,0,Thu Nov 12 13:37:49 +0000 2020
6,6,"4th Qtr Moon in Libra moon still fussing about “what is fair”, Jupiter conjunct Pluto presents opportunity for you…",SilverRavenWolf,0,1,Thu Nov 12 13:37:49 +0000 2020
7,7,i feel like i relate a lot with the libra thingies too all the time,j9nki,0,0,Thu Nov 12 13:37:49 +0000 2020
8,8,"TI: yes, a cup of hot tea with lemon kills the coronavirus expeditiously while it still resides in the throat cavit…",Malt_bia,0,0,Thu Nov 12 13:37:47 +0000 2020
9,9,I hope seeing and NOT break up and ..,Davide10082,0,0,Thu Nov 12 13:37:41 +0000 2020
10,10,"RT A Libra can convince you that everything is alright, even when it's not.",ash__kardash__,101,0,Thu Nov 12 13:37:32 +0000 2020
11,11,"RT 🌜MOON NOW IN LIBRA🌛 pamper yourself w an at home facial, mani, or massage! create a beautiful peaceful environment, its all…",sevynjewels,333,0,Thu Nov 12 13:37:30 +0000 2020
12,12,RT the fact that jimin’s grades were so high back then that he could have entered law school... his dad wanted him to become a…,la_libra_07,133,0,Thu Nov 12 13:37:25 +0000 2020
13,13,RT Hey chew on this really important question: Why did governments/regulators clobber Facebook’s Libra attempt so…,regalocya,71,0,Thu Nov 12 13:37:13 +0000 2020
14,14,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",linaxshit,451,0,Thu Nov 12 13:37:12 +0000 2020
15,15,"9-In a nutshell – Saturn’s movement through Capricorn is- Most challenging for- Capricorn, Aries, Cancer and…",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
16,16,do yours in qrt !! ☆height: 5’5 ☆shoe size: walang sizes mga sapatos ko dito 😬 ☆zodiac sign: libra ☆tattoos: none ☆…,hugseungs,0,1,Thu Nov 12 13:37:07 +0000 2020
17,17,"RT . our 2020 Music Innovator, has reached the top of the U.S. charts, united millions of fans around the world into a…",mansi_libra,55983,0,Thu Nov 12 13:37:00 +0000 2020
18,18,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",Keeejaayy,451,0,Thu Nov 12 13:36:42 +0000 2020
19,19,"RT 💫Taurus, Libra, Scorpio placements. Love, love, love. You have so much of it but, nowhere to place it. Hold it for now, s…",kys_kriss,327,0,Thu Nov 12 13:36:39 +0000 2020
20,20,RT Some of u females get way too deep with this zodiac sign shit. Yall be Lonely as hell but still won’t fuck with Johnny cuz…,RiOTSREALM,7,0,Thu Nov 12 13:36:22 +0000 2020
21,21,RT The ONLY Sign That’s Not Toxic Is a LIBRA 🤷🏽‍♂️🤣,CodeJaded,1,0,Thu Nov 12 13:36:19 +0000 2020
22,22,"RT I want you to want me: Leo, Gemini I need you to need me: cancer, Taurus I’d love you to love me: Libra, Aries I’m begg…",azulnostalgia,55,0,Thu Nov 12 13:36:16 +0000 2020
23,23,"RT Libra make great troublemakers &amp; problem solvers, because we communicate excellently.",stillpartofu,61,0,Thu Nov 12 13:36:16 +0000 2020
24,24,RT AIR SIGNS✨🌪 libra aquarius gemini it's time for you to put your happiness into your own hands air signs. you're constantly…,Only_Loves_MQM,560,0,Thu Nov 12 13:36:07 +0000 2020
25,25,RT libra -u know the right thing to say at the right time -doubting your worth a lot :( -tired all the time zzz -loves late n…,Grace_liisboa,139,0,Thu Nov 12 13:36:04 +0000 2020
26,26,"RT A Libra can convince you that everything is alright, even when it's not.",Donna79370142,101,0,Thu Nov 12 13:36:00 +0000 2020
27,27,RT Sex is more effective to put Libra into sleep than average sleeping pill.,rarediamond_13,127,0,Thu Nov 12 13:35:50 +0000 2020
28,28,RT Libra get addicted &amp; attached to thing easily.,malikachanel,46,0,Thu Nov 12 13:35:46 +0000 2020
29,29,RT Structured jobs stifle Libra &amp; make us feel that lifes dull.,HumanSizedTeddy,32,0,Thu Nov 12 13:35:42 +0000 2020
30,30,Lmfao yikes my husband’s sun sign is Pisces &amp; his moon sign is Libra 😬😂😂 Whenever he “exaggerates the truth” to ot…,MeganDarcyy,0,0,Thu Nov 12 13:35:39 +0000 2020
31,31,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",lorxal,451,0,Thu Nov 12 13:35:31 +0000 2020
32,32,"RT Libra balances between being sexy and a great lover, which makes them number one to satisfy your needs.",MoneyTrainAnti,33,0,Thu Nov 12 13:35:23 +0000 2020
33,33,show me his chart im a libra sun and rising we can make it work 🗿,gleamyungho,0,1,Thu Nov 12 13:35:22 +0000 2020
34,34,"RT If you have heavy Libra in your chart, I'm sorry. Everyone loves to hate you. but you bad.😶",kingkiana_,7,0,Thu Nov 12 13:35:19 +0000 2020
35,35,"RT (aquarius, libra, gemini) you wanted change, but nobody said it would be comfortable. don’t let your exhaustion from wo…",yatokar,536,0,Thu Nov 12 13:35:19 +0000 2020
36,36,The ONLY Sign That’s Not Toxic Is a LIBRA 🤷🏽‍♂️🤣,dmarcushammond_,1,2,Thu Nov 12 13:34:54 +0000 2020
37,37,"RT 💫Libra, Aquarius, Virgo placements. A mistake is only detrimental if you're not learning from it. Go easier on yourself f…",yesimachipmunk,138,0,Thu Nov 12 13:34:42 +0000 2020
38,38,RT I’m such a libra bruh,simclouttx,2,0,Thu Nov 12 13:34:39 +0000 2020
39,39,"LIBRA -like nicki once said, ILOIOOOVVEEREEE LIBRASSSSAASFJF -one of u broke my heart but thats ok ^^ -so indecisi…",sbr33na,0,0,Thu Nov 12 13:34:30 +0000 2020
40,40,"RT ✉️🔮Virgo, Libra, Capricorn, Scorpio -sun, moon, rising, venus- whatever your mind can think of, no matter how big, no mat…",enriquezziarii,160,0,Thu Nov 12 13:34:28 +0000 2020
41,41,"RT Today, the Moon continues its trek through Libra and opposes Mars reactivating Venus oppose Mars. This will trigger rel…",FreezoneIsm,2,0,Thu Nov 12 13:34:27 +0000 2020
42,42,two virgos and a libra 🤰🏽,brwnjjk,0,0,Thu Nov 12 13:34:16 +0000 2020
43,43,I'ma libra baby 7th house baby I'm gonna always always always wanna be in love it's in my makeup but I'v…,sunshinegoldiee,0,0,Thu Nov 12 13:34:14 +0000 2020
44,44,"RT Libra balances between being sexy and a great lover, which makes them number one to satisfy your needs.",Allis_hs,33,0,Thu Nov 12 13:34:12 +0000 2020
45,45,"Moon conjunct Venus at 19 Libra November 12 (US/Canada), November 13 (Australia) The Moon supports Venus in Libra’…",keldreamer,0,6,Thu Nov 12 13:34:09 +0000 2020
46,46,RT watching gays call each other slurs over gaga n ari i love my community ❤️,libra__tits,3,0,Thu Nov 12 13:33:50 +0000 2020
47,47,"RT A Libra can convince you that everything is alright, even when it's not.",Niecyisthename,101,0,Thu Nov 12 13:33:34 +0000 2020
48,48,"Height: 1,70m last time I checked🤷‍♀️ Shoe size: EU 40 Zodiac sign: Libra ♎️ Tattoos: None Piercings: None Favouri…",Ayaneko_sims,0,3,Thu Nov 12 13:33:22 +0000 2020
49,49,"RT Thursday: Moon in Libra, Jupiter conjunct Pluto in Capricorn. If the whole point of civilization is to have civil and mutu…",ElizabethWydv2,14,0,Thu Nov 12 13:33:20 +0000 2020
50,50,"RT What the signs make... Love Taurus, Cancer, Libra War Aries, Gemini, Scorpio Peace Aquarius, Pisces, Sagittarius M…",ro_meo15,199,0,Thu Nov 12 13:33:19 +0000 2020
51,51,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",ahmayahhh,451,0,Thu Nov 12 13:33:17 +0000 2020
52,52,RT Are we ready to have the conversation about Libra Mars sex yet or no...cause it’s still my favorite thus far 😂,sophstaniforthh,67,0,Thu Nov 12 13:32:57 +0000 2020
53,53,"RT If Libra love until it hurts,then there can be no more hurt, only more love.",Frbiddenxfruit,51,0,Thu Nov 12 13:32:56 +0000 2020
54,54,RT if astrology isn't real then why are libra men like that 😐,llonskay,2073,0,Thu Nov 12 13:32:56 +0000 2020
55,55,"RT A Libra can convince you that everything is alright, even when it's not.",dollofhazel13,101,0,Thu Nov 12 13:32:55 +0000 2020
56,56,"You're a cancer then. Libra may be your moon sign, depending on the sign the moon was in on the day of ur birth!!!",vantiluv,0,1,Thu Nov 12 13:32:52 +0000 2020
57,57,this pleases me and my fellow Libra homegirls,aeriauhura,0,0,Thu Nov 12 13:32:50 +0000 2020
58,58,"i'm INFP and a Libra ✊ man,, pick a struggle 🥴 jk HAHSHAH infp peeps ily 🤟 libra best sign :P",naui_singnie,0,0,Thu Nov 12 13:32:44 +0000 2020
59,59,"RT gemini, libra, aquarius ✉️🦋 challenge yourself and step out of your way. i see you went through a separation of some s…",themonalisha_,451,0,Thu Nov 12 13:32:36 +0000 2020
60,60,lmk what your take is on pisces + libra connection,kulowwt,0,0,Thu Nov 12 13:32:30 +0000 2020
