,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT Realest signs you’ll ever meet Geminis Virgo. Pisces Leos Capricorn,TheLastAlbanese,722,0,Thu Nov 12 13:40:11 +0000 2020
1,1,RT Virgo &amp; Pisces conversations,m3lanchol1a,6,0,Thu Nov 12 13:40:05 +0000 2020
2,2,Pisces...,acbisback,0,0,Thu Nov 12 13:39:59 +0000 2020
3,3,This Pisces slander really must stop,Marcus_Sniffles,0,0,Thu Nov 12 13:39:59 +0000 2020
4,4,"RT scorpio, cancer and pisces placements... ✉️🦋 you’re doing a lot of throat, third eye and crown chakra work. if you’re f…",areneeMUA,289,0,Thu Nov 12 13:39:55 +0000 2020
5,5,I never got into astrology until a dated a Pisces man Now I can confidently say Pisces men - 🤮🤮🤮,amarab04,0,0,Thu Nov 12 13:39:51 +0000 2020
6,6,Get you a Pisces 😏,GasTeamJMARK,0,0,Thu Nov 12 13:39:49 +0000 2020
7,7,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",aquariabae,592,0,Thu Nov 12 13:39:47 +0000 2020
8,8,"RT Pisces are molded by their surroundings, they incorporate their experiences &amp; surroundings into themselves.",pebblez2122,137,0,Thu Nov 12 13:39:47 +0000 2020
9,9,RT Pisces fantasize about other lives &amp; how things might be different if they had taken a different path..,aliinaa_99,103,0,Thu Nov 12 13:39:44 +0000 2020
10,10,RT Pisces are extremely loyal &amp; will cut off whoever trys to take it for granted !!!,pebblez2122,814,0,Thu Nov 12 13:39:43 +0000 2020
11,11,RT Now who said Beyoncé didn’t make IVP for plus sizes? They look BEAUTIFUL! 💚💚,Pisces_T82,307,0,Thu Nov 12 13:39:41 +0000 2020
12,12,RT Tell a Pisces NO &amp; watch them turn that in a 3 letter word called YES,pebblez2122,267,0,Thu Nov 12 13:39:38 +0000 2020
13,13,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",LuvnSkittles,592,0,Thu Nov 12 13:39:34 +0000 2020
14,14,see?! that's so pisces of you 😭,illisitt,0,0,Thu Nov 12 13:39:33 +0000 2020
15,15,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",daici444,511,0,Thu Nov 12 13:39:30 +0000 2020
16,16,RT Pisces fantasize about other lives &amp; how things might be different if they had taken a different path..,pebblez2122,103,0,Thu Nov 12 13:39:28 +0000 2020
17,17,"RT (cancer, scorpio, pisces): it does get better from here, you just have to be willing to stop living in the past and to…",mynameisqueu,709,0,Thu Nov 12 13:39:26 +0000 2020
18,18,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",xoxo__luvv,592,0,Thu Nov 12 13:39:21 +0000 2020
19,19,Pisces,CaliDreaminn_,0,0,Thu Nov 12 13:39:13 +0000 2020
20,20,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",Pretty_PxtHead,593,0,Thu Nov 12 13:39:10 +0000 2020
21,21,Pisces,jjokookie,0,0,Thu Nov 12 13:39:00 +0000 2020
22,22,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",cherrygeist,593,0,Thu Nov 12 13:38:55 +0000 2020
23,23,i got: bi i am: bi i got: leo i am: Pisces i got: single i am: singel i got: extrovert i am: extrovert reply…,onlythego1den,0,0,Thu Nov 12 13:38:54 +0000 2020
24,24,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",lissaax0,593,0,Thu Nov 12 13:38:53 +0000 2020
25,25,"Swimming with a Pisces every night ain't really that deep, but he deep inside",HeartBreakSeun,0,0,Thu Nov 12 13:38:51 +0000 2020
26,26,Clearly you must be talking about PISCES study ?,shilpa_jes,0,0,Thu Nov 12 13:38:50 +0000 2020
27,27,As a Pisces I felt this,Aphrodite_La,0,0,Thu Nov 12 13:38:40 +0000 2020
28,28,do yours in qrt !! ☆height: d ko alam ☆shoe size: ^^ ☆zodiac sign: Pisces ☆tattoos: none ☆piercings: 2 ☆favorite c…,linominh0,0,0,Thu Nov 12 13:38:21 +0000 2020
29,29,RT pisces - bicep,luvlyashton,7,0,Thu Nov 12 13:38:20 +0000 2020
30,30,RT Aries: You're not the audience I'm addressing Leo: THIS WILL BE A CLASSIC SOMEDAY LOSERS Virgo: I've got six first person P…,MAHLLC,21,0,Thu Nov 12 13:38:13 +0000 2020
31,31,⚠️warning needle/piercing mention⚠️ Height: 5’10 (doctors keep telling me i’m 5’7) shoe size: 16 in men’s zodiac:…,tapesgirlfriend,0,2,Thu Nov 12 13:38:11 +0000 2020
32,32,Pisces ♓️ eat pussy better than MOST other signs on the block 🐠,andreaisawriter,0,0,Thu Nov 12 13:38:08 +0000 2020
33,33,"Pisces, all on the strength of my grammy.",Dellysammich,0,0,Thu Nov 12 13:37:52 +0000 2020
34,34,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",NCG_XOXO,593,0,Thu Nov 12 13:37:51 +0000 2020
35,35,"RT Folks talk a lot of shit about BET, but this:",Pisces_T82,168,0,Thu Nov 12 13:37:48 +0000 2020
36,36,"RT 🔮✨✨ ✨Sagittarius, pisces, Gemini &amp; Aries energy✨ You’re on your way to a victory! You’ve earned this. You may be s…",stunnavega,161,0,Thu Nov 12 13:37:40 +0000 2020
37,37,i like being pisces :o,leticiallure,0,0,Thu Nov 12 13:37:29 +0000 2020
38,38,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",bolingoooo,593,0,Thu Nov 12 13:37:17 +0000 2020
39,39,does time even exist for a Pisces? I feel like we either spend all our time with you or drift in and out of your life like a dream sequence.,yungmedusa,0,1,Thu Nov 12 13:37:16 +0000 2020
40,40,"RT scorpio, pisces, cancer 🦋✉️ for some reason, i’m feeling a lot of emotion for you guys. but it’s not necessarily sadne…",maddytrapp,593,0,Thu Nov 12 13:37:13 +0000 2020
41,41,Ronan Mili portrays the Pisces Star Sign through an astounding work of Face Art. The intensity of this look has le…,Indiamakeupshow,0,0,Thu Nov 12 13:37:11 +0000 2020
42,42,Mom: Leo Dad: Capricorn ♑️ Me: Pisces ♓️ Brother: Capricorn ♑️ Sister: Cancer ♋️ Brother: Pisces ♓️ Brother: L…,faaaiiith,0,0,Thu Nov 12 13:37:11 +0000 2020
43,43,"RT scorpio, cancer and pisces placements... ✉️🦋 you’re doing a lot of throat, third eye and crown chakra work. if you’re f…",NCG_XOXO,289,0,Thu Nov 12 13:37:11 +0000 2020
44,44,"I don’t give a shit about this zodiac shit, but yes I’m a Pisces just in case if it even means anything…",Hamza_ArtFreak,0,0,Thu Nov 12 13:37:09 +0000 2020
45,45,"9-In a nutshell – Saturn’s movement through Capricorn is- Most challenging for- Capricorn, Aries, Cancer and…",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
46,46,RT Me being a Pisces,SweetDr3amZz,1,0,Thu Nov 12 13:37:00 +0000 2020
47,47,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",lmryu_,511,0,Thu Nov 12 13:36:58 +0000 2020
48,48,i got: 19 i am: 16 i got: Capricorn i am: pisces i got: single i am: single i got: extrovert i am: introvert r…,onlylvrk_,0,0,Thu Nov 12 13:36:40 +0000 2020
