,text,user,retweets,favorites,datetime
0,RT @SavinRichuals: My Sagittarius moon feels this,sagistarbb,1,0,Thu Nov 12 13:39:25 +0000 2020
1,"RT @PardonMyComely: Once you get a Sagittarius started, just forget it...",_Ayokoo,390,0,Thu Nov 12 13:39:17 +0000 2020
2,"RT @DCnumerology: Zodiac signs that hate following the rules. 

-Aquarius 
-Leo
-Sagittarius 
-Gemini 
-Scorpio",FlyyestCoopEva,195,0,Thu Nov 12 13:39:01 +0000 2020
3,"i got: 14
i am: 14

i got: capricorn
i am: sagittarius

i got: single
i am: single

i got: extrovert
i am: ambivert… https://t.co/DQQ0VMNGkV",hi_carinaa,0,1,Thu Nov 12 13:38:50 +0000 2020
4,"RT @milkstrology: what pissing off an aries, sagittarius, and gemini is like: https://t.co/dGslRx2JMF",blowupdoll2o9,2324,0,Thu Nov 12 13:38:40 +0000 2020
5,"RT @Rhinestonediva: Vintage #Joseff of Hollywood #Zodiac Series #Sagittarius Russian Gold #Earrings | Etsy 
https://t.co/aQ2LhWjDZm
(Tweete…",DottieKingston,2,0,Thu Nov 12 13:38:39 +0000 2020
6,RT @NeverNiceNick: Y’all feel that Sagittarius season approaching?,ChocolateBeeute,206,0,Thu Nov 12 13:38:39 +0000 2020
7,@amaya_nazario ur my fave sagittarius baby ilysm,ellliee22,0,0,Thu Nov 12 13:38:36 +0000 2020
8,"RT @milkstrology: what pissing off an aries, sagittarius, and gemini is like: https://t.co/dGslRx2JMF",EatThisCunt,2324,0,Thu Nov 12 13:38:25 +0000 2020
9,"RT @libracapbird: for leo, sagittarius, aries ✨

when people doubt our skills they are often projecting their own insecurities, don’t let t…",chanelsosa_,19,0,Thu Nov 12 13:38:22 +0000 2020
10,"RT @ENBYH0SEOK: sagittarius
-vv moody 
-loves spending time with ur friends &lt;3
-loud with friends n quiet with ppl u dont rlly know
-u wann…",ohrlyyy_,93,0,Thu Nov 12 13:38:20 +0000 2020
11,RT @reign_winter: sagittarius season is that you?🥳,Xx_DOMONIQUE,209,0,Thu Nov 12 13:38:15 +0000 2020
12,"RT @obsidianshakti: (aries, leo, sagittarius): it’s time for you to decide what it is that you want and to go for it. your dreams aren’t un…",DemiRoseMawby,1035,0,Thu Nov 12 13:38:10 +0000 2020
13,I open my TL every morning to Sagittarius slander.... 😂 this gotta stop,kvllaLay,0,0,Thu Nov 12 13:37:58 +0000 2020
14,RT @callherkp: gemini &amp; sagittarius “not my fault u fell for me”.,rawjit1804,1,0,Thu Nov 12 13:37:52 +0000 2020
15,It Was Sagittarius But 🤷🏼‍♀️ https://t.co/Oous3db1XH,Princessyella_,0,0,Thu Nov 12 13:37:48 +0000 2020
16,"RT @NolaAngelMedium: 🔮✨✨ 

✨Sagittarius, pisces, Gemini &amp; Aries energy✨ 

You’re on your way to a victory! You’ve earned this. You may be s…",stunnavega,161,0,Thu Nov 12 13:37:40 +0000 2020
17,@brittanyterry_ Also Sagittarius,StevStevensonSr,0,0,Thu Nov 12 13:37:04 +0000 2020
18,"RT @DCnumerology: Zodiac signs that hate following the rules. 

-Aquarius 
-Leo
-Sagittarius 
-Gemini 
-Scorpio",guapma4000,195,0,Thu Nov 12 13:36:54 +0000 2020
19,"i got: bi
i am: bi

i got: leo
i am: sagittarius (leos are trash sometimes)

i got: single
i am: single

i got: ext… https://t.co/iGMrxia4yw",obvioussex,0,3,Thu Nov 12 13:36:44 +0000 2020
20,"RT @MEWfans: Date of Birth / Zodiac Sign: 11/28/1984, Sagittarius
 #MEWfact",ramonma1707,0,0,Thu Nov 12 13:36:27 +0000 2020
21,"RT @obsidianshakti: (aries, leo, sagittarius): it’s time for you to decide what it is that you want and to go for it. your dreams aren’t un…",itstamearaa,1035,0,Thu Nov 12 13:36:25 +0000 2020
22,"RT @scorpio_md: I want you to want me: Leo, Gemini

I need you to need me: cancer, Taurus

I’d love you to love me:  Libra, Aries

I’m begg…",azulnostalgia,55,0,Thu Nov 12 13:36:16 +0000 2020
23,"i got: bi or pan
i am: bi

i got: scorpio
i am: sagittarius, gemini moon, aries rising 

i got: taken?
i am: taken… https://t.co/E4SC9A5vss",FLICKERSG0LDEN,0,1,Thu Nov 12 13:36:13 +0000 2020
24,"RT @Rhinestonediva: Vintage #Joseff of Hollywood #Zodiac Series #Sagittarius Russian Gold #Earrings | Etsy 
https://t.co/aQ2LhWjDZm
(Tweete…",thriftyfifty6,2,0,Thu Nov 12 13:36:12 +0000 2020
25,"RT @reyla_reads: 🍸Cancer, Taurus, Sagittarius, Gemini, and Scorpio 🍸 (sun, moon, rising, and venus) 

Offers are coming towards you here an…",ZaAlgedonicOne_,510,0,Thu Nov 12 13:36:00 +0000 2020
26,"RT @milkstrology: what pissing off an aries, sagittarius, and gemini is like: https://t.co/dGslRx2JMF",margotoranges,2324,0,Thu Nov 12 13:35:56 +0000 2020
27,RT @kyfrme: Sagittarius. whole sign can go straight to hell.,kassidyann__,5,0,Thu Nov 12 13:35:50 +0000 2020
28,"RT @SagittariusTerm: #Sagittarius rule the Ninth house which relates to travel, foreigners, education, meaning, &amp; a higher power ? Team#Sag…",1_parisxb,40,0,Thu Nov 12 13:35:38 +0000 2020
29,"RT @lunatically: midweek message for sagittarius, pisces, gemini, &amp; virgo ☁️

you're seeing what you were missing before, now you can do wh…",Cassidy_MM_,55,0,Thu Nov 12 13:35:25 +0000 2020
30,RT @NeverNiceNick: Y’all feel that Sagittarius season approaching?,Squilliamfancyj,206,0,Thu Nov 12 13:35:23 +0000 2020
31,"Vintage #Joseff of Hollywood #Zodiac Series #Sagittarius Russian Gold #Earrings | Etsy 
https://t.co/aQ2LhWjDZm
(Tw… https://t.co/6NHMfwrjLd",Rhinestonediva,2,0,Thu Nov 12 13:35:04 +0000 2020
32,"RT @obsidianshakti: (aries, leo, sagittarius): it’s time for you to decide what it is that you want and to go for it. your dreams aren’t un…",ThatsYass_,1035,0,Thu Nov 12 13:35:01 +0000 2020
33,"RT @WSJMag: .@bts_bighit, our 2020 Music Innovator, has reached the top of the U.S. charts, united millions of fans around the world into a…",Sagittarius_ix3,57044,0,Thu Nov 12 13:35:01 +0000 2020
34,"RT @summerchulo: I cannot be lied to, I’ve dated a Sagittarius",ManuellllMadrid,8,0,Thu Nov 12 13:35:00 +0000 2020
35,@DollyD2271 Sagittarius... damn....,Ray93577127,0,0,Thu Nov 12 13:34:59 +0000 2020
36,"RT @milkstrology: what pissing off an aries, sagittarius, and gemini is like: https://t.co/dGslRx2JMF",_kayybeth,2324,0,Thu Nov 12 13:34:55 +0000 2020
37,"RT @themoona__: 🌋 aries, leo, sagittarius 🌋

new is always good— it’s full of possibilities and magic— the unknown is truly beautiful. allo…",foxiegolouder,27,0,Thu Nov 12 13:34:44 +0000 2020
38,RT @SagittariusTerm: #Sagittarius are usually humble.,Officialmstmari,375,0,Thu Nov 12 13:34:29 +0000 2020
39,"RT @NolaAngelMedium: 🔮✨✨ 

✨Sagittarius, pisces, Gemini &amp; Aries energy✨ 

You’re on your way to a victory! You’ve earned this. You may be s…",iii_dam,161,0,Thu Nov 12 13:34:28 +0000 2020
40,"RT @PardonMyComely: Once you get a Sagittarius started, just forget it...",des__w,390,0,Thu Nov 12 13:34:24 +0000 2020
41,RT @NeverNiceNick: Y’all feel that Sagittarius season approaching?,jnellsz,206,0,Thu Nov 12 13:34:23 +0000 2020
42,"do yours in qrt !!
☆height: 5'1
☆shoe size: 37/38
☆zodiac sign: Sagittarius 
☆tattoos: wassss
☆piercings:wasss
☆fav… https://t.co/QEQ1WoApyu",amistrice,0,1,Thu Nov 12 13:34:01 +0000 2020
43,"RT @creatrip: Remember the first episode of #Startup? 👩‍💼

The place where #Suzy &amp; #KangHanNa meet after 15 years is none other than #Seoul…",Sagittarius_ix3,7,0,Thu Nov 12 13:33:38 +0000 2020
44,RT @NeverNiceNick: Y’all feel that Sagittarius season approaching?,witchified,206,0,Thu Nov 12 13:33:35 +0000 2020
45,RT @NeverNiceNick: Y’all feel that Sagittarius season approaching?,Barbwirexo,206,0,Thu Nov 12 13:33:33 +0000 2020
46,"[stolen cuz i miss interacting w yall 🥺] 
unflop me &lt;3

How similar are we?😎

10% - army, moa, engene, once, stay
1… https://t.co/CtIgRNYKnz",jiminissexc,0,1,Thu Nov 12 13:33:30 +0000 2020
47,"do yours in qrt !!
☆height: 5'1
☆shoe size: 6½
☆zodiac sign: sagittarius ♐
☆tattoos: none 
☆piercings: ears but wil… https://t.co/0NNNrNtSuH",W00DZSEOK96,0,0,Thu Nov 12 13:33:29 +0000 2020
48,"RT @DCnumerology: Zodiac signs that are the most sexual. 

-Scorpio
-Gemini 
-Sagittarius 
-Leo 
-Pisces",mildred298,390,0,Thu Nov 12 13:33:22 +0000 2020
49,"#Sagittarius: In a world full of people like yourself, who cares if you want to behave like an orangutan? Life... https://t.co/v0I87zpsll",Laughsend,0,0,Thu Nov 12 13:33:22 +0000 2020
50,"RT @OneLuckyGirl_28: What the signs make...

Love
Taurus, Cancer, Libra

War
Aries, Gemini, Scorpio

Peace
Aquarius, Pisces, Sagittarius

M…",ro_meo15,199,0,Thu Nov 12 13:33:19 +0000 2020
51,RT @sagistarbb: Sagittarius risings are like “I need to kill my memories before they kill me”,daniellexfus,312,0,Thu Nov 12 13:33:17 +0000 2020
52,RT @NeverNiceNick: Y’all feel that Sagittarius season approaching?,TeyanaRandall,206,0,Thu Nov 12 13:33:08 +0000 2020
53,it's his fault for thinking he's a scorpio when clearly he's a sagittarius,orojiratsun,0,1,Thu Nov 12 13:33:04 +0000 2020
54,"RT @DCnumerology: Zodiac signs that hate following the rules. 

-Aquarius 
-Leo
-Sagittarius 
-Gemini 
-Scorpio",jasseb2,195,0,Thu Nov 12 13:33:02 +0000 2020
55,If astrology isn’t real then how come sagittarius signs are smart?,sshesanangel,0,1,Thu Nov 12 13:32:57 +0000 2020
56,"RT @BenevolentCj: Shoutout to all fire Goddesses-
Aries, Leo, and Sagittarius🔥

The content you guys put out, the drive, the spice. You’re…",SissyBi57265909,2,0,Thu Nov 12 13:32:56 +0000 2020
57,RT @TeamSagittarius: #Sagittarius are the friends you want to have because they're the most loyal and supportive people. They don't betray…,BjornSay,1367,0,Thu Nov 12 13:32:44 +0000 2020
58,"sagittarius venus , my love language is physical touch , i get turned off if u don’t want better for yourself https://t.co/pmef6zNBOZ",tiamariatay,0,0,Thu Nov 12 13:32:38 +0000 2020
59,"RT @RoboAstrologer: Outlook for Sagittarius: With the Leonids in Cancer, this is a auspicious moment to spiral into the sun. Avoid Aries or…",Monish_P,1,0,Thu Nov 12 13:32:37 +0000 2020
60,RT @____Kollin: Sagittarius season is around the corner. Y’all bitches ready? https://t.co/jNGD0tm6zG,Prynce_Alexis,2,0,Thu Nov 12 13:32:36 +0000 2020
61,RT @SagittariusTerm: Wont take shit from anyone: #Sagittarius,1_parisxb,205,0,Thu Nov 12 13:32:28 +0000 2020
62,RT @rrezehene: Sagittarius are the most unproblematic and underrated sign,odirdgz,2,0,Thu Nov 12 13:32:20 +0000 2020
63,RT @NeverNiceNick: Y’all feel that Sagittarius season approaching?,ssppirit,206,0,Thu Nov 12 13:32:08 +0000 2020
64,RT @sagistarbb: Sagittarius risings are like “I need to kill my memories before they kill me”,JordanLucky_,312,0,Thu Nov 12 13:32:02 +0000 2020
65,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/gFQcGHXCwp",_ashleyynoel_,0,0,Thu Nov 12 13:31:56 +0000 2020
66,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/Rl8j16i4zW",TBeats_,0,0,Thu Nov 12 13:31:56 +0000 2020
67,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/HuONcv5uo8",mzTiff4ny,0,0,Thu Nov 12 13:31:56 +0000 2020
68,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/QKF4ix9udW",rachel_webberr,0,0,Thu Nov 12 13:31:56 +0000 2020
69,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/nRiWgN87HN",Jack_da_Ripper,0,0,Thu Nov 12 13:31:55 +0000 2020
70,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/ZrwfeNEz4C",SheTooBougie_,0,0,Thu Nov 12 13:31:55 +0000 2020
71,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/hgYSctl4Bf",CreativeMindzco,0,0,Thu Nov 12 13:31:55 +0000 2020
72,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/GCfHel5LLw",SmokinHott_MILF,0,0,Thu Nov 12 13:31:55 +0000 2020
73,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/UrFTowRyfc",tycosby1217,0,0,Thu Nov 12 13:31:55 +0000 2020
74,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/LGKY82op2p",Ayeee_RED,0,0,Thu Nov 12 13:31:55 +0000 2020
75,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/MhfHZhz5U3",BigMeechSwag,0,0,Thu Nov 12 13:31:55 +0000 2020
76,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/0MVnIGLcdH",BecMcCormick,0,0,Thu Nov 12 13:31:54 +0000 2020
77,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/tiF1m4a64Y",SunshineMamaL,0,0,Thu Nov 12 13:31:54 +0000 2020
78,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/hvOeZGC4Z1",brandonholt4,0,0,Thu Nov 12 13:31:54 +0000 2020
79,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/IQ8kzz5c3X",A11J_,0,0,Thu Nov 12 13:31:54 +0000 2020
80,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/Snz35posxt",_NeishaDionne_,0,0,Thu Nov 12 13:31:54 +0000 2020
81,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/yIvikuftnC",_samyahnke,0,0,Thu Nov 12 13:31:54 +0000 2020
82,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/zRjokr16LF",gingerdoll007,0,0,Thu Nov 12 13:31:54 +0000 2020
83,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/7K6lQMY5F8",BrianaSandovalP,0,0,Thu Nov 12 13:31:53 +0000 2020
84,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/tQyL517s5I",80sBabyTai,0,0,Thu Nov 12 13:31:53 +0000 2020
85,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/Xo8Nb4L0FF",_Zeitu,0,0,Thu Nov 12 13:31:53 +0000 2020
86,"Your plans, especially entertainment plans, might be interrupt... More for Sagittarius https://t.co/gpE1LSqHG1",ToniJost,0,0,Thu Nov 12 13:31:53 +0000 2020
