,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,Um...correct (unapologetic Taurus 😆),JohnaEnders,0,0,Thu Nov 12 13:37:56 +0000 2020
1,1,RT taurus placements:,goddessnt_,55,0,Thu Nov 12 13:37:54 +0000 2020
2,2,RT Being a Taurus it’s typical that people will ask me to be honest. When I am in an unrestricted way it damages the ego’s…,KgTrill,119,0,Thu Nov 12 13:37:41 +0000 2020
3,3,RT I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,vocalelixirbkp,1505,0,Thu Nov 12 13:37:40 +0000 2020
4,4,i got: bisexual i am: i got: taurus i am: i got: single i am: i got: introvert i am: reply wit…,ALEXP4TTERSON,0,0,Thu Nov 12 13:37:39 +0000 2020
5,5,RT Zodiac signs that will do almost anything to get what they want. -Taurus -Capricorn -Scorpio -Aries -Virgo,vanxxxssa,196,0,Thu Nov 12 13:37:35 +0000 2020
6,6,RT I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,BreesWorldXOXO,1505,0,Thu Nov 12 13:37:26 +0000 2020
7,7,RT ☁️pisces. aquarius. virgo. taurus. sun moon rising venus a revelation of some sort. it is small but it is enough to compl…,simply_shamai,62,0,Thu Nov 12 13:37:13 +0000 2020
8,8,"9-In a nutshell – Saturn’s movement through Capricorn is- Most challenging for- Capricorn, Aries, Cancer and…",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
9,9,this is the cutest thing 😭 my taurus king,bbybluejeon,0,0,Thu Nov 12 13:37:00 +0000 2020
10,10,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",lmryu_,509,0,Thu Nov 12 13:36:58 +0000 2020
11,11,RT A Taurus needs to drink to show emotions.,Crucifuxxx,469,0,Thu Nov 12 13:36:56 +0000 2020
12,12,"RT Cap, Taurus, Virgo...on 11/11 I know you have work/school and other things but you also need to prioritize yourself more.…",DudeMilky,114,0,Thu Nov 12 13:36:53 +0000 2020
13,13,fantastic four,dikoosongin,0,0,Thu Nov 12 13:36:52 +0000 2020
14,14,do yours in qrt !! ☆height: 5’9 ☆shoe size: 8 ☆zodiac sign: taurus ☆tattoos: none ☆piercings: none ☆favorite color:…,B4NGTINYB0YS,0,0,Thu Nov 12 13:36:46 +0000 2020
15,15,"RT 💫Taurus, Libra, Scorpio placements. Love, love, love. You have so much of it but, nowhere to place it. Hold it for now, s…",kys_kriss,327,0,Thu Nov 12 13:36:39 +0000 2020
16,16,"RT Taurus, Leo, Scorpio... You may be seeing some happier times soon. Don’t be ignorant to it. Something you really want is wel…",shyanne_katia,753,0,Thu Nov 12 13:36:17 +0000 2020
17,17,RT I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,Sophia__Casella,1505,0,Thu Nov 12 13:36:17 +0000 2020
18,18,"RT I want you to want me: Leo, Gemini I need you to need me: cancer, Taurus I’d love you to love me: Libra, Aries I’m begg…",azulnostalgia,55,0,Thu Nov 12 13:36:16 +0000 2020
19,19,Chet up,Taurus_Slay,0,0,Thu Nov 12 13:36:11 +0000 2020
20,20,my taurus ass🤣,jaibaybee_,0,0,Thu Nov 12 13:36:04 +0000 2020
21,21,Nigga got TWO baby mommas and he’s a male Taurus. GIRL. 😩,angstfeen,0,0,Thu Nov 12 13:36:04 +0000 2020
22,22,"RT 🍸Cancer, Taurus, Sagittarius, Gemini, and Scorpio 🍸 (sun, moon, rising, and venus) Offers are coming towards you here an…",ZaAlgedonicOne_,510,0,Thu Nov 12 13:36:00 +0000 2020
23,23,RT I’m so ready for mars to be direct and move out of aries into taurus. all this violence and killings is sickening,lmryu_,166,0,Thu Nov 12 13:35:55 +0000 2020
24,24,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",killclare,509,0,Thu Nov 12 13:35:51 +0000 2020
25,25,God Werner ni 😂,PlayBoy4rxxxy,0,0,Thu Nov 12 13:35:47 +0000 2020
26,26,"Neptune in 2 Taurus, Seventh House",Astrobot15,0,0,Thu Nov 12 13:35:41 +0000 2020
27,27,"im still boutta get that ps5 tho, i got my blacc af1s taurus g2c and ski mask😈😈im boutta go to work too",mookajams,0,1,Thu Nov 12 13:35:31 +0000 2020
28,28,"RT Taurus, Leo, Scorpio... You may be seeing some happier times soon. Don’t be ignorant to it. Something you really want is wel…",Memexoxo__,753,0,Thu Nov 12 13:35:10 +0000 2020
29,29,RT A Taurus needs to drink to show emotions.,_squareee,469,0,Thu Nov 12 13:35:08 +0000 2020
30,30,i got: bi i am: i got: taurus i am: i got: single i am: i got: introvert i am: reply with…,CaIeb5S0S,0,1,Thu Nov 12 13:35:07 +0000 2020
31,31,RT I’m a Taurus if I’m in a relationship no one will know and sometimes not even me.,MaidenKissess,305,0,Thu Nov 12 13:34:59 +0000 2020
32,32,RT I’m a Taurus if I’m in a relationship no one will know and sometimes not even me.,oh_khkolaaa,305,0,Thu Nov 12 13:34:58 +0000 2020
33,33,RT taurus placements:,azhg1_,55,0,Thu Nov 12 13:34:43 +0000 2020
34,34,RT taurus placements:,chinaxmonet,55,0,Thu Nov 12 13:34:31 +0000 2020
35,35,"Signs: Taurus, Scorpio, Aquarius, Gemini, Animals: Dogs (loyalty, unconditional love), Swans (union, balance)",MelMarieMedium,0,0,Thu Nov 12 13:34:29 +0000 2020
36,36,RT I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,MDollaDolla,1505,0,Thu Nov 12 13:34:28 +0000 2020
37,37,RT I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,shyanne_katia,1505,0,Thu Nov 12 13:34:22 +0000 2020
38,38,RT I love Taurus energy lmao it’s very “I said what I said and you’re not gonna beat my ass about it.”,_Dainine,1505,0,Thu Nov 12 13:34:21 +0000 2020
39,39,RT taurus placements:,FuCkUpAiGe,55,0,Thu Nov 12 13:34:19 +0000 2020
40,40,taurus where,stillwithboo,0,0,Thu Nov 12 13:34:18 +0000 2020
41,41,RT This has to be a Taurus thing cause SAME,AshleiisHere_,4,0,Thu Nov 12 13:34:16 +0000 2020
42,42,Most definitely Virgo and Taurus‼️,Dayybandzz,0,0,Thu Nov 12 13:34:14 +0000 2020
43,43,RT taurus placements:,shirminageneva,55,0,Thu Nov 12 13:34:11 +0000 2020
44,44,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",abijoy16,509,0,Thu Nov 12 13:34:11 +0000 2020
45,45,i got: bisexual i am: yes i got: taurus i am: soropio i got: single i am: jo i got: introvert i am: yes reply…,INFINITYRUNAWAY,0,0,Thu Nov 12 13:34:10 +0000 2020
46,46,RT Vintage shopping anyone? Taurus has an eye for valuables.,MermaidxPow,3,0,Thu Nov 12 13:33:58 +0000 2020
47,47,God when🥺,Taurus_Slay,0,0,Thu Nov 12 13:33:20 +0000 2020
48,48,"RT What the signs make... Love Taurus, Cancer, Libra War Aries, Gemini, Scorpio Peace Aquarius, Pisces, Sagittarius M…",ro_meo15,199,0,Thu Nov 12 13:33:19 +0000 2020
49,49,RT Zodiac signs that will do almost anything to get what they want. -Taurus -Capricorn -Scorpio -Aries -Virgo,Tianna_15,196,0,Thu Nov 12 13:33:17 +0000 2020
50,50,RT Zodiac signs that will do almost anything to get what they want. -Taurus -Capricorn -Scorpio -Aries -Virgo,UsmanAziz10,196,0,Thu Nov 12 13:33:05 +0000 2020
51,51,An April Taurus will pick a decent food spot otherwise everything else is questionable lol,Keech2x,0,0,Thu Nov 12 13:32:46 +0000 2020
52,52,the only taurus ive ever loved🥺,urcinnamongrl,0,1,Thu Nov 12 13:32:45 +0000 2020
53,53,i got: bisexual i am: i got: taurus i am: i got: single i am: i got: introvert i am: repl…,CaIeb5S0S,0,0,Thu Nov 12 13:32:43 +0000 2020
54,54,Taurus ♉️- “nobody can handle my my MY energy”😭😩,Maybear345,0,0,Thu Nov 12 13:32:40 +0000 2020
55,55,RT I’m so ready for mars to be direct and move out of aries into taurus. all this violence and killings is sickening,its_slimx3,166,0,Thu Nov 12 13:32:34 +0000 2020
56,56,"🍃 CAPRICORN, TAURUS, VIRGO (Sun, Moon, or Rising). Things are progressing at a slow pace and you’re gonna be notic…",solariustarot,0,3,Thu Nov 12 13:32:23 +0000 2020
57,57,RT taurus: you're feeling very disoriented in terms of your love life because you have so many options that you feel aren't…,charzarr_,3,0,Thu Nov 12 13:31:57 +0000 2020
58,58,"Reckless or distracted behavior is more likely today so, espec... More for Taurus",SeaMarie420,0,0,Thu Nov 12 13:31:57 +0000 2020
59,59,"Reckless or distracted behavior is more likely today so, espec... More for Taurus",dparzy,0,0,Thu Nov 12 13:31:57 +0000 2020
60,60,"Reckless or distracted behavior is more likely today so, espec... More for Taurus",Barbarita_79,0,0,Thu Nov 12 13:31:56 +0000 2020
61,61,"Reckless or distracted behavior is more likely today so, espec... More for Taurus",Meeeeeeeeee__,0,0,Thu Nov 12 13:31:56 +0000 2020
