,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,Im dating a Virgo he’s the nicest man I’ve ever dated and most emotionally stable,KoalaBeana,0,0,Thu Nov 12 13:38:56 +0000 2020
1,1,"RT 🍃 CAPRICORN, TAURUS, VIRGO (Sun, Moon, or Rising). Things are progressing at a slow pace and you’re gonna be noticing t…",JustOnce1111,1,0,Thu Nov 12 13:38:55 +0000 2020
2,2,RT If a Virgo thinks you're mad at them for a dumb reason they will let you stay mad.,BadxHabit_,355,0,Thu Nov 12 13:38:47 +0000 2020
3,3,RT whewwww. every Virgo needed to hear this.,Lashaeeee____,1,0,Thu Nov 12 13:38:41 +0000 2020
4,4,from now on im not a virgo i am a LEO /j,bicephoon,0,0,Thu Nov 12 13:38:40 +0000 2020
5,5,💗Virgo moon,Ang3lAtH3art,0,0,Thu Nov 12 13:38:38 +0000 2020
6,6,Yikes 😱. clean up on aisle 2,pgUSA_virgo,0,0,Thu Nov 12 13:38:24 +0000 2020
7,7,Virgo men should be 1,DoThe_Creep,0,0,Thu Nov 12 13:38:21 +0000 2020
8,8,"RT Dating a Virgo, Scorpio, Capricorn or Aquarius like:",GonegirlZa,3397,0,Thu Nov 12 13:38:21 +0000 2020
9,9,RT Aries: You're not the audience I'm addressing Leo: THIS WILL BE A CLASSIC SOMEDAY LOSERS Virgo: I've got six first person P…,MAHLLC,21,0,Thu Nov 12 13:38:13 +0000 2020
10,10,i am born on like the last day to be considered a virgo if i was born the day after i was i would be a libra so 🤔🤔🤔,j9nki,0,0,Thu Nov 12 13:37:49 +0000 2020
11,11,RT ✨🔮 ✨ Leo &amp; Virgo energies present ✨ Healing energy is surrounding you heavy! This is a time of restoration for you…,TaayyK_,100,0,Thu Nov 12 13:37:45 +0000 2020
12,12,RT Zodiac signs that will do almost anything to get what they want. -Taurus -Capricorn -Scorpio -Aries -Virgo,vanxxxssa,196,0,Thu Nov 12 13:37:35 +0000 2020
13,13,RT If a Virgo thinks you're mad at them for a dumb reason they will let you stay mad.,resaxoxo__,355,0,Thu Nov 12 13:37:29 +0000 2020
14,14,"Be safe and well, friend.",PSMHopkins,0,0,Thu Nov 12 13:37:17 +0000 2020
15,15,RT ✨🔮 ✨ Leo &amp; Virgo energies present ✨ Healing energy is surrounding you heavy! This is a time of restoration for you…,maaadscitty,100,0,Thu Nov 12 13:37:16 +0000 2020
16,16,RT ☁️pisces. aquarius. virgo. taurus. sun moon rising venus a revelation of some sort. it is small but it is enough to compl…,simply_shamai,62,0,Thu Nov 12 13:37:13 +0000 2020
17,17,RT Good morning to Virgo and Capricorn placements only. Y’all are underrated.,heyace_,444,0,Thu Nov 12 13:37:12 +0000 2020
18,18,"9-In a nutshell – Saturn’s movement through Capricorn is- Most challenging for- Capricorn, Aries, Cancer and…",shaleen_sharma,0,0,Thu Nov 12 13:37:08 +0000 2020
19,19,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",lmryu_,509,0,Thu Nov 12 13:36:58 +0000 2020
20,20,i get Aquarius but Virgo??? they're so sweet 🥺,NELLMARIA_,0,0,Thu Nov 12 13:36:56 +0000 2020
21,21,i got: bi i am: straight i got: scorpio i am: virgo i got: single i am: single 😞 i got: introvert i am: extrov…,Squidy5SOS,0,0,Thu Nov 12 13:36:53 +0000 2020
22,22,"RT Cap, Taurus, Virgo...on 11/11 I know you have work/school and other things but you also need to prioritize yourself more.…",DudeMilky,114,0,Thu Nov 12 13:36:53 +0000 2020
23,23,im a virgo idk if its a water sign or not tho,kaiIeaves,0,0,Thu Nov 12 13:36:34 +0000 2020
24,24,RT Virgo If your new Virgo women seems standoffish she is just analysing you some more.,Nader_Tadrous,38,0,Thu Nov 12 13:36:24 +0000 2020
25,25,So Virgo women 🤔,Jonny_Dest,0,0,Thu Nov 12 13:36:15 +0000 2020
26,26,I'll lock down with you 🙏🏻😛😍,pgUSA_virgo,0,0,Thu Nov 12 13:35:58 +0000 2020
27,27,RT The Virgo is clear-thinking and almost never misses the mark.,dvppercvliboy,67,0,Thu Nov 12 13:35:57 +0000 2020
28,28,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",killclare,509,0,Thu Nov 12 13:35:51 +0000 2020
29,29,RT If a Virgo thinks you're mad at them for a dumb reason they will let you stay mad.,CeeAIRah,355,0,Thu Nov 12 13:35:47 +0000 2020
30,30,"RT ✉️🔮Virgo, Aquarius, Leo, Cancer -sun, moon, rising, venus- believing in your dreams &amp; working towards them doesn’t have t…",Arikiaraa,110,0,Thu Nov 12 13:35:31 +0000 2020
31,31,"RT midweek message for sagittarius, pisces, gemini, &amp; virgo ☁️ you're seeing what you were missing before, now you can do wh…",Cassidy_MM_,55,0,Thu Nov 12 13:35:25 +0000 2020
32,32,do yours in qrt !! ☆height: 5'5 ☆shoe size: 9 ☆zodiac sign: virgo ☆tattoos: none ☆piercings: 2 ☆favorite color: bla…,C4TB0YLINO,0,1,Thu Nov 12 13:35:22 +0000 2020
33,33,RT virgo moon — stop ✨overthinking✨ — why do we always love people too much just to get hurt because people end up getting bored…,softestmi,272,0,Thu Nov 12 13:34:58 +0000 2020
34,34,my virgo rising said It Loves U,HAENNNNN,0,2,Thu Nov 12 13:34:55 +0000 2020
35,35,RT Realest signs you’ll ever meet Geminis Virgo. Pisces Leos Capricorn,yakray2,721,0,Thu Nov 12 13:34:46 +0000 2020
36,36,"RT 💫Libra, Aquarius, Virgo placements. A mistake is only detrimental if you're not learning from it. Go easier on yourself f…",yesimachipmunk,138,0,Thu Nov 12 13:34:42 +0000 2020
37,37,king shit 🗿🗿,KitetsuIshio,0,1,Thu Nov 12 13:34:35 +0000 2020
38,38,"RT ✉️🔮Virgo, Libra, Capricorn, Scorpio -sun, moon, rising, venus- whatever your mind can think of, no matter how big, no mat…",enriquezziarii,160,0,Thu Nov 12 13:34:28 +0000 2020
39,39,I chose to date that person🤭,Virgo_Kabza,0,0,Thu Nov 12 13:34:28 +0000 2020
40,40,"RT Lord just deposit $250,000 into my account please",_VIRGO___,5536,0,Thu Nov 12 13:34:16 +0000 2020
41,41,Most definitely Virgo and Taurus‼️,Dayybandzz,0,0,Thu Nov 12 13:34:14 +0000 2020
42,42,I understand. I relate. It must be a Virgo thing 😎,Stoic_Astrology,0,0,Thu Nov 12 13:34:12 +0000 2020
43,43,"RT Taurus,Leo,Virgo,Pisces,Cancer and Aquarius dream bathroom",abijoy16,509,0,Thu Nov 12 13:34:11 +0000 2020
44,44,"Lies on Pisces, Scorpio and Virgo 🤣",InfinityKenn19,0,0,Thu Nov 12 13:34:09 +0000 2020
45,45,i got: straight i am: i got: virgo i am: i got: in a relationship i am: i got: ambivert i am: re…,povismine,0,0,Thu Nov 12 13:33:46 +0000 2020
46,46,I can't see anything,Virgo_Kabza,0,1,Thu Nov 12 13:33:44 +0000 2020
47,47,RT Virgo would prefer to keep to themselves than make unnecessary small talk or be in an awkward situation.,Only1Nayyy_,89,0,Thu Nov 12 13:33:27 +0000 2020
48,48,,KADorgan,0,1,Thu Nov 12 13:33:20 +0000 2020
49,49,*nods in Virgo*,TA_Martin,0,1,Thu Nov 12 13:33:19 +0000 2020
50,50,"RT What the signs make... Love Taurus, Cancer, Libra War Aries, Gemini, Scorpio Peace Aquarius, Pisces, Sagittarius M…",ro_meo15,199,0,Thu Nov 12 13:33:19 +0000 2020
51,51,RT Zodiac signs that will do almost anything to get what they want. -Taurus -Capricorn -Scorpio -Aries -Virgo,Tianna_15,196,0,Thu Nov 12 13:33:17 +0000 2020
52,52,RT Zodiac signs that will do almost anything to get what they want. -Taurus -Capricorn -Scorpio -Aries -Virgo,UsmanAziz10,196,0,Thu Nov 12 13:33:05 +0000 2020
53,53,RT Good morning to Virgo and Capricorn placements only. Y’all are underrated.,kaytcorr,444,0,Thu Nov 12 13:33:01 +0000 2020
54,54,I’m a Virgo and,KwonsOnFire,0,0,Thu Nov 12 13:32:59 +0000 2020
55,55,RT If a Virgo thinks you're mad at them for a dumb reason they will let you stay mad.,yo_girls_fav_DJ,355,0,Thu Nov 12 13:32:53 +0000 2020
56,56,RT A Virgo prefers the truth any day. We may get mad at the time but we always respect honesty.,jarla_b,269,0,Thu Nov 12 13:32:53 +0000 2020
57,57,RT Hey sis. I just wanna take the time to remind you that you’re SINGLE. You got caught up with liking him so much you forgot he…,_VIRGO___,258,0,Thu Nov 12 13:32:49 +0000 2020
58,58,RT Must be a Virgo thing,getmeabagel,0,0,Thu Nov 12 13:32:34 +0000 2020
59,59,RT Zodiac Signs that are the most emotional. -Cancer -Pisces -Libra -Virgo -Gemini,NieceyyyNicole,236,0,Thu Nov 12 13:32:29 +0000 2020
60,60,"🍃 CAPRICORN, TAURUS, VIRGO (Sun, Moon, or Rising). Things are progressing at a slow pace and you’re gonna be notic…",solariustarot,1,4,Thu Nov 12 13:32:23 +0000 2020
