,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,"No, Jus happened to me. Not cancer. But chronic gastritis. It’s painful. You can’t drink, smoke (blunts), c…",elnonmexxicano,0,0,Sat Nov 14 00:58:01 +0000 2020
1,1,RT A Capricorn has a Love/Hate Relationship with: Cancer,babyleex2,82,0,Sat Nov 14 00:58:00 +0000 2020
2,2,"RT This is a hard day for us all, Today we found out more about the type of Cancer baby G has &amp; We took it not so well, It…",iamjasholine,3,0,Sat Nov 14 00:58:00 +0000 2020
3,3,2018 Older adults with cancer are more likely to have had a heart attack or stroke in the months prior to their can…,Ritaferdi,0,0,Sat Nov 14 00:58:00 +0000 2020
4,4,RT This is Róisín. She’s 9 years old and has battled cancer for the past 6 years. She found out this week that the cancer is…,MaureenMcSherry,502,0,Sat Nov 14 00:57:59 +0000 2020
5,5,"RT In April, the number of working female business owners dropped by 25%, forcing women like Molly Moon Neitzel into impossible…",johannabarr,16,0,Sat Nov 14 00:57:57 +0000 2020
6,6,RT I call BS. No ones thanking him for dead parents. cut all pandemic help to marg…,tabburs,4,0,Sat Nov 14 00:57:55 +0000 2020
7,7,Researchers from have reported a new synthetic protein nanoparticle capable of slipping past the nearly im…,NNInanonews,0,0,Sat Nov 14 00:57:52 +0000 2020
8,8,RT CorruptKelly Loeffler is a cancer on Georgia and must be voted out immediately. Pass it on.,SayeBennett,2038,0,Sat Nov 14 00:57:50 +0000 2020
9,9,"Cancer or taurus, MAYBE pisces",SYRPENT,0,0,Sat Nov 14 00:57:49 +0000 2020
10,10,RT Yup. Cancer treatments are often carcinogenic and don't even get me started on psychotropic drugs and diag…,1313lyoshikoy,2,0,Sat Nov 14 00:57:49 +0000 2020
11,11,RT CorruptKelly Loeffler is a cancer on Georgia and must be voted out immediately. Pass it on.,sandy0768,2038,0,Sat Nov 14 00:57:47 +0000 2020
12,12,RT This is Róisín. She’s 9 years old and has battled cancer for the past 6 years. She found out this week that the cancer is…,brimahon,502,0,Sat Nov 14 00:57:46 +0000 2020
13,13,RT Cancer only feels secure when they have money in their pocket.,JsavageBurn1,272,0,Sat Nov 14 00:57:44 +0000 2020
14,14,"Covid must be taken seriously, but letting people die of other causes because of it is a huge issue. Cancer patient…",slightlyhowling,0,0,Sat Nov 14 00:57:41 +0000 2020
15,15,RT He also shaved his snhead in solidarity with one of his agents who's son had canc…,susanstai,2,0,Sat Nov 14 00:57:40 +0000 2020
16,16,RT cancer pisces scorpio | next 72hrs if you made a commitment i’m see u gotta follow thru with it now. some of you may be tryna…,Pull_MyDreadss,42,0,Sat Nov 14 00:57:39 +0000 2020
17,17,"the ONLY family matter that makes it her business to check on me, my dear aunt, was diagnosed with stage 4 cancer t…",codenamevido,0,0,Sat Nov 14 00:57:39 +0000 2020
18,18,cancer and leo fwb is not a thing for me 😭😭,gaybriellarivas,0,0,Sat Nov 14 00:57:35 +0000 2020
