,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT Can we all just agree that Capricorn women are on another level? Thank you.,caprodite,242,0,Sat Nov 14 01:01:12 +0000 2020
1,1,RT Affirmation: Aries: I am strong Taurus: I am right Gemini: I am understood Cancer: I am needed Leo: I am loved Virgo:…,badbitch4220,167,0,Sat Nov 14 01:01:11 +0000 2020
2,2,"Height: 4'10"" Shoe size: 5 Zodiac: Capricorn Tatts: noneee Piercings: none Fav color: pink black &amp; white(ok its…",sleepyamby,0,0,Sat Nov 14 01:01:07 +0000 2020
3,3,"RT ☄️ MARS IS DIRECT ☄️ if you’ve been feeling “stuck” or have been in an energetic rut (im looking at you capricorn, aries,…",YE11IngEYE,475,0,Sat Nov 14 01:01:04 +0000 2020
4,4,"RT capricorn taurus virgo | next 72hrs the bounce back looking promising, I see a new beginning &amp; tapping into your inner fire.…",BLM_Natalie,528,0,Sat Nov 14 01:01:00 +0000 2020
5,5,A Capricorn lmaoooo,jmlynchh,0,0,Sat Nov 14 01:01:00 +0000 2020
6,6,my mom is a capricorn,biancaishigh,0,0,Sat Nov 14 01:00:57 +0000 2020
7,7,RT You will rarely see a Capricorn full out angry about something annoyed yes angry no.,erikaaa4__,142,0,Sat Nov 14 01:00:50 +0000 2020
8,8,Me af it’s because we’re Capricorn’s,whykaykay,0,0,Sat Nov 14 01:00:43 +0000 2020
9,9,capricorn and YES 🗿,muthaleficent,0,0,Sat Nov 14 01:00:41 +0000 2020
10,10,RT You will rarely see a Capricorn full out angry about something annoyed yes angry no.,BombshellBee_,142,0,Sat Nov 14 01:00:36 +0000 2020
11,11,"RT capricorn taurus virgo | next 72hrs the bounce back looking promising, I see a new beginning &amp; tapping into your inner fire.…",JazzyAtTheDisco,528,0,Sat Nov 14 01:00:30 +0000 2020
12,12,"RT Capricorn’s have the worst attitudes when they mad, we can really debate bout this 😂😂😂",sheynatalii,3,0,Sat Nov 14 01:00:29 +0000 2020
13,13,"CAPRICORN: NEW - FULL MOON READ - SERENITY, CELEBRATION &amp; HAPPINESS - NOV 2020",ProfWitch,0,0,Sat Nov 14 01:00:11 +0000 2020
14,14,Your friendships and the role you play in the community are hi... More for Capricorn,hui_te_ni,0,0,Sat Nov 14 01:00:11 +0000 2020
15,15,Your friendships and the role you play in the community are hi... More for Capricorn,YetundeAd_,0,0,Sat Nov 14 01:00:11 +0000 2020
16,16,Your friendships and the role you play in the community are hi... More for Capricorn,debbiestwinn,0,0,Sat Nov 14 01:00:11 +0000 2020
17,17,Your friendships and the role you play in the community are hi... More for Capricorn,glitterbts,0,0,Sat Nov 14 01:00:11 +0000 2020
18,18,Your friendships and the role you play in the community are hi... More for Capricorn,mickeynzievarga,0,0,Sat Nov 14 01:00:10 +0000 2020
19,19,Your friendships and the role you play in the community are hi... More for Capricorn,ITSMSBONNIE2U,0,0,Sat Nov 14 01:00:10 +0000 2020
20,20,Your friendships and the role you play in the community are hi... More for Capricorn,uhlieduh,0,0,Sat Nov 14 01:00:10 +0000 2020
21,21,Your friendships and the role you play in the community are hi... More for Capricorn,jajuanmarquez10,0,0,Sat Nov 14 01:00:10 +0000 2020
22,22,Your friendships and the role you play in the community are hi... More for Capricorn,sedonaBert62,0,0,Sat Nov 14 01:00:10 +0000 2020
23,23,Your friendships and the role you play in the community are hi... More for Capricorn,LuluSal_,0,0,Sat Nov 14 01:00:09 +0000 2020
24,24,Your friendships and the role you play in the community are hi... More for Capricorn,melissachew98,0,0,Sat Nov 14 01:00:09 +0000 2020
25,25,Your friendships and the role you play in the community are hi... More for Capricorn,jimmyadamson4,0,0,Sat Nov 14 01:00:09 +0000 2020
26,26,Your friendships and the role you play in the community are hi... More for Capricorn,kealfrm302,0,0,Sat Nov 14 01:00:09 +0000 2020
27,27,Your friendships and the role you play in the community are hi... More for Capricorn,emmyicey,0,0,Sat Nov 14 01:00:09 +0000 2020
28,28,Your friendships and the role you play in the community are hi... More for Capricorn,BrownLainey22,0,0,Sat Nov 14 01:00:09 +0000 2020
29,29,Your friendships and the role you play in the community are hi... More for Capricorn,QsMom_,0,0,Sat Nov 14 01:00:09 +0000 2020
30,30,Your friendships and the role you play in the community are hi... More for Capricorn,HellYeaRiRi,0,0,Sat Nov 14 01:00:08 +0000 2020
31,31,Your friendships and the role you play in the community are hi... More for Capricorn,Amberbryant3456,0,0,Sat Nov 14 01:00:08 +0000 2020
32,32,Your friendships and the role you play in the community are hi... More for Capricorn,distarsln,0,0,Sat Nov 14 01:00:08 +0000 2020
33,33,Your friendships and the role you play in the community are hi... More for Capricorn,Brisinterlude,0,0,Sat Nov 14 01:00:08 +0000 2020
34,34,Your friendships and the role you play in the community are hi... More for Capricorn,xiaosadleh,0,0,Sat Nov 14 01:00:08 +0000 2020
35,35,Your friendships and the role you play in the community are hi... More for Capricorn,WenzyEstrada,0,0,Sat Nov 14 01:00:08 +0000 2020
36,36,Your friendships and the role you play in the community are hi... More for Capricorn,ItsbubblesHigh,0,0,Sat Nov 14 01:00:08 +0000 2020
37,37,Your friendships and the role you play in the community are hi... More for Capricorn,Geneeee15,0,0,Sat Nov 14 01:00:08 +0000 2020
38,38,Your friendships and the role you play in the community are hi... More for Capricorn,jensencowley,0,0,Sat Nov 14 01:00:08 +0000 2020
39,39,Your friendships and the role you play in the community are hi... More for Capricorn,jessiefication,0,0,Sat Nov 14 01:00:08 +0000 2020
40,40,Your friendships and the role you play in the community are hi... More for Capricorn,romshamilton,0,0,Sat Nov 14 01:00:07 +0000 2020
41,41,Your friendships and the role you play in the community are hi... More for Capricorn,oalyzhell,0,0,Sat Nov 14 01:00:07 +0000 2020
42,42,Your friendships and the role you play in the community are hi... More for Capricorn,valeriesusan_,0,0,Sat Nov 14 01:00:07 +0000 2020
43,43,Your friendships and the role you play in the community are hi... More for Capricorn,KAlPRICORN,0,0,Sat Nov 14 01:00:07 +0000 2020
44,44,Your friendships and the role you play in the community are hi... More for Capricorn,Trill_muthafuka,0,0,Sat Nov 14 01:00:07 +0000 2020
45,45,Your friendships and the role you play in the community are hi... More for Capricorn,ynrssamm,0,0,Sat Nov 14 01:00:07 +0000 2020
46,46,Your friendships and the role you play in the community are hi... More for Capricorn,Ello_Amber,0,0,Sat Nov 14 01:00:06 +0000 2020
47,47,"Not harmed, apart from Great sex is no role in Capricorn",FatimaCherkasov,0,0,Sat Nov 14 01:00:06 +0000 2020
48,48,Your friendships and the role you play in the community are hi... More for Capricorn,SAMUELNGG_,0,0,Sat Nov 14 01:00:06 +0000 2020
49,49,Your friendships and the role you play in the community are hi... More for Capricorn,denisetaglienti,0,0,Sat Nov 14 01:00:06 +0000 2020
50,50,Your friendships and the role you play in the community are hi... More for Capricorn,_Kb209_,0,0,Sat Nov 14 01:00:06 +0000 2020
51,51,Your friendships and the role you play in the community are hi... More for Capricorn,jesscadbymaysxx,0,0,Sat Nov 14 01:00:06 +0000 2020
52,52,Your friendships and the role you play in the community are hi... More for Capricorn,suhabreezy,0,0,Sat Nov 14 01:00:06 +0000 2020
53,53,Your friendships and the role you play in the community are hi... More for Capricorn,SippinOn_SHAROc,0,0,Sat Nov 14 01:00:06 +0000 2020
54,54,Your friendships and the role you play in the community are hi... More for Capricorn,AlhalemiMaleck,0,0,Sat Nov 14 01:00:05 +0000 2020
55,55,Your friendships and the role you play in the community are hi... More for Capricorn,amygv_x,0,0,Sat Nov 14 01:00:05 +0000 2020
56,56,Your friendships and the role you play in the community are hi... More for Capricorn,jackbond8,0,0,Sat Nov 14 01:00:05 +0000 2020
57,57,Your friendships and the role you play in the community are hi... More for Capricorn,ballinglikeMJ,0,0,Sat Nov 14 01:00:05 +0000 2020
58,58,Your friendships and the role you play in the community are hi... More for Capricorn,GloryTrapQueen,0,0,Sat Nov 14 01:00:05 +0000 2020
59,59,Your friendships and the role you play in the community are hi... More for Capricorn,Nasty0115,0,0,Sat Nov 14 01:00:04 +0000 2020
60,60,Your friendships and the role you play in the community are hi... More for Capricorn,AnnaLeighScott,0,0,Sat Nov 14 01:00:04 +0000 2020
61,61,Your friendships and the role you play in the community are hi... More for Capricorn,_MatonRed,0,0,Sat Nov 14 01:00:04 +0000 2020
62,62,Your friendships and the role you play in the community are hi... More for Capricorn,edgarxayala,0,0,Sat Nov 14 01:00:04 +0000 2020
63,63,Your friendships and the role you play in the community are hi... More for Capricorn,lostetrico,0,0,Sat Nov 14 01:00:04 +0000 2020
64,64,Your friendships and the role you play in the community are hi... More for Capricorn,ChrissyyGaloree,0,0,Sat Nov 14 01:00:04 +0000 2020
65,65,Your friendships and the role you play in the community are hi... More for Capricorn,ChloeMacDonaldx,0,0,Sat Nov 14 01:00:04 +0000 2020
66,66,do yours in qrt !! ☆height : 162 ☆shoe size : 39/40 ☆zodiac : capricorn ☆tattoos : - ☆piercings : - ☆favorite color…,elvinalee_,0,0,Sat Nov 14 01:00:04 +0000 2020
67,67,Your friendships and the role you play in the community are hi... More for Capricorn,heatormiss,0,0,Sat Nov 14 01:00:04 +0000 2020
68,68,By the way I’m totally joking I was just having a little fun defending us Capricorn’s lol. ❤️ AllLove,MommyinHeels_,0,1,Sat Nov 14 01:00:03 +0000 2020
69,69,Your friendships and the role you play in the community are hi... More for Capricorn,Cocaine__Savage,0,0,Sat Nov 14 01:00:03 +0000 2020
70,70,Your friendships and the role you play in the community are hi... More for Capricorn,IzyAnneLove,0,0,Sat Nov 14 01:00:03 +0000 2020
71,71,Your friendships and the role you play in the community are hi... More for Capricorn,nikkiann_13,0,0,Sat Nov 14 01:00:03 +0000 2020
72,72,Your friendships and the role you play in the community are hi... More for Capricorn,NobodyBtSy,0,0,Sat Nov 14 01:00:03 +0000 2020
73,73,"RT capricorn taurus virgo | next 72hrs the bounce back looking promising, I see a new beginning &amp; tapping into your inner fire.…",homegworI,528,0,Sat Nov 14 00:59:56 +0000 2020
74,74,I hold all my Capricorn moon friends close to my heart🤍🤞🏻🥺,dresters19,0,0,Sat Nov 14 00:59:38 +0000 2020
75,75,"RT capricorn taurus virgo | next 72hrs the bounce back looking promising, I see a new beginning &amp; tapping into your inner fire.…",astrogirrrrl,528,0,Sat Nov 14 00:59:31 +0000 2020
76,76,"RT capricorn taurus virgo | next 72hrs the bounce back looking promising, I see a new beginning &amp; tapping into your inner fire.…",Yanaa_eff,528,0,Sat Nov 14 00:59:22 +0000 2020
77,77,"Height: 160cm Shoe size: 37 (INA) Zodiac sign : capricorn Tattoos : none Piercing : 1 my right ear, 1 my left ear F…",kimjdream_,0,0,Sat Nov 14 00:59:15 +0000 2020
78,78,RT aries cancer libra capricorn be like,astrogirrrrl,185,0,Sat Nov 14 00:59:12 +0000 2020
79,79,"this is so me. i love that thing on snap wow!! im almost scorpio/capricorn everywhere like mercury, jupiter etc lma…",fredosmine,0,0,Sat Nov 14 00:59:07 +0000 2020
80,80,"RT ✉️🔮Leo, Libra, Cancer, Capricorn -sun, moon, rising, venus- big boss energy. you have an incredible ability to see beyond…",xofuentess,217,0,Sat Nov 14 00:59:07 +0000 2020
81,81,"RT ☄️ MARS IS DIRECT ☄️ if you’ve been feeling “stuck” or have been in an energetic rut (im looking at you capricorn, aries,…",fxckincoconut,475,0,Sat Nov 14 00:59:00 +0000 2020
82,82,I have Capricorn in Saturn RX in the 10H wtf this means??,Adore33392166,0,0,Sat Nov 14 00:58:52 +0000 2020
83,83,"RT A Capricorn hates wasting time, so teasing them &amp; acting coy will get you ignored.",Queen_B1189,334,0,Sat Nov 14 00:58:49 +0000 2020
84,84,"Height: 162 cm / ~5""4' Shoe Size: 8 Zodiac: Capricorn! Favorite color: Any pastel colors :D Mostly pastel pink :…",seraamai,0,1,Sat Nov 14 00:58:34 +0000 2020
85,85,RT Your Capricorn placements when you call in sick,linnstreeter,1,0,Sat Nov 14 00:58:33 +0000 2020
86,86,"The Capricorn/Leo dynamic is so fun, caps just hate on Leo’s bc were authentic and fun and Leo’s hate on caps bc th…",_xjorx,0,0,Sat Nov 14 00:58:30 +0000 2020
87,87,Predictable? Wow. She was probably thinking about sucking your dick but you wanted to keep…,MommyinHeels_,0,0,Sat Nov 14 00:58:23 +0000 2020
88,88,"RT capricorn taurus virgo | next 72hrs the bounce back looking promising, I see a new beginning &amp; tapping into your inner fire.…",Leah_Umphrey,528,0,Sat Nov 14 00:58:20 +0000 2020
89,89,RT aries cancer libra capricorn be like,dxrows061,185,0,Sat Nov 14 00:58:06 +0000 2020
90,90,RT A Capricorn has a Love/Hate Relationship with: Cancer,babyleex2,82,0,Sat Nov 14 00:58:00 +0000 2020
91,91,"RT Your Editing Style, by Astrological Sign: Libra: SURE I CAN SEE WHERE THAT MIGHT WORK Cancer: I AM SO SORRY LET ME FIX THI…",MaryCallahanB,142,0,Sat Nov 14 00:57:28 +0000 2020
92,92,"RT capricorn taurus virgo | next 72hrs the bounce back looking promising, I see a new beginning &amp; tapping into your inner fire.…",marisoltxvar,528,0,Sat Nov 14 00:57:27 +0000 2020
93,93,"RT Sagittarius and Capricorn are two of the smartest working signs. Yes they can be very hard working, however, their ingen…",catwithdacards,2,0,Sat Nov 14 00:57:23 +0000 2020
94,94,"RT ☄️ MARS IS DIRECT ☄️ if you’ve been feeling “stuck” or have been in an energetic rut (im looking at you capricorn, aries,…",marcheamoni,475,0,Sat Nov 14 00:57:19 +0000 2020
95,95,"RT The way this is Aries, Virgo, Capricorn &amp; Aquarius placements",itsscai_,2398,0,Sat Nov 14 00:57:18 +0000 2020
96,96,its spelled capricorn cardy,daylightlupin,0,1,Sat Nov 14 00:57:15 +0000 2020
97,97,"RT Libras, Capricorn’s &amp; cancers Will have some big decisions to make these next few weeks! I feel a lot of you are about to…",AngVollMill,316,0,Sat Nov 14 00:57:03 +0000 2020
98,98,RT aries cancer libra capricorn be like,aracelicelery,185,0,Sat Nov 14 00:57:00 +0000 2020
99,99,"RT The way this is Aries, Virgo, Capricorn &amp; Aquarius placements",_joquarius_,2398,0,Sat Nov 14 00:56:58 +0000 2020
