,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,Leo Sun Gemini Moon Scorpio Rising No wonder I'm a fucking mess,saintjxmmyx,0,0,Sat Nov 14 00:57:55 +0000 2020
1,1,"RT imagine getting an aquarius, gemini, or libra to open up and fall in love with you",zayveeeee,86,0,Sat Nov 14 00:57:51 +0000 2020
2,2,Gemini’s have a huge stick in their ass just like Virgos but they’re charming about it so you don’t even notice,Firelord_Sophie,0,0,Sat Nov 14 00:57:47 +0000 2020
3,3,"Me? I’m just a guy who likes the office, looking for a Dwight to my Kevin or whatever. I also am a Virgo, or possib…",shaqfan1937,0,0,Sat Nov 14 00:57:47 +0000 2020
4,4,not me realizing alex is a gemini again i’m dipping,dwdarlingharry,0,2,Sat Nov 14 00:57:38 +0000 2020
5,5,"Just think, do you wanna go out as embarrassed as the 1 targeted Gemini of the last four years?",_tellytelly,0,0,Sat Nov 14 00:57:36 +0000 2020
6,6,"RT Your Editing Style, by Astrological Sign: Libra: SURE I CAN SEE WHERE THAT MIGHT WORK Cancer: I AM SO SORRY LET ME FIX THI…",MaryCallahanB,142,0,Sat Nov 14 00:57:28 +0000 2020
7,7,"Gemini lol I talk a lot if I’m with people I’m comfortable with, otherwise I keep to myself. I’d say I’m s…",thestonednyquil,0,0,Sat Nov 14 00:57:21 +0000 2020
8,8,"RT If Gemini, Leo, Sagittarius or Aquarius don’t get to say what they are thinking at all times they are probably just goi…",shesmacy,51,0,Sat Nov 14 00:57:19 +0000 2020
9,9,little mans gonna be lucky if he has clean clothes by then 😅😂,_gemini_moon,0,0,Sat Nov 14 00:57:19 +0000 2020
10,10,huh interesting bc my rising a gemini 😗,PinaPriscilla,0,0,Sat Nov 14 00:57:12 +0000 2020
11,11,"I will CRY, GEMINI",lookaliveava,0,0,Sat Nov 14 00:57:08 +0000 2020
12,12,RT yes i’m a gemini stop dming me,John_Weicher,4,0,Sat Nov 14 00:57:06 +0000 2020
13,13,"More like, your honor ... they’re a Gemini so...",Roses___03,0,0,Sat Nov 14 00:56:59 +0000 2020
14,14,RT If you mix a Gemini and a Scorpio you get a Pisces,_yourtai_,592,0,Sat Nov 14 00:56:50 +0000 2020
15,15,RT Big Gemini energy,_StrawberrySky,322,0,Sat Nov 14 00:56:44 +0000 2020
16,16,Okay..,trouble_gemini,0,0,Sat Nov 14 00:56:38 +0000 2020
17,17,SAME I had everything ready with Avery too. But not this one 😅,Lori_Maureen,0,1,Sat Nov 14 00:56:37 +0000 2020
18,18,"RT ✉️🔮Aries, Taurus, Virgo, Gemini -sun, moon, rising, venus- don’t be afraid to take risks at this time - don’t worry about…",intuiteveguide,93,0,Sat Nov 14 00:56:36 +0000 2020
