,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,You clearly haven’t read the book.,LoveStopsHatred,0,0,Sat Nov 14 00:58:04 +0000 2020
1,1,"It must be that Scorpio rising in me. Cause if you piss this kitty off, I’m gunning for you",PsyDa,0,0,Sat Nov 14 00:58:01 +0000 2020
2,2,RT GOTH LEO WOOOO (tcesters and nsfw DNI 🔫),SamyyDonn_,30,0,Sat Nov 14 00:57:58 +0000 2020
3,3,RT,TravelBugsWorld,5,0,Sat Nov 14 00:57:57 +0000 2020
4,4,Leo Sun Gemini Moon Scorpio Rising No wonder I'm a fucking mess,saintjxmmyx,0,0,Sat Nov 14 00:57:55 +0000 2020
5,5,YES QUEEN,amaze_leo,0,0,Sat Nov 14 00:57:54 +0000 2020
6,6,You ain’t Neva meet a toxic leo,brehivee_,0,0,Sat Nov 14 00:57:54 +0000 2020
7,7,"Ok, cool, I’ll try that. Thanks",nemo_mbolson70,0,0,Sat Nov 14 00:57:49 +0000 2020
8,8,A Leo woman can be very lethal,Dirah_2,0,0,Sat Nov 14 00:57:49 +0000 2020
9,9,"Good Movie, except for the ending. There was plenty of room on the raft for both Leo and Rose 🌹",KevinRiordan20,0,0,Sat Nov 14 00:57:47 +0000 2020
10,10,i got: straight i am: i got: leo or libra theyre the same thing 🙄‼️ i am: i got: single i am:…,romionewands,0,0,Sat Nov 14 00:57:44 +0000 2020
11,11,cancer and leo fwb is not a thing for me 😭😭,gaybriellarivas,0,0,Sat Nov 14 00:57:35 +0000 2020
12,12,Queen from group Zgirls is a verified starlight💫 VIXX ZGIRLS leo queen,Blackroseshire,0,0,Sat Nov 14 00:57:34 +0000 2020
13,13,You are the first person to suggest s thrupple and that idea came to me almost immediately. You win tod…,namaferd,0,0,Sat Nov 14 00:57:34 +0000 2020
14,14,"RT If you want to know a Leo, take your time and be patient because they are selective about the people they mingle with.",unlimitedjason,123,0,Sat Nov 14 00:57:30 +0000 2020
15,15,,TravelBugsWorld,0,0,Sat Nov 14 00:57:29 +0000 2020
16,16,RT Y’all MutantFam|HorrorFam run (seriously RUN NOW!) &amp; watch Maniac Nun on a Mission to Kill Leo Fountain…,RobertLeija,2,0,Sat Nov 14 00:57:29 +0000 2020
17,17,"I know you're about to be bombarded by fans if you haven't been already, but good luck with your fut…",randicus79,0,0,Sat Nov 14 00:57:27 +0000 2020
18,18,"RT Taurus, Leo, Scorpio... You may be seeing some happier times soon. Don’t be ignorant to it. Something you really want is wel…",jayropa,847,0,Sat Nov 14 00:57:25 +0000 2020
19,19,RT Actually can't believe you've turned a vote of confidence in Leo that cost €25k i…,Iarlaith66,0,0,Sat Nov 14 00:57:25 +0000 2020
20,20,RT THE BIGGEST LEO MOOD,KeepUPLee,106,0,Sat Nov 14 00:57:24 +0000 2020
21,21,"RT Leo is a strong and loyal lover, who is prepared to go as far as the road takes them.",unlimitedjason,114,0,Sat Nov 14 00:57:23 +0000 2020
22,22,"aqua sun, leo moon and rising😎",danymoron_,0,0,Sat Nov 14 00:57:20 +0000 2020
23,23,"RT If Gemini, Leo, Sagittarius or Aquarius don’t get to say what they are thinking at all times they are probably just goi…",shesmacy,51,0,Sat Nov 14 00:57:19 +0000 2020
24,24,side note y’all ever realize that most of the birthday posts during leo szn be ppl mamas,sugebabee,0,0,Sat Nov 14 00:57:12 +0000 2020
25,25,"how nice of you, you saved her the hassle of blocking you first😍 so kind and considerate of you leo xx",angelic6aby,0,1,Sat Nov 14 00:57:12 +0000 2020
26,26,Yaaaaasss!!! And she’s a Leo too!🥰 🔥,tluvli,0,0,Sat Nov 14 00:57:09 +0000 2020
27,27,225 acres to go.,leo___g,0,1,Sat Nov 14 00:57:05 +0000 2020
28,28,"RT Leo is a strong and loyal lover, who is prepared to go as far as the road takes them.",jerkchknpapi,114,0,Sat Nov 14 00:57:04 +0000 2020
29,29,It’s ok to let them lead once or twice lol,_InvisibleNinja,0,0,Sat Nov 14 00:57:03 +0000 2020
30,30,Kindly inbox me to help you recover your hacked account,Leo_hack_,0,0,Sat Nov 14 00:56:59 +0000 2020
31,31,"Leo , Sky",SOUTH01TRN,0,0,Sat Nov 14 00:56:59 +0000 2020
32,32,I see your bio says leo rising and I am too 😯😭,aliya_C0,0,0,Sat Nov 14 00:56:59 +0000 2020
33,33,Leo Buckley pressbox... still undefeated.,InghamFNBCT,0,0,Sat Nov 14 00:56:55 +0000 2020
34,34,RT fire signs mini love ❤️ aries leo sagittarius your person has noticed how good you are doing in your life right now an…,Prissccillaa98,39,0,Sat Nov 14 00:56:55 +0000 2020
35,35,RT Y’all MutantFam|HorrorFam run (seriously RUN NOW!) &amp; watch Maniac Nun on a Mission to Kill Leo Fountain…,mutant_fam,2,0,Sat Nov 14 00:56:55 +0000 2020
36,36,i got: bisexual i am: i got: leo i am: i got: single i am: i got: extrovert i am: reply with an e…,ANGELKC4LS,0,0,Sat Nov 14 00:56:53 +0000 2020
37,37,"RT ✉️🔮Leo, Libra, Cancer, Capricorn -sun, moon, rising, venus- big boss energy. you have an incredible ability to see beyond…",jayamarie_,215,0,Sat Nov 14 00:56:52 +0000 2020
38,38,"But if you choose for them to go back, for them to continue fighting no matter the pain and hardship and loss that…",MajoYuushaGeah,0,0,Sat Nov 14 00:56:40 +0000 2020
