,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,I am Pisces...,MiraiFantasia,0,0,Sat Nov 14 01:01:14 +0000 2020
1,1,RT Affirmation: Aries: I am strong Taurus: I am right Gemini: I am understood Cancer: I am needed Leo: I am loved Virgo:…,badbitch4220,167,0,Sat Nov 14 01:01:11 +0000 2020
2,2,"Sagittarius moon, Pisces Rising. Running won’t set me free, Unconditional love will. Every time I try to run away…",agrowinggirl333,0,0,Sat Nov 14 01:01:08 +0000 2020
3,3,RT bitches be likk how did u know i was a pisces,makeartmakeout,3769,0,Sat Nov 14 01:01:05 +0000 2020
4,4,RT If you mix a Gemini and a Scorpio you get a Pisces,elianaa1118,593,0,Sat Nov 14 01:00:59 +0000 2020
5,5,"I mean, you say ""balance"" like it's libra, but it sounds like pisces.",SYRPENT,0,0,Sat Nov 14 01:00:57 +0000 2020
6,6,RT @ Virgo/Pisces placements: Stop feeling guilty for speaking your needs and expressing yourself. You have every right to.…,MzTeE8205,586,0,Sat Nov 14 01:00:56 +0000 2020
7,7,RT bitches be likk how did u know i was a pisces,keedekaff,3769,0,Sat Nov 14 01:00:53 +0000 2020
8,8,Read Today Pisces Horoscope: Horoscope Pisces,Small1Business,0,0,Sat Nov 14 01:00:53 +0000 2020
9,9,i grew up in a house with three pisces you can’t hurt my feelings,jiigsawtrap,0,0,Sat Nov 14 01:00:49 +0000 2020
10,10,RT Pisces rules nakedness/vulnerability. Our Pisces house is where we do that at.,cemarie__,10,0,Sat Nov 14 01:00:47 +0000 2020
11,11,,prince19582016,0,0,Sat Nov 14 01:00:45 +0000 2020
12,12,RT Pisces girls rule!!!❤️❤️,crushonivy,1032,0,Sat Nov 14 01:00:44 +0000 2020
13,13,“Keep my name out of your pisces mouth” AFAGEH BITCH,alejaaabeja,0,0,Sat Nov 14 01:00:42 +0000 2020
14,14,RT pisces men : 🤢🤢🤢🤮🤮🤮🤮🤮☠️☠️☠️☠️👿👿👿👿💩💩💩💩💩 pisces women : 🥰🥰🥰🥰🥰😍😍😘😘😘😘❤️❤️❤️😋😋😋,paucambier,20,0,Sat Nov 14 01:00:36 +0000 2020
15,15,i patiently wait for the pisces restock :/,victorialiciax,0,0,Sat Nov 14 01:00:33 +0000 2020
16,16,swimming with a pisces every night... head like a scorpio.. shy like a cancer.. or wtv said,teraaaa03,0,1,Sat Nov 14 01:00:23 +0000 2020
17,17,"RT Pisces has the ability to become very, very jealous.",missthyrone,72,0,Sat Nov 14 01:00:22 +0000 2020
18,18,Lmfaoo me when I dated a pisces man,TellMeYouLove_5,0,0,Sat Nov 14 01:00:12 +0000 2020
19,19,"You are more deeply connected to the people around you today, ... More for Pisces",coldcole49,0,0,Sat Nov 14 01:00:11 +0000 2020
20,20,"You are more deeply connected to the people around you today, ... More for Pisces",hatedbrenda,0,0,Sat Nov 14 01:00:11 +0000 2020
21,21,"You are more deeply connected to the people around you today, ... More for Pisces",victoriiaaaaxo,0,0,Sat Nov 14 01:00:10 +0000 2020
22,22,a february pisces,isumcanis,0,0,Sat Nov 14 01:00:10 +0000 2020
23,23,"You are more deeply connected to the people around you today, ... More for Pisces",_blahhcynthia_,0,0,Sat Nov 14 01:00:10 +0000 2020
24,24,"You are more deeply connected to the people around you today, ... More for Pisces",SelphMade_G,0,0,Sat Nov 14 01:00:10 +0000 2020
25,25,"You are more deeply connected to the people around you today, ... More for Pisces",AdmirableArt,0,0,Sat Nov 14 01:00:10 +0000 2020
26,26,"You are more deeply connected to the people around you today, ... More for Pisces",ALadyWithNikes,0,0,Sat Nov 14 01:00:10 +0000 2020
27,27,"You are more deeply connected to the people around you today, ... More for Pisces",LashesbyNichole,0,0,Sat Nov 14 01:00:10 +0000 2020
28,28,"You are more deeply connected to the people around you today, ... More for Pisces",_Jamesgav,0,0,Sat Nov 14 01:00:09 +0000 2020
29,29,"You are more deeply connected to the people around you today, ... More for Pisces",westx_ms,0,0,Sat Nov 14 01:00:09 +0000 2020
30,30,"You are more deeply connected to the people around you today, ... More for Pisces",breendddaa_,0,0,Sat Nov 14 01:00:09 +0000 2020
31,31,"You are more deeply connected to the people around you today, ... More for Pisces",lemusfaith,0,0,Sat Nov 14 01:00:09 +0000 2020
32,32,"You are more deeply connected to the people around you today, ... More for Pisces",stevearg2222,0,0,Sat Nov 14 01:00:09 +0000 2020
33,33,"You are more deeply connected to the people around you today, ... More for Pisces",ispyyoujung,0,0,Sat Nov 14 01:00:09 +0000 2020
34,34,"You are more deeply connected to the people around you today, ... More for Pisces",TSalad26,0,0,Sat Nov 14 01:00:09 +0000 2020
35,35,"You are more deeply connected to the people around you today, ... More for Pisces",dominiiique__,0,0,Sat Nov 14 01:00:08 +0000 2020
36,36,"You are more deeply connected to the people around you today, ... More for Pisces",ihsan_jones,0,0,Sat Nov 14 01:00:08 +0000 2020
37,37,"You are more deeply connected to the people around you today, ... More for Pisces",xoKenyaxoxo,0,0,Sat Nov 14 01:00:08 +0000 2020
38,38,"You are more deeply connected to the people around you today, ... More for Pisces",goddessinstinct,0,0,Sat Nov 14 01:00:08 +0000 2020
39,39,"You are more deeply connected to the people around you today, ... More for Pisces",TeCeButler,0,0,Sat Nov 14 01:00:08 +0000 2020
40,40,"You are more deeply connected to the people around you today, ... More for Pisces",asdfghjackb,0,0,Sat Nov 14 01:00:08 +0000 2020
41,41,"You are more deeply connected to the people around you today, ... More for Pisces",madi5096,0,0,Sat Nov 14 01:00:08 +0000 2020
42,42,"You are more deeply connected to the people around you today, ... More for Pisces",_keraaaa__,0,0,Sat Nov 14 01:00:08 +0000 2020
43,43,"You are more deeply connected to the people around you today, ... More for Pisces",Aleesha_ivey,0,0,Sat Nov 14 01:00:08 +0000 2020
44,44,"You are more deeply connected to the people around you today, ... More for Pisces",maria_le0nelli,0,0,Sat Nov 14 01:00:07 +0000 2020
45,45,"You are more deeply connected to the people around you today, ... More for Pisces",_ehtsstephaniie,0,0,Sat Nov 14 01:00:07 +0000 2020
46,46,"You are more deeply connected to the people around you today, ... More for Pisces",laurenbolamx,0,0,Sat Nov 14 01:00:07 +0000 2020
47,47,"You are more deeply connected to the people around you today, ... More for Pisces",AimeeMLSheppard,0,0,Sat Nov 14 01:00:07 +0000 2020
48,48,"You are more deeply connected to the people around you today, ... More for Pisces",LisaShine_98,0,0,Sat Nov 14 01:00:07 +0000 2020
49,49,"You are more deeply connected to the people around you today, ... More for Pisces",20Saluchii,0,0,Sat Nov 14 01:00:07 +0000 2020
50,50,"You are more deeply connected to the people around you today, ... More for Pisces",Haarolddddd,0,0,Sat Nov 14 01:00:07 +0000 2020
51,51,"You are more deeply connected to the people around you today, ... More for Pisces",twould_29,0,0,Sat Nov 14 01:00:07 +0000 2020
52,52,"You are more deeply connected to the people around you today, ... More for Pisces",ItsMe_SoElegant,0,0,Sat Nov 14 01:00:06 +0000 2020
53,53,"You are more deeply connected to the people around you today, ... More for Pisces",_monysseng,0,0,Sat Nov 14 01:00:06 +0000 2020
54,54,"You are more deeply connected to the people around you today, ... More for Pisces",Oil_sheik,0,0,Sat Nov 14 01:00:06 +0000 2020
55,55,"You are more deeply connected to the people around you today, ... More for Pisces",23elizabethc,0,0,Sat Nov 14 01:00:06 +0000 2020
56,56,"You are more deeply connected to the people around you today, ... More for Pisces",Tahiradepoju,0,0,Sat Nov 14 01:00:05 +0000 2020
57,57,"You are more deeply connected to the people around you today, ... More for Pisces",silentt_sam,0,0,Sat Nov 14 01:00:05 +0000 2020
58,58,"You are more deeply connected to the people around you today, ... More for Pisces",Ramiramchata,0,0,Sat Nov 14 01:00:05 +0000 2020
59,59,"You are more deeply connected to the people around you today, ... More for Pisces",aurora_loyall3,0,0,Sat Nov 14 01:00:05 +0000 2020
60,60,"You are more deeply connected to the people around you today, ... More for Pisces",Adarhh_,0,0,Sat Nov 14 01:00:05 +0000 2020
61,61,"You are more deeply connected to the people around you today, ... More for Pisces",naomi_brogden,0,0,Sat Nov 14 01:00:05 +0000 2020
62,62,"You are more deeply connected to the people around you today, ... More for Pisces",emmy_kacz,0,0,Sat Nov 14 01:00:05 +0000 2020
63,63,"You are more deeply connected to the people around you today, ... More for Pisces",SukkDisDick,0,0,Sat Nov 14 01:00:05 +0000 2020
64,64,"You are more deeply connected to the people around you today, ... More for Pisces",AmyJNelson10,0,0,Sat Nov 14 01:00:05 +0000 2020
65,65,"You are more deeply connected to the people around you today, ... More for Pisces",courtjenkins_,0,0,Sat Nov 14 01:00:05 +0000 2020
66,66,"You are more deeply connected to the people around you today, ... More for Pisces",itsme_ennylla,0,0,Sat Nov 14 01:00:05 +0000 2020
67,67,"You are more deeply connected to the people around you today, ... More for Pisces",lizzyrae1234,0,0,Sat Nov 14 01:00:04 +0000 2020
68,68,"You are more deeply connected to the people around you today, ... More for Pisces",foreverr_bry,0,0,Sat Nov 14 01:00:04 +0000 2020
69,69,"You are more deeply connected to the people around you today, ... More for Pisces",Oh_its_Asia,0,0,Sat Nov 14 01:00:04 +0000 2020
70,70,"You are more deeply connected to the people around you today, ... More for Pisces",Nasaya_mom10,0,0,Sat Nov 14 01:00:03 +0000 2020
71,71,"You are more deeply connected to the people around you today, ... More for Pisces",sexy_pisces69,0,0,Sat Nov 14 01:00:03 +0000 2020
72,72,"You are more deeply connected to the people around you today, ... More for Pisces",CDR_Heartlesss,0,0,Sat Nov 14 01:00:03 +0000 2020
73,73,pisces 😎,sighihateithere,0,0,Sat Nov 14 01:00:00 +0000 2020
74,74,"RT 📲Leo, Libra, Aries, Pisces, Aquarius 📲 (sun, moon, rising, venus) You have been working hard on your stability and emoti…",zayveeeee,120,0,Sat Nov 14 00:59:59 +0000 2020
75,75,Lmaoo..yuh nuh know how me feel bout Pisces man,___minx,0,0,Sat Nov 14 00:59:56 +0000 2020
76,76,🙃 yep I seen some on thread that say No promo,Jay_2075,0,0,Sat Nov 14 00:59:43 +0000 2020
77,77,"RT Pisces has the ability to become very, very jealous.",Klotzy18,72,0,Sat Nov 14 00:59:43 +0000 2020
78,78,"RT Sagittarius, Scorpio, Aquarius, Pisces &amp; Virgo... How do you manage to know everything about everyone but remain a mystery…",zaynxo,54,0,Sat Nov 14 00:59:41 +0000 2020
79,79,Pisces moon?,Juliebby___,0,0,Sat Nov 14 00:59:30 +0000 2020
80,80,RT @ Virgo/Pisces placements: Stop feeling guilty for speaking your needs and expressing yourself. You have every right to.…,_MonaiQveen,586,0,Sat Nov 14 00:59:30 +0000 2020
81,81,Sometimes people get caught in wrong relationships coz if libra ♎ meets a on the cusp gemini ♊Cancerian they gre…,Hotsandy_7,0,0,Sat Nov 14 00:59:14 +0000 2020
82,82,okay my mums a gemini and my dads a scorpio and i’m a pisces you’re not wrong,sarcasticsuccu1,0,1,Sat Nov 14 00:59:11 +0000 2020
83,83,RT cancer scorpio pisces 💙 someone is wanting to come back in. I am seeing a growing path. Someone complex and who has a lot…,mariposatarot,95,0,Sat Nov 14 00:59:11 +0000 2020
84,84,RT bitches be likk how did u know i was a pisces,VIRTU4LG1RL,3769,0,Sat Nov 14 00:59:06 +0000 2020
85,85,RT ☁️aquarius. pisces. aries sun moon rising venus you’re about to step into so much abundance. whatever is next is going to…,jayamarie_,102,0,Sat Nov 14 00:59:00 +0000 2020
86,86,"RT Pisces - at your best, you're super SPIRITUAL and in touch with DreamsComeTrue",astrologeranne1,1,0,Sat Nov 14 00:59:00 +0000 2020
87,87,I’m a Pisces watching them talk to the editors is making me cry what the fuck UnusAnnusisoverparty,missteenlesbian,0,0,Sat Nov 14 00:58:58 +0000 2020
88,88,I recommend Pisces girls not Pisces niggas tho 👎,channbannn,0,0,Sat Nov 14 00:58:57 +0000 2020
89,89,Pisces girls&gt;&gt;&gt;&gt;😚,carla_booo3,0,0,Sat Nov 14 00:58:51 +0000 2020
90,90,Height: 154!cm but like I saw you put 158 and i thought i was taller…,mehnotreally,0,0,Sat Nov 14 00:58:44 +0000 2020
91,91,Pisces,SYRPENT,0,0,Sat Nov 14 00:58:38 +0000 2020
92,92,RT Zodiac signs that are the most friendly. -Leo -Libra -Sagittarius -Aquarius -Pisces,ayee_its_cheri,165,0,Sat Nov 14 00:58:34 +0000 2020
93,93,RT pisces men : 🤢🤢🤢🤮🤮🤮🤮🤮☠️☠️☠️☠️👿👿👿👿💩💩💩💩💩 pisces women : 🥰🥰🥰🥰🥰😍😍😘😘😘😘❤️❤️❤️😋😋😋,abbapoems,20,0,Sat Nov 14 00:58:26 +0000 2020
94,94,"Pisces, very intelligent and underestimated at times because I can be a space case. I find I attract peo…",reikierstin,0,0,Sat Nov 14 00:58:25 +0000 2020
95,95,RT Donald trump must have some Pisces in his chart because he’s having issues gripping reality..,groovybels,25,0,Sat Nov 14 00:58:25 +0000 2020
