,Unnamed: 0,text,user,retweets,favorites,datetime
0,0,RT Affirmation: Aries: I am strong Taurus: I am right Gemini: I am understood Cancer: I am needed Leo: I am loved Virgo:…,badbitch4220,167,0,Sat Nov 14 01:01:11 +0000 2020
1,1,"Sagittarius moon, Pisces Rising. Running won’t set me free, Unconditional love will. Every time I try to run away…",agrowinggirl333,0,0,Sat Nov 14 01:01:08 +0000 2020
2,2,RT remember when chanyeol was asked what are the best constellations and he answered taurus and sagittarius then he said becau…,strawberryxip,50,0,Sat Nov 14 01:01:06 +0000 2020
3,3,sagittarius &amp; not really lol,AshleyEllen98,0,0,Sat Nov 14 01:01:06 +0000 2020
4,4,do yours in qrt !! ☆height: 162cm ☆shoe size: 39 ☆zodiac sign : Sagittarius ☆tattoos : - ☆piercings : - ☆favorite…,warwarut,0,0,Sat Nov 14 01:00:53 +0000 2020
5,5,"RT ☁️aries. taurus. leo. sagittarius. sun moon rising venus if you’ve been dealing with financial issues, these will clear i…",_GoodVibes_Only,52,0,Sat Nov 14 01:00:50 +0000 2020
6,6,RT Fall isn’t over yet! I still have a variety of fall wall hangings available to warm your house for Thanksgiving and thr…,rosequartzcraft,51,0,Sat Nov 14 01:00:48 +0000 2020
7,7,RT Sagittarius will keep it real even when its wrong.,daythefairy,184,0,Sat Nov 14 01:00:41 +0000 2020
8,8,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,HoneyValley_Cat,839,0,Sat Nov 14 01:00:40 +0000 2020
9,9,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,uff_emily,839,0,Sat Nov 14 01:00:28 +0000 2020
10,10,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,angelenerggy,839,0,Sat Nov 14 01:00:27 +0000 2020
11,11,RT she’s a sagittarius,ENBYHANGE,112,0,Sat Nov 14 01:00:22 +0000 2020
12,12,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,amealia_m,839,0,Sat Nov 14 01:00:15 +0000 2020
13,13,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,raedini,0,0,Sat Nov 14 01:00:10 +0000 2020
14,14,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Omg_Its_Eli,0,0,Sat Nov 14 01:00:10 +0000 2020
15,15,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,lildesst,0,0,Sat Nov 14 01:00:10 +0000 2020
16,16,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,kaitlyn_robin,0,0,Sat Nov 14 01:00:10 +0000 2020
17,17,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,AlexRamirez231,0,0,Sat Nov 14 01:00:10 +0000 2020
18,18,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Tinia29597898,0,0,Sat Nov 14 01:00:09 +0000 2020
19,19,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,KelsieBurress1,0,0,Sat Nov 14 01:00:09 +0000 2020
20,20,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,MaddyRochford,0,0,Sat Nov 14 01:00:09 +0000 2020
21,21,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,tashashy13,0,0,Sat Nov 14 01:00:09 +0000 2020
22,22,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,TiffyPaynee,0,0,Sat Nov 14 01:00:09 +0000 2020
23,23,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Emilyy_Char26,0,0,Sat Nov 14 01:00:08 +0000 2020
24,24,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,s_queenslayyy,0,0,Sat Nov 14 01:00:08 +0000 2020
25,25,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,simplynothoran,0,0,Sat Nov 14 01:00:08 +0000 2020
26,26,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,lexihatch13,0,0,Sat Nov 14 01:00:07 +0000 2020
27,27,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Lauren_Dory_H,0,0,Sat Nov 14 01:00:07 +0000 2020
28,28,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,__marleymar__,0,0,Sat Nov 14 01:00:07 +0000 2020
29,29,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,jassy_lyn,0,0,Sat Nov 14 01:00:07 +0000 2020
30,30,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,hegartinho,0,0,Sat Nov 14 01:00:06 +0000 2020
31,31,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,TeamMinajOnDeck,0,0,Sat Nov 14 01:00:06 +0000 2020
32,32,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,lucemellor98,0,0,Sat Nov 14 01:00:06 +0000 2020
33,33,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,___PrettyHurts,0,0,Sat Nov 14 01:00:06 +0000 2020
34,34,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,_Goddess4u,0,0,Sat Nov 14 01:00:06 +0000 2020
35,35,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,vernonbihh,0,0,Sat Nov 14 01:00:06 +0000 2020
36,36,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Tru2This_,0,0,Sat Nov 14 01:00:06 +0000 2020
37,37,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,PrincessSomiaa,0,0,Sat Nov 14 01:00:06 +0000 2020
38,38,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,social_klutz,0,0,Sat Nov 14 01:00:05 +0000 2020
39,39,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,tovervork,0,0,Sat Nov 14 01:00:05 +0000 2020
40,40,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Elliottsmith17,0,0,Sat Nov 14 01:00:05 +0000 2020
41,41,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,swaveysammyxo,0,0,Sat Nov 14 01:00:05 +0000 2020
42,42,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,PHENYO_RBD,839,0,Sat Nov 14 01:00:05 +0000 2020
43,43,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,SkyDaGreat5,0,0,Sat Nov 14 01:00:05 +0000 2020
44,44,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,catfishedyou,0,0,Sat Nov 14 01:00:05 +0000 2020
45,45,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Onsyte_Ent,0,0,Sat Nov 14 01:00:05 +0000 2020
46,46,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,jaythepapichulo,0,0,Sat Nov 14 01:00:05 +0000 2020
47,47,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,YBBird,0,0,Sat Nov 14 01:00:05 +0000 2020
48,48,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,XOXOSCFXOXO,0,0,Sat Nov 14 01:00:05 +0000 2020
49,49,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,thenameisPAO,0,0,Sat Nov 14 01:00:05 +0000 2020
50,50,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,RKJ_Martinez13,0,0,Sat Nov 14 01:00:04 +0000 2020
51,51,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,DorothyMaul1,0,0,Sat Nov 14 01:00:04 +0000 2020
52,52,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,ATeeTee,0,0,Sat Nov 14 01:00:04 +0000 2020
53,53,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,TheTruth_FNF,0,0,Sat Nov 14 01:00:04 +0000 2020
54,54,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,KeeeB__,0,0,Sat Nov 14 01:00:04 +0000 2020
55,55,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,MelissaBeattie2,0,0,Sat Nov 14 01:00:04 +0000 2020
56,56,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,BodatiousBooty,0,0,Sat Nov 14 01:00:04 +0000 2020
57,57,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,MzJuicyy_91,0,0,Sat Nov 14 01:00:04 +0000 2020
58,58,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Jennyluv,0,0,Sat Nov 14 01:00:03 +0000 2020
59,59,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,HisHumanImprint,0,0,Sat Nov 14 01:00:03 +0000 2020
60,60,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,Eliyjahkboy,0,0,Sat Nov 14 01:00:03 +0000 2020
61,61,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,georgia_walshX,0,0,Sat Nov 14 01:00:03 +0000 2020
62,62,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,disisannie,0,0,Sat Nov 14 01:00:03 +0000 2020
63,63,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,KustomMadeEvil,0,0,Sat Nov 14 01:00:03 +0000 2020
64,64,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,UlikeThat1216,0,0,Sat Nov 14 01:00:03 +0000 2020
65,65,Your spiritual life is growing rapidly right now and you’re ea... More for Sagittarius,haileyrey_,0,0,Sat Nov 14 01:00:03 +0000 2020
66,66,"RT Sagittarius, Scorpio, Aquarius, Pisces &amp; Virgo... How do you manage to know everything about everyone but remain a mystery…",zaynxo,54,0,Sat Nov 14 00:59:41 +0000 2020
67,67,RT Sagittarius like straight to the point and honest conversations. They'll talk to you a lot more if you do it too.,annastanford0,1469,0,Sat Nov 14 00:59:37 +0000 2020
68,68,"- Height: 5'6"" - Shoe Size: UK 6 - Zodiac Sign: Sagittarius ♐️ - Tattoos: none - Piercings: none - Favorite Color:…",slinehan1,0,0,Sat Nov 14 00:59:19 +0000 2020
69,69,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,lametvstar,839,0,Sat Nov 14 00:59:03 +0000 2020
70,70,RT fire signs mini love ❤️ aries leo sagittarius your person has noticed how good you are doing in your life right now an…,BadbihhCeyonce,40,0,Sat Nov 14 00:59:01 +0000 2020
71,71,RT Sagittarius will keep it real even when its wrong.,miss_lyane,184,0,Sat Nov 14 00:58:54 +0000 2020
72,72,december sagittarius most problematic FOR SURE!,__kali_ma,0,0,Sat Nov 14 00:58:47 +0000 2020
73,73,"RT sagittarius, leo, aries 🤍 you really want to speak with someone you love &amp; spend quality time with them. you may be repl…",thirteen100,95,0,Sat Nov 14 00:58:40 +0000 2020
74,74,RT Zodiac signs that are the most friendly. -Leo -Libra -Sagittarius -Aquarius -Pisces,ayee_its_cheri,165,0,Sat Nov 14 00:58:34 +0000 2020
75,75,He’s a Sagittarius and he’s not 6 years older than me he’s 2,hintzkanen,0,0,Sat Nov 14 00:58:24 +0000 2020
76,76,"RT OTHER DAYS, I FEEL MORE SAGITTARIUS &amp; I AM THE SOCIAL BUTTERFLY &amp; I AM THE LIFE OF THE PARTY&amp; I NEVER STOP TALKING ONCE OR H…",khriz909,4,0,Sat Nov 14 00:58:14 +0000 2020
77,77,RT sagittarius season next week,doll__witch,53,0,Sat Nov 14 00:58:13 +0000 2020
78,78,RT SOMETIMES I WISH I COULD BE ONE OF THOSE SAGITTARIUS SOULS WHO CAN JUST PACK UP &amp; LEAVE &amp; START AN ENTIRELY NEW LIFE WHERE N…,khriz909,27,0,Sat Nov 14 00:58:04 +0000 2020
79,79,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,monikaalanny,839,0,Sat Nov 14 00:57:59 +0000 2020
80,80,"For ref. My first child is 5H which is libra for me but I have a Scorpio Jupiter in the 5H and she’s a girl, but a…",mercurydominant,0,0,Sat Nov 14 00:57:56 +0000 2020
81,81,Sagittarius and absolutely lol,SierraTaJon,0,0,Sat Nov 14 00:57:49 +0000 2020
82,82,"RT once a Sagittarius start Sagittariusing, just LEAVE 🤣",nakhiyaaa,14,0,Sat Nov 14 00:57:38 +0000 2020
83,83,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,acire_____,839,0,Sat Nov 14 00:57:35 +0000 2020
84,84,"RT Sagittarius and Capricorn are two of the smartest working signs. Yes they can be very hard working, however, their ingen…",catwithdacards,2,0,Sat Nov 14 00:57:23 +0000 2020
85,85,"RT If Gemini, Leo, Sagittarius or Aquarius don’t get to say what they are thinking at all times they are probably just goi…",shesmacy,51,0,Sat Nov 14 00:57:19 +0000 2020
86,86,"Sagittarius, only if I’m super comfortable with you",imadad3x,0,0,Sat Nov 14 00:57:15 +0000 2020
87,87,RT if someone put a gun to my head and told me to spell sagittarius tell my family I love them,emelyy25,839,0,Sat Nov 14 00:57:03 +0000 2020
88,88,RT fire signs mini love ❤️ aries leo sagittarius your person has noticed how good you are doing in your life right now an…,Prissccillaa98,40,0,Sat Nov 14 00:56:55 +0000 2020
89,89,RT Sagittarius will keep it real even when its wrong.,Jhaaaaay2,184,0,Sat Nov 14 00:56:50 +0000 2020
90,90,"RT Sagittarius and Capricorn are two of the smartest working signs. Yes they can be very hard working, however, their ingen…",marsmyvolta,2,0,Sat Nov 14 00:56:44 +0000 2020
91,91,Sagittarius and ...no lol i hate talking for no reason. I’ll really open about astrology and Beyoncé,AlliBrielle,0,0,Sat Nov 14 00:56:38 +0000 2020
92,92,RT Affirmation: Aries: I am strong Taurus: I am right Gemini: I am understood Cancer: I am needed Leo: I am loved Virgo:…,carrdelii,167,0,Sat Nov 14 00:56:34 +0000 2020
93,93,"RT Aquarius,Sagittarius,Aries,Virgo,Capricorn You don’t even know how much you’re worth. It’s time for you to be gratef…",AlexusWillis7,7,0,Sat Nov 14 00:56:31 +0000 2020
94,94,RT sagittarius szn around the corner 😋,orlookforme,4,0,Sat Nov 14 00:56:09 +0000 2020
95,95,"RT Sagittarius: The Moon RX, Expect for a lot of suppressed emotions to resurface. Everything you have buried deep down in…",ephrataaa_,6,0,Sat Nov 14 00:56:07 +0000 2020
96,96,RT If you’re looking for a more personalized eclipse story outlining the details of Gemini NN/ Sagittarius SN eclipses for…,ultmt81,2,0,Sat Nov 14 00:56:03 +0000 2020
97,97,"RT what pissing off an aries, sagittarius, and gemini is like:",aryssayaz,2786,0,Sat Nov 14 00:56:02 +0000 2020
