,text,user,retweets,favorites,datetime
0,"RT @NanaCalistar: VIRGO

Problemas con el pasado, no hagas caso a chismes y más si tienen que ver con tu vida sentimental anterior, recuerd…",ekimdherii,2,0,Sat Nov 07 21:06:18 +0000 2020
1,when a virgo starts to debating ur arguments instead of crying their emotions out.. call 911 bro,nqebacot,0,0,Sat Nov 07 21:06:14 +0000 2020
2,"RT @NellyNellz19: 💌 

Capricorn, Taurus , Virgo 

“I’m coming up! I want the world to know” those are the song lyrics that are popping in m…",Zama_Nkosi,74,0,Sat Nov 07 21:06:10 +0000 2020
3,i wanna spend some time with u just the two of us,_virgo_F,0,0,Sat Nov 07 21:06:03 +0000 2020
4,Their y’all go!!! https://t.co/TfXJaVd7m0,virgo_bamagirl,0,0,Sat Nov 07 21:06:00 +0000 2020
5,@iker_virgo @elchiringuitotv @Munirhaddadi el no es chaquetero es español y marroqui a la vez .. para los de doble… https://t.co/ryeHhyepji,marwan73112964,0,0,Sat Nov 07 21:05:52 +0000 2020
6,RT @ZorayaBlack_: Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,maricasaige,233,0,Sat Nov 07 21:05:46 +0000 2020
7,RT @virgo_hn: #VIRGO se irrita cuando la gente le intenta forzar a que se comunique. Si no quiere hablar es que no es el momento,LuisOtero94,546,0,Sat Nov 07 21:05:42 +0000 2020
8,"RT @zodiacashomes: Pisces,Aquarius &amp;Virgo dream cabin in the woods https://t.co/LbLLCOcfH0",xtenabena,788,0,Sat Nov 07 21:05:40 +0000 2020
9,-virgo https://t.co/ppIuxrT1fY,loverofharryl,0,1,Sat Nov 07 21:05:32 +0000 2020
10,"RT @marianxwalls: A QUIÉN DEBES STANEAR SEGÚN TU SIGNO

aries         \
tauro
géminis         \
cancer 
leo                       \   
virg…",betterxshe_,2,0,Sat Nov 07 21:05:30 +0000 2020
11,"RT @MannyMua733: thank you to all the black women and men, youth, POC who showed up for biden... y’all said we want BETTER and it shows 💙",Virgo_god96,1282,0,Sat Nov 07 21:05:28 +0000 2020
12,@being_shy30 @weededinsane 😂😂😂,i_virgo_22,0,0,Sat Nov 07 21:05:26 +0000 2020
13,"@mukuwus virgo, paranoid, loud, and infp lol",lily_splash,0,0,Sat Nov 07 21:05:25 +0000 2020
14,jisoo tiene marte en virgo https://t.co/XEh61ZcqbN,otakuIiada,0,0,Sat Nov 07 21:05:22 +0000 2020
15,@being_shy30 @i_virgo_22 Rania 😂😂😂pro,weededinsane,0,0,Sat Nov 07 21:05:19 +0000 2020
16,"RT @marianxwalls: A QUIÉN DEBES STANEAR SEGÚN TU SIGNO

aries         \
tauro
géminis         \
cancer 
leo                       \   
virg…",fiierlesss,2,0,Sat Nov 07 21:05:16 +0000 2020
17,RT @DetamoreKaya: Being a Virgo is SO hard. I want everything so perfect and have unrealistic standards for myself and people around me. li…,averyyy__15,1,0,Sat Nov 07 21:05:10 +0000 2020
18,"RT @DCnumerology: Zodiac signs that have the most trouble sleeping at night. 

-Gemini 
-Virgo
-Aquarius 
-Aries
-Sagittarius",lilshawtymo,334,0,Sat Nov 07 21:05:07 +0000 2020
19,"A QUIÉN DEBES STANEAR SEGÚN TU SIGNO

aries         \
tauro
géminis         \
cancer 
leo                       \… https://t.co/ItsHwfDNUD",marianxwalls,2,1,Sat Nov 07 21:05:05 +0000 2020
20,All I’m saying is we could’ve had Virgo Bernie Sanders 😗😗,jacksgun1,0,0,Sat Nov 07 21:05:03 +0000 2020
21,RT @Jayecane: OK!!! stop we got it!!!,Vamp_Virgo,18,0,Sat Nov 07 21:04:54 +0000 2020
22,RT @ZorayaBlack_: Sagittarius/Gemini/Pisces/Virgo making dirty/dark taboo jokes to their usual friends but going too far this time:,S4SH4444,233,0,Sat Nov 07 21:04:46 +0000 2020
23,@weededinsane @i_virgo_22 Voice bro🤣🤣 https://t.co/BKoY9fdLX0,being_shy30,0,1,Sat Nov 07 21:04:45 +0000 2020
24,"RT @thewaterbxtch: Virgo 🌸

Y'all need a break from people. You need to spend more time on your own, pampering &amp; taking care of yourself, y…",brazzyy_,243,0,Sat Nov 07 21:04:40 +0000 2020
25,イナズマジャパンのユニフォーム似合いますか…？,otome_virgo_bot,0,0,Sat Nov 07 21:04:40 +0000 2020
26,@Nathanfachero Pero está vez no dije nada virgo,Un_wey_mas720,0,0,Sat Nov 07 21:04:37 +0000 2020
27,@fusionvelasco virgo,Angiediosa_ujum,0,0,Sat Nov 07 21:04:32 +0000 2020
28,RT @Nathanfachero: @Un_wey_mas720 Pero que virgo eres,algoseredigoyo,1,0,Sat Nov 07 21:04:28 +0000 2020
29,Tan linda y yo tan virgo lpm,DiegooTorrez,0,0,Sat Nov 07 21:04:12 +0000 2020
30,"RT @iloveastroIogy: signs that are the most intelligent:

-Capricorn 
-Gemini 
-Virgo 
-Scorpio
-Aries",ItsShantricee,130,0,Sat Nov 07 21:04:07 +0000 2020
31,@mai_gaia LMAO. Omg. Yes. Is Saturn at all in aspect? I’ve noticed the ones that bother to do all this definitely h… https://t.co/HDxeNCdlNf,hughxtran,0,2,Sat Nov 07 21:04:03 +0000 2020
