tweet,sent
?RT  The bigger the better....if you know what I mean ;),1
"Listening to the ""New Age"" station on  ? ",1
"I favorited a YouTube video -- Drake and Josh - The Storm ""We will rock you"" ",0
i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it!,1
I wana see the vid Kyan,1
if my mom went on for the love of ray J or any reality show i'd bee pissed .,-1
"Ok so I just got a deal for my own show ""For The Love Of Deez Nuts"" go to VH1/deezNuts to apply ....R u here for Deez Nuts???",0
 Welcome to Twitter xx,1
" oh yeah... however, I'd still like to be in the midst of it all though... u know...",1
Can't say I like the new facebook layout. But just posted pics from my Super Bowl week. =),0
I need a nice tea-drinking pic for our Tea Club Membership page - anyone got one they'd be happy for me to use? ,1
" so twitpic it lol, I love Home Depot, love working w/my hands and building things, my dad was in construction",1
" it's enough to make you sick, eh? there's nothing sacred anymore",-1
Hacienda is now level 80 time to get epic gear for her!!!! Oh and maybe some sleep would be good..,1
"DJ K-City presents ""Crank of America"" THE MIXTAPE. wanna be on it? DM me.  PLS RT",0
"""Iran, with its unity and God's grace, will punch the arrogance (West) 22nd of Bahman (Feb 11) in a way that will leave them stunned,""",-1
" wtf, where i come from noone likes metal and hardcore, like 5 of my mates max are fully into metal, it sucks, i love metalll :L",1
www.moneyhackers.org Reasons why entrepreneurs to venture in Nursing Agencies | Best ...: Reasons why entrepreneur... ,0
4WordsOnObamasHand Don't Say The N-Word,-1
City watchdog in chaos as chief executive Hector Sants resigns just months before general election,-1
"RT  God it is a big news day today! By popular demand, ""Ah! My Goddess Season 2"" will be released in 3 2-disc sets: May, Jul, Sep.",1
Wow my sis said she gona get a tramp stamp tat LOL I told her it's to late for that ha ha evil laugh,0
 Sold! Would love to be your crazyass big sis -- how could I say no?! Cannot believe I broke or minimally battered my toe --,1
 yes; hope to release that feature next month,1
Phil Collins- You Can't Hurry Love,0
i need money! i need new car!!! jesus...somebody please buy my old car :DDD,-1
In ny wif  and the Heavy Hitter crew... shout to  for looking real gay in the camera...lol...,-1
RT  I Flip(in) Love  Follow them to win a free Flip Camera! RT Please!  clothdiapers,1
" well damn! Renee still aint playin, is she?! and neither is Jack!! ",-1
" oh, geez, I'd have a lot more songs that way.",-1
 I will have some apple chicken sausage delivered to you.,0
 HAHAHAH that was worded weird. I'm reading while a candle is burning in my room,-1
 you should follow me while ur at it u tickle my dick with ur comments,0
"RT  You can preview the exclusive Tim Burton's Alice Boutique, opening 2/11. It's a curious collection! ",0
 pretty much my g..i need a banger..get it to the bloggers..lets do it.,0
Photo: Chace Crawford?. Oh man I can look at pictures of him all day BUT i have homework to get back to so... ,0
Commission Ritual.: P.S. I want to make this perfectly clear: Commission Ritual will get your sites multiple fi.. ,0
On Insurance and Hospitals: I wonder if there is a connection between the hospital system overload and the format... ,-1
Chilling textin (?) ... To much info..foreal you know its los ward yung squad bitch...,-1
"Twitter Background - Reviews, News, and How To Geeks: This is my Twitter background for my Personal Twitter. ",0
Your busy schedule might not leave you a lot of room today for... More for Scorpio ,-1
RT  RT  Check out - www.MidieastMovement.com That's a BrandName ,0
Photo: (via fuckyeahkristinchenoweth) omgomgomgomg MAY 19TH ,1
Winter Olympics: An Add-On to the Modern Games ,0
"Heres a new idea,how about i get you a spoon so you can read my ass.",-1
Equipped a Gamma Mittens. epicpetwars ,0
RT  RetweetTHisIf you want FriendsTheMovie via ,1
 as for now nope. Use XL for cheaper rate of prepaid and postpaid roaming,0
It's A Bird! It's A Plane! It's Chris Nolan! He'll Mentor Superman 3.0 And Prep 3rd ,0
Andy is rambling on C&C this morning - shutup and get on with it man,-1
" lol, where are you? I once forgot the car completely and left home without it.",-1
Grow on Twitter with Tweet Automator ,0
" and yet they are a minority ... despite the election law being changed to skew things in Aoun's favor, they remain a minority",-1
count the sheeps and you can sleep :) RT  it's time to sleep actually but i can't sleep..hmmm i'll try,0
The Newest Member of _________________! yehbuddy,1
" Hey Adam, JPizzle1122 (the microwave dude on utube) seems to have a good live stream for MW2, maybe ask for his help?",1
Little Caesars Large Cheese or Pepperoni - No Limit - 2/10 for $3.99:,1
oh my goodness I'm emo,-1
 wait wait wait...im confused...are you there?,-1
RT  New Arran Malt Competition just posted on: www.arranwhisky.com/Default.aspx?page=Competition Free bottle and chocolates,1
"emm, my lip is starting to hurt :/",-1
Finally off work. Gonna go home and try to sleep whatever this is off so I can go to my other job. I hate to miss work,-1
"TED travel off to rocky start thanks to wayward wallet. JUST made my flight, but horridly tense.",-1
RT 50+ Awesome Twitter Tips to become a Pro  via ,1
 i was thinking that i wanna make a Cake party in my house :O! lol,1
 Check it out! In the middle of London! SO COOL!,1
This cares about Internet marketing resources. kitti joined this as a marketer. ,0
"Mountains, trees, and beautiful cotton-ish blue sky! I will fly! :)",1
" follow me? please...(: your great and it would make my day. btw, i wanna shampoo your hair ;D lmao. 3",1
RT  RT  Last chance to meet  in Bangkok w/  Tell your friends & increase the chance of winning together- ,0
Lets trade McNabb to the Broncos and get Brandon Marshall. That team has potential...not w/ Kyle Orton at QB tho.,0
"RT  I hereby name all the Kurt fans as the ""Kurtsies.""",0
"I thought about saying ""underwhelming"" instead of disappointing but one must maintain standards, even in the face of snowmageddon",0
  hi there! Nice to see you back!,1
"Topic ""????:iRedAdmin-Pro-1.1.0"" in forum ????? by ZhangHuangbin.  iredmail",0
Quick Tip: How to Work with  ,0
RT  I ? New York!,1
"RT  The top 10 novels in Modern Library's reader's picks list include four by Ayn Rand and three by L. Ron Hubbard. America, you scare me.",0
RT   you gotta make ur page private hun... that'll cut them down a lot <,0
 My coffin has already been reshaped as it's going with me!!!,1
"RT  Selected OpenSocial Ning Apps are now available on github, via Apache 2.0 license: ",0
